Gene Pearson Spearman Source
A2M 0.981004163526829 0.975155279503106 Isoform_MR
APOE 0.990511296822982 0.9785431959345 Isoform_MR
FAS 0.767972843677757 0.791078486730661 Isoform_MR
ARG1 0.522967969973706 0.409604585145491 Isoform_MR
ATM 0.957245877080026 0.562958780350085 Isoform_MR
BLM 0.864287057752658 0.673630717108978 Isoform_MR
BRCA2 0.833497092820374 0.880293619424054 Isoform_MR
C2 0.908017526827301 0.929983060417843 Isoform_MR
CD3G 0.976093388195564 0.815923207227555 Isoform_MR
CD40LG 0.986332786628116 0.77639751552795 Isoform_MR
CDKN1C 0.954964613862587 0.941276115189159 Isoform_MR
CDKN2A 0.890406815935813 0.793337097684924 Isoform_MR
COL5A1 0.957251938545457 0.955957086391869 Isoform_MR
COMP 0.99234483806329 0.9785431959345 Isoform_MR
DDB2 0.903364864213766 0.880293619424054 Isoform_MR
ERCC3 0.582533680904185 0.565217391304348 Isoform_MR
ESR1 0.981667452387343 0.972896668548842 Isoform_MR
MS4A2 0.78642706037729 0.837380011293055 Isoform_MR
GHR 0.993513920022745 0.94240542066629 Isoform_MR
MSH6 0.925310192064706 0.876905702992659 Isoform_MR
GUSB 0.85008712059581 0.830273967025478 Isoform_MR
HK1 0.924679902842605 0.893845285149633 Isoform_MR
HK2 0.97163363616948 0.904009034443817 Isoform_MR
ICAM1 0.995079962214794 0.925465838509317 Isoform_MR
IL2RG 0.993821481265267 0.933370976849238 Isoform_MR
ITGB2 0.978067305607064 0.974025974025974 Isoform_MR
ITGB3 0.983965400961648 0.986448334274421 Isoform_MR
JAG1 0.908989614568815 0.859966120835686 Isoform_MR
JAK3 0.99323501750472 0.960474308300395 Isoform_MR
KIT 0.896636302571902 0.817052512704686 Isoform_MR
LAMB3 0.969354746089795 0.960474308300395 Isoform_MR
LYZ 0.944839578603598 0.96386222473179 Isoform_MR
MET 0.930164130074169 0.914172783738001 Isoform_MR
MLH1 0.807901363454057 0.770750988142292 Isoform_MR
MSH2 0.797846856456845 0.607001693958216 Isoform_MR
NF1 0.628720126379182 0.512140033879164 Isoform_MR
PFKM 0.904807667223497 0.931112365894974 Isoform_MR
PLA2G2A 0.942059271065885 0.957086391869 Isoform_MR
PTEN 0.552195885365467 0.707509881422925 Isoform_MR
RB1 0.520145714947849 0.505364201016375 Isoform_MR
THBD 0.986929436231094 0.909655561829475 Isoform_MR
TPI1 0.933925424836343 0.923207227555054 Isoform_MR
TPM1 0.969249058785067 0.970638057594579 Isoform_MR
CDKN1A 0.983208836869903 0.980801806888763 Isoform_MR
CSF2RB 0.946445151694299 0.945793337097685 Isoform_MR
CYBB 0.983828834646789 0.9785431959345 Isoform_MR
G6PD 0.859039007357207 0.883681535855449 Isoform_MR
IFNGR1 0.952921490440953 0.935629587803501 Isoform_MR
IL2RA 0.980363676987906 0.935629587803501 Isoform_MR
PECAM1 0.948034125877436 0.960474308300395 Isoform_MR
SELE 0.998794502139983 0.969508752117448 Isoform_MR
TWIST1 0.942763309803272 0.943534726143422 Isoform_MR
C1QB 0.969287059618747 0.989836250705816 Isoform_MR
COL17A1 0.591744056355932 0.739130434782609 Isoform_MR
COL4A5 0.958454790198172 0.914172783738001 Isoform_MR
PMS2 0.555261332662842 0.61038961038961 Isoform_MR
REN 0.445671617574507 0.466967814793902 Isoform_MR
HNF1A 0.410811303258103 0.194805194805195 Isoform_MR
TP53 0.931616296081069 0.878035008469791 Isoform_MR
IL6R 0.918193449139592 0.910784867306606 Isoform_MR
FCGR1A 0.959765787524273 0.941276115189159 Isoform_MR
FCGR3A/B 0.579512428469118 0.383399209486166 Isoform_MR
IL10 0.931784626859059 0.882552230378317 Isoform_MR
IL1A 0.689876496038787 0.430830039525692 Isoform_MR
IL1B 0.990749113357816 0.914172783738001 Isoform_MR
IL1RN 0.991873687736406 0.922077922077922 Isoform_MR
SLC11A1 0.985144775433853 0.980801806888763 Isoform_MR
CCR5 0.925816032120386 0.945793337097685 Isoform_MR
SPP1 0.882313087250795 0.94918125352908 Isoform_MR
CXCL8 0.992379071284 0.958215697346132 Isoform_MR
IL15 0.958865535505115 0.863354037267081 Isoform_MR
IL2 0.205880433918171 -0.0808366825282915 Isoform_MR
C7 0.969141825129214 0.972896668548842 Isoform_MR
TAP1 0.971434433238053 0.959345002823264 Isoform_MR
TNF 0.987979552723093 0.954827780914737 Isoform_MR
IL6 0.999810886063463 0.986448334274421 Isoform_MR
NCAM1 0.975422900254345 0.986448334274421 Isoform_MR
CD4 0.965914421106115 0.94240542066629 Isoform_MR
IFNG 0.135013689859814 0.537701235787929 Isoform_MR
NOS2 -0.0667893879550299 0.0400903444381705 Isoform_MR
LTBP1 0.969525204004115 0.919819311123659 Isoform_MR
IFNAR1 0.654142070930424 0.562958780350085 Isoform_MR
ITGAM 0.941544314787936 0.946922642574816 Isoform_MR
BCL2 0.948222984297849 0.951439864483343 Isoform_MR
FASLG 0.837351529180696 0.800112930547713 Isoform_MR
IL11 0.890683156339221 0.686053077357425 Isoform_MR
SELL 0.974632561315781 0.948051948051948 Isoform_MR
TGFB1 0.911580393779876 0.94918125352908 Isoform_MR
ADORA2A 0.876985236922088 0.787690570299266 Isoform_MR
CD3D 0.996777612708699 0.945793337097685 Isoform_MR
CD3E 0.994389553514009 0.94918125352908 Isoform_MR
CSF1 0.95543637624879 0.865612648221344 Isoform_MR
CSF2 0.393518693694356 0.310252120644118 Isoform_MR
CSF3 0.990592831155505 0.359785385711041 Isoform_MR
CSF3R 0.990024223095517 0.94918125352908 Isoform_MR
ICAM2 0.556325703799167 0.450028232636928 Isoform_MR
IGF2R 0.884853124580071 0.861095426312818 Isoform_MR
IL2RB 0.96385590218009 0.941276115189159 Isoform_MR
ITGA4 0.994719142704064 0.974025974025974 Isoform_MR
ITGAX 0.987458920047726 0.936758893280632 Isoform_MR
P4HA1 0.674000509494864 0.683794466403162 Isoform_MR
PC 0.986578848113632 0.757199322416714 Isoform_MR
POLR2A 0.815079877363287 0.831733483907397 Isoform_MR
PRLR 0.934885107126867 0.923207227555054 Isoform_MR
PTGER4 0.941406066629293 0.948051948051948 Isoform_MR
PTGS2 0.995713865457409 0.971767363071711 Isoform_MR
RPL7A 0.819485954797216 0.839638622247318 Isoform_MR
RPL23 0.825345728197617 0.756070016939582 Isoform_MR
CD44 0.956933090398294 0.939017504234895 Isoform_MR
CCL3/L1 0.691824222940846 0.719932241671372 Isoform_MR
RORC 0.946316378268836 0.928853754940711 Isoform_MR
CD36 0.992502511873288 0.9785431959345 Isoform_MR
FCGR2B 0.980346899798553 0.984189723320158 Isoform_MR
SREBF1 0.78246176266889 0.748164878599661 Isoform_MR
CXCR4 0.994482416071642 0.961603613777527 Isoform_MR
MXI1 0.792807242160384 0.669113495200452 Isoform_MR
MAGEA4 0.994312508409787 0.420019833861647 Isoform_MR
HDAC5 0.935727013850572 0.941276115189159 Isoform_MR
PCK2 0.901910341798901 0.905958804835964 Isoform_MR
FANCA 0.811094369360642 0.745906267645398 Isoform_MR
PUM1 0.57733522202651 0.564088085827216 Isoform_MR
CD276 0.935436250472397 0.878035008469791 Isoform_MR
TGFBR2 0.848290237891982 0.869000564652739 Isoform_MR
CD74 0.967548427517962 0.876905702992659 Isoform_MR
RUNX3 0.982203701294196 0.940146809712027 Isoform_MR
IFIT3 0.896667840186019 0.911914172783738 Isoform_MR
RNLS 0.44488914026974 0.52343308865048 Isoform_MR
OAS1 0.983320354634434 0.966120835686053 Isoform_MR
LY9 0.991604651052004 0.841897233201581 Isoform_MR
RRM2 0.914161721870643 0.902879728966685 Isoform_MR
EIF2B4 0.489821615653995 0.496329757199322 Isoform_MR
CTLA4 0.968985722052308 0.885940146809712 Isoform_MR
ANGPTL4 0.974277298135026 0.90626764539808 Isoform_MR
CD79B 0.995770335673146 0.671372106154715 Isoform_MR
SIRPA 0.859745953860827 0.782044042913608 Isoform_MR
HEY1 0.998676894665444 0.786561264822134 Isoform_MR
NECTIN2 0.927263838796326 0.867871259175607 Isoform_MR
SMAP1 0.874158804806134 0.822699040090344 Isoform_MR
TBXAS1 0.94042248353093 0.952569169960474 Isoform_MR
TNFRSF1A 0.939349349676241 0.929983060417843 Isoform_MR
TNFRSF1B 0.934347750156299 0.883681535855449 Isoform_MR
TYMS 0.499042063616634 0.516657255787691 Isoform_MR
NFKB2 0.940914333720809 0.850931677018633 Isoform_MR
VCAM1 0.973454975986874 0.983060417843026 Isoform_MR
ZAP70 0.995060631425756 0.909655561829475 Isoform_MR
NLRP3 0.872864927434506 0.87012987012987 Isoform_MR
PRF1 0.875452221281835 0.843026538678713 Isoform_MR
BTLA 0.977843602776742 0.254658385093168 Isoform_MR
ABCF1 0.834226210530324 0.732354601919819 Isoform_MR
ENTPD1 0.90754256118263 0.92094861660079 Isoform_MR
CTNNB1 0.957754217126325 0.88481084133258 Isoform_MR
HLA-F 0.80696540131874 0.736871823828345 Isoform_MR
GNG4 0.933210714923604 0.852301643701665 Isoform_MR
TCL1A 0.997921231920019 0.738477391844583 Isoform_MR
EIF5AL1 -0.11324475359212 0.0231507622811971 Isoform_MR
IKBKG 0.678848980869581 0.654432523997741 Isoform_MR
SBNO2 0.953198528599637 0.89158667419537 Isoform_MR
CXCL16 0.901022990508067 0.881422924901186 Isoform_MR
CCNA1 0.913192779266433 0.951439864483343 Isoform_MR
TYMP 0.935800147495846 0.887069452286844 Isoform_MR
MFGE8 0.922776050474049 0.929983060417843 Isoform_MR
SH2D1A 0.979497071272951 0.969508752117448 Isoform_MR
FAM124B 0.812606302957104 0.841897233201581 Isoform_MR
CCR2 0.966277522817591 0.889328063241107 Isoform_MR
ADM 0.996169702730025 0.91304347826087 Isoform_MR
VCAN 0.987057947722841 0.992094861660079 Isoform_MR
APC 0.858425005438194 0.839638622247318 Isoform_MR
