,Gene,Cum_Prop
0,A2M,0.16624040920716113
1,ACVR1C,0.05370843989769821
2,ADAM12,0.0076726342710997444
3,ADORA2A,0.04859335038363171
4,ALDOA,0.02557544757033248
5,ALDOC,0.05115089514066496
6,ANGPT1,0.07672634271099744
7,ANGPT2,0.043478260869565216
8,ANGPTL4,0.0025575447570332483
9,ANLN,0.8951406649616368
10,APH1B,0.005115089514066497
11,APLNR,0.005115089514066497
12,APOE,0.010230179028132993
13,APOL6,0.017902813299232736
14,AQP9,0.1278772378516624
15,AREG,0.02557544757033248
16,ATF3,0.02557544757033248
17,AXL,0.17647058823529413
18,B2M,0.21739130434782608
19,BAMBI,0.01278772378516624
20,BATF3,0.08184143222506395
21,BCAT1,0.015345268542199489
22,BCL2,0.20460358056265984
23,BCL6B,0.5140664961636828
24,BIRC3,0.0076726342710997444
25,BIRC5,0.6675191815856778
26,BLK,0.0025575447570332483
27,BLM,0.10997442455242967
28,BMP2,0.030690537084398978
29,BNIP3,0.015345268542199489
30,BNIP3L,0.10997442455242967
31,BRCA1,0.09462915601023018
32,BRCA2,0.04859335038363171
33,BRIP1,0.1867007672634271
34,BTLA,0.0076726342710997444
35,C1QA,0.08439897698209718
36,C1QB,0.07672634271099744
37,C2,0.0025575447570332483
38,C5AR1,0.06905370843989769
39,C7,0.015345268542199489
40,CASP1,0.1329923273657289
41,CBLC,0.08695652173913043
42,CCL13,0.0076726342710997444
43,CCL14,0.06905370843989769
44,CCL18,0.16112531969309463
45,CCL20,0.04603580562659847
46,CCL4,0.01278772378516624
47,CCL5,0.028132992327365727
48,CCL8,0.12020460358056266
49,CCNA1,0.06905370843989769
50,CCNB1,0.5217391304347826
51,CCND1,0.1432225063938619
52,CCND2,0.18414322250639387
53,CCNE1,0.056265984654731455
54,CCNO,0.1918158567774936
55,CCR2,0.03836317135549872
56,CCR4,0.01278772378516624
57,CCR5,0.09718670076726342
58,CD163,0.010230179028132993
59,CD19,0.0076726342710997444
60,CD1C,0.030690537084398978
61,CD2,0.020460358056265986
62,CD209,0.020460358056265986
63,CD244,0.340153452685422
64,CD247,0.03324808184143223
65,CD27,0.0025575447570332483
66,CD274,0.5933503836317136
67,CD28,0.0025575447570332483
68,CD300A,0.0076726342710997444
69,CD36,0.005115089514066497
70,CD38,0.017902813299232736
71,CD3D,0.11253196930946291
72,CD3E,0.0076726342710997444
73,CD3G,0.005115089514066497
74,CD4,0.0025575447570332483
75,CD44,0.030690537084398978
76,CD45RA,0.015345268542199489
77,CD45RB,0.1432225063938619
78,CD45RO,0.08695652173913043
79,CD47,0.023017902813299233
80,CD48,0.16112531969309463
81,CD68,0.043478260869565216
82,CD69,0.2020460358056266
83,CD7,0.02557544757033248
84,CD74,0.0025575447570332483
85,CD79A,0.0025575447570332483
86,CD79B,0.0025575447570332483
87,CD80,0.005115089514066497
88,CD84,0.12276214833759591
89,CD86,0.04859335038363171
90,CD8A,0.01278772378516624
91,CD8B,0.02557544757033248
92,CD96,0.04092071611253197
93,CDC20,0.7544757033248082
94,CDC25C,0.4296675191815857
95,CDH1,0.39641943734015345
96,CDH11,0.061381074168797956
97,CDH2,0.08695652173913043
98,CDH5,0.391304347826087
99,CDK2,0.020460358056265986
100,CDKN1A,0.061381074168797956
101,CDKN1C,0.11764705882352941
102,CDKN2A,0.0025575447570332483
103,CDKN2B,0.010230179028132993
104,CEBPB,0.0076726342710997444
105,CENPF,0.7544757033248082
106,CEP55,0.7289002557544757
107,CLEC14A,0.30434782608695654
108,CLEC4E,0.05370843989769821
109,CLEC5A,0.056265984654731455
110,CLEC7A,0.01278772378516624
111,CLECL1,0.0076726342710997444
112,CMKLR1,0.39641943734015345
113,CNTFR,0.028132992327365727
114,COL11A1,0.0076726342710997444
115,COL4A5,0.01278772378516624
116,COL5A1,0.017902813299232736
117,COL6A3,0.03324808184143223
118,COMP,0.0076726342710997444
119,CPA3,0.3171355498721228
120,CRABP2,0.1585677749360614
121,CSF1R,0.005115089514066497
122,CSF2RB,0.3938618925831202
123,CSF3R,0.010230179028132993
124,CST2,0.15601023017902813
125,CTLA4,0.0076726342710997444
126,CTSS,0.2071611253196931
127,CX3CR1,0.005115089514066497
128,CXCL1,0.03836317135549872
129,CXCL10,0.02557544757033248
130,CXCL11,0.015345268542199489
131,CXCL13,0.010230179028132993
132,CXCL14,0.0025575447570332483
133,CXCL16,0.01278772378516624
134,CXCL2,0.056265984654731455
135,CXCL3,0.06905370843989769
136,CXCL8,0.01278772378516624
137,CXCL9,0.017902813299232736
138,CXCR3,0.005115089514066497
139,CXCR6,0.028132992327365727
140,CXorf36,0.5856777493606138
141,CYBB,0.05370843989769821
142,DAB2,0.12276214833759591
143,DEPTOR,0.0025575447570332483
144,DLL1,0.028132992327365727
145,DLL4,0.21739130434782608
146,DPP4,0.05370843989769821
147,DTX4,0.058823529411764705
148,DUSP1,0.0025575447570332483
149,DUSP2,0.030690537084398978
150,DUSP5,0.005115089514066497
151,EDN1,0.0076726342710997444
152,EGFR,0.0025575447570332483
153,EGR1,0.0025575447570332483
154,EIF4EBP1,0.2966751918158568
155,ENO1,0.4884910485933504
156,ENTPD1,0.4884910485933504
157,EOMES,0.020460358056265986
158,EPCAM,0.1483375959079284
159,ERBB2,0.043478260869565216
160,ESR1,0.043478260869565216
161,EXO1,0.28388746803069054
162,EZH2,0.8388746803069054
163,F2RL1,0.017902813299232736
164,FANCA,0.13043478260869565
165,FAP,0.10997442455242967
166,FAS,0.2608695652173913
167,FASLG,0.005115089514066497
168,FCAR,0.015345268542199489
169,FCGR1A,0.010230179028132993
170,FCGR2A,0.10997442455242967
171,FCGR2B,0.0792838874680307
172,FCGR3A/B,0.04603580562659847
173,FCGRT,0.04092071611253197
174,FCN1,0.005115089514066497
175,FGF18,0.01278772378516624
176,FGF9,0.01278772378516624
177,FGFR1,0.020460358056265986
178,FLT1,0.17902813299232737
179,FOXP3,0.010230179028132993
180,FPR1,0.0025575447570332483
181,FPR3,0.05115089514066496
182,FSTL3,0.13554987212276215
183,FYN,0.005115089514066497
184,FZD8,0.0076726342710997444
185,GAS1,0.0025575447570332483
186,GBP1,0.0076726342710997444
187,GBP2,0.35038363171355497
188,GBP4,0.5012787723785166
189,GHR,0.02557544757033248
190,GIMAP4,0.5856777493606138
191,GIMAP6,0.2557544757033248
192,GLI1,0.06905370843989769
193,GLUL,0.010230179028132993
194,GMIP,0.005115089514066497
195,GNG4,0.061381074168797956
196,GPC4,0.020460358056265986
197,GPR160,0.0025575447570332483
198,GZMA,0.043478260869565216
199,GZMB,0.03580562659846547
200,GZMH,0.020460358056265986
201,GZMK,0.04092071611253197
202,GZMM,0.0025575447570332483
203,H2AFX,0.37851662404092073
