,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,TYMS,373,20.791737618747316,0.0016801554348893199,0.9325
1,RRM2,365,21.83332247907343,0.0012829643717006446,0.9125
2,JAK2,365,18.928457846137164,0.002880699664071162,0.9125
3,MKI67,361,19.554147486308565,0.0025973397802439603,0.9025
4,ANLN,359,17.933704614899188,0.0036455842417437642,0.8975
5,UBE2C,357,17.33438673391527,0.003550161048499561,0.8925
6,EZH2,337,17.357958026525626,0.0037327620935655084,0.8425
7,CENPF,303,14.158827498893794,0.009532900747637695,0.7575
8,CDC20,300,14.63288432048406,0.009008382924558862,0.75
9,CEP55,294,14.660387791679646,0.009775327613522754,0.735
10,BIRC5,270,13.65056742680817,0.011766199032294346,0.675
11,IL33,266,12.923636519319516,0.014737186180557355,0.665
12,TNFSF12,263,12.894881023837376,0.014121582050032383,0.6575
13,TLR4,256,12.604522470822085,0.018605464878811387,0.64
14,MYCT1,254,12.576836785560472,0.015766103892336573,0.635
15,CD274,237,12.671362158805819,0.019095263858852206,0.5925
16,CXorf36,235,12.140900395383683,0.018627444929867072,0.5875
17,GIMAP4,235,11.482629598714512,0.02035192906822682,0.5875
18,PECAM1,232,11.302862650837692,0.02529568742279445,0.58
19,ITGB8,222,11.29550519214533,0.0259151340408698,0.555
20,KIF2C,221,11.267502451154392,0.019999575650802983,0.5525
21,CCNB1,210,10.853592921962745,0.02437332913854151,0.525
22,BCL6B,205,11.72091498481329,0.02316657713540296,0.5125
23,GBP4,201,11.042028120361174,0.02903369425905631,0.5025
24,TNFSF13B,197,10.510094368299256,0.02648909460246396,0.4925
25,MELK,196,10.662562003323465,0.026987139469369686,0.49
26,ENO1,196,10.476358419536975,0.02898096086057992,0.49
27,ENTPD1,195,10.45798105195218,0.03280588050017802,0.4875
28,POLD1,176,10.23760201124032,0.0382071013316743,0.44
29,HELLS,174,10.170407902970371,0.03234782088740171,0.435
30,CDC25C,173,10.020005900095493,0.033571945856211934,0.4325
31,MS4A2,171,10.028223676501664,0.0327890363162064,0.4275
32,ZEB1,166,9.636087757651662,0.04258534609212476,0.415
33,RAD51,161,9.728687942616983,0.03991579158209669,0.4025
34,LY96,161,9.544010290411999,0.04024109935146469,0.4025
35,HDC,160,9.476359424992781,0.040903747195616,0.4
36,ZEB2,159,9.673497321336281,0.030850216446173924,0.3975
37,CSF2RB,158,9.352144386317793,0.0328083848903068,0.395
38,CDH1,158,9.321125444495431,0.04564237992378989,0.395
39,CMKLR1,158,9.276864818616257,0.041234073842962286,0.395
40,SELP,156,9.384585237189162,0.04227536266215964,0.39
41,CDH5,154,9.271572022345907,0.039491583799160235,0.385
42,H2AFX,150,9.215370507840047,0.037885448857572224,0.375
43,GBP2,142,9.133077367340391,0.047937118203451826,0.355
44,CD244,137,8.765596786388139,0.04994824672134991,0.3425
45,TIE1,134,8.512197729968706,0.048228403628591224,0.335
46,CPA3,128,8.828776830141008,0.04303270145277356,0.32
47,P2RY13,126,8.793722998282526,0.05519289403647627,0.315
48,MS4A4A,124,8.152869564314184,0.05348380644850649,0.31
49,VEGFC,123,8.212792891824694,0.04975682939767633,0.3075
50,CLEC14A,123,7.899556604736506,0.07068591655028092,0.3075
51,PDCD1LG2,121,8.32397263759966,0.05050487734461298,0.3025
52,EIF4EBP1,119,7.269949719720423,0.06342327979160287,0.2975
53,HLA-E,117,8.526249296965462,0.05923103002523345,0.2925
54,EXO1,115,8.542479497210145,0.04930962980922103,0.2875
55,VSIR,109,8.269739507536501,0.05832066874332871,0.2725
56,PKM,105,7.040410864676747,0.08111972711709932,0.2625
57,GIMAP6,104,8.254276587878099,0.052634586916637124,0.26
58,UBE2T,103,7.907026989750882,0.06345173185740614,0.2575
59,KAT2B,103,7.815402738728228,0.06648059064885752,0.2575
60,FAS,103,7.690856933946854,0.05855216048398737,0.2575
61,MAPK10,101,7.031342991916969,0.07558895286989484,0.2525
62,NT5E,93,7.031864037200026,0.08332420176549543,0.2325
63,MFNG,91,7.713547617840768,0.0644355989969852,0.2275
64,IL11RA,91,6.38064404583132,0.10159849775584426,0.2275
65,DLL4,88,6.5387018725055555,0.10086767880705184,0.22
66,B2M,87,7.114638537513746,0.09549737183703744,0.2175
67,TPI1,84,6.897820298946742,0.06958475458025185,0.21
68,BCL2,82,7.208066378022311,0.07232347648547136,0.205
69,CTSS,82,6.793484376700271,0.08370201563004842,0.205
70,CD69,80,7.344031067293279,0.07404980236810488,0.2
71,WNT10A,77,6.026090955583957,0.11468336062125617,0.1925
72,BRIP1,76,7.050150996511368,0.07667051344400552,0.19
73,CCNO,76,6.099546986269713,0.09817864806055251,0.19
74,CCND2,72,6.717095004425091,0.10935407323099416,0.18
75,AXL,72,6.520303338791873,0.091122271037884,0.18
76,FLT1,70,5.8928062090782785,0.11490776087211164,0.175
77,IL34,69,6.530907127052342,0.09008383358226765,0.1725
78,MMRN2,69,6.520041838451493,0.10623339617526387,0.1725
79,A2M,68,7.319512317891071,0.06355741088318356,0.17
80,PTPRC,68,6.789276838597114,0.08365845856071691,0.17
81,ICAM2,65,6.609295356772802,0.09096718588929821,0.1625
82,CRABP2,64,5.595951396536875,0.12910343968057797,0.16
83,CCL18,64,5.50373965562094,0.15201608391023996,0.16
84,CD48,63,6.928505968965265,0.0860779890490202,0.1575
85,CST2,63,5.166370883988109,0.14036860657774036,0.1575
86,ISG15,60,4.250176064694199,0.22616103954738695,0.15
87,EPCAM,59,6.2537370071846565,0.1056878712339181,0.1475
88,JAG2,59,4.325491744358867,0.2132920775224552,0.1475
89,TRAF1,58,6.550650094785596,0.09065028389649957,0.145
90,TNFRSF10C,58,5.813394324857647,0.11803236945609455,0.145
91,ITGAX,57,6.545383204521334,0.08675568469852558,0.1425
92,PPARG,57,6.162947207189066,0.1145391824919757,0.1425
93,CCND1,57,4.520972339544504,0.18938976081773282,0.1425
94,CD45RB,56,6.460583722086648,0.09503702953500721,0.14
95,TLR7,56,5.886954043246914,0.13064829251923282,0.14
96,HLA-DQA1,55,5.84385426285424,0.1261341704706768,0.1375
97,SLC2A1,55,5.36845111582493,0.13031465935142228,0.1375
98,SIRPA,54,6.6048897881333275,0.0890603994205852,0.135
99,HLA-B,54,4.981142319929741,0.2104383083843912,0.135
100,KIT,53,5.592647594861988,0.14352543664437217,0.1325
101,FANCA,53,5.499322499780302,0.14674406325630965,0.1325
102,FSTL3,53,5.182079785751464,0.1666033119267526,0.1325
103,CASP1,52,6.045037033919715,0.11943932650624557,0.13
104,SNCA,52,5.454931284705822,0.14334830420004463,0.13
105,HLA-DQA2,51,5.1926842186428415,0.16657042217821533,0.1275
106,DAB2,50,6.61833906250383,0.08013240455398873,0.125
107,SLAMF7,50,5.53546918663238,0.13882195302561814,0.125
108,IL2RA,50,5.2288782014531785,0.1390276504310498,0.125
109,AQP9,50,4.452189019993328,0.20346378463894776,0.125
110,NFAM1,49,6.091804497597263,0.09321715781820511,0.1225
111,KDR,49,5.764459437581829,0.11000755751442262,0.1225
112,CD84,48,6.037976601918339,0.1063988679692893,0.12
113,LYZ,48,5.664415768594089,0.12499688484061117,0.12
114,CCL8,48,5.25059581703324,0.15698800314554973,0.12
115,CDKN1C,47,4.353909644666592,0.2298277379760727,0.1175
116,MFGE8,47,4.116468156465562,0.24705702859564987,0.1175
117,TBX21,46,5.4097778197554565,0.14563655453925262,0.115
118,BLM,46,4.951547080908588,0.17253356475224185,0.115
119,LRRC32,46,4.909334492770112,0.17598150590032313,0.115
120,TLR3,46,4.645236948608886,0.19901875624581244,0.115
121,CD3D,45,5.634525738633372,0.1343314454841729,0.1125
122,PLA1A,45,4.243301476004294,0.21554740263978106,0.1125
123,PDCD1,44,5.479860602641119,0.14617546015203656,0.11
124,BNIP3L,44,4.641716610088199,0.2047885215126362,0.11
125,FCGR2A,43,6.032079073040633,0.09930417227380602,0.1075
126,IL21R,43,5.052681626198556,0.146339447341078,0.1075
127,FAP,43,4.776783960111977,0.1664638110286064,0.1075
128,PDZK1IP1,43,4.159252362984624,0.20201436339096882,0.1075
129,TNFSF13,42,5.247274464012041,0.14293188370208953,0.105
130,WDR76,41,4.933107383774891,0.16643164784659348,0.1025
131,RORC,41,4.008420943745671,0.24772249151072986,0.1025
132,ITGAL,40,6.146706095172119,0.10760087668768946,0.1
133,PRKACB,40,6.007509374975528,0.1033633249372177,0.1
134,RIPK3,40,5.5687615399865935,0.11731388724066777,0.1
135,HLA-C,40,5.0833314002156635,0.14369967504837475,0.1
136,CCR5,39,5.526224470505257,0.13884846473371448,0.0975
137,PDGFRB,39,5.170259813975149,0.13666970861636854,0.0975
138,HEY1,39,4.00028450685453,0.23879374895904265,0.0975
139,MS4A6A,38,6.169991920504532,0.09699055008219577,0.095
140,BRCA1,38,4.044232581435814,0.243752689938327,0.095
141,LILRA5,37,5.041013882695189,0.1615132080122113,0.0925
142,CBLC,35,4.8997371455674825,0.16313882204274838,0.0875
143,NEIL1,35,4.307121185676823,0.19933468214215003,0.0875
144,IL10RA,34,6.269359766023205,0.09151471333009423,0.085
145,CD45RO,34,5.79653998706798,0.1074675864133661,0.085
146,C1QA,34,5.484036949578051,0.11807490726201447,0.085
147,NLRC5,34,5.130623996941543,0.16013716006687762,0.085
148,HLA-DRB5,34,4.724626766415924,0.1781722476754703,0.085
149,CDH2,34,4.589416275854445,0.19206516809032487,0.085
