,Gene,Cum_Prop
0,A2M,0.008797653958944282
1,ABCF1,0.15249266862170088
2,ACVR1C,0.01466275659824047
3,ADAM12,0.002932551319648094
4,ADGRE1,0.002932551319648094
5,ADM,0.15249266862170088
6,ADORA2A,0.05278592375366569
7,AKT1,0.017595307917888565
8,ALDOA,0.005865102639296188
9,ALDOC,0.07624633431085044
10,ANGPT1,0.008797653958944282
11,ANGPT2,0.01466275659824047
12,ANGPTL4,0.026392961876832845
13,APC,0.20234604105571846
14,APH1B,0.002932551319648094
15,API5,0.17888563049853373
16,APOL6,0.002932551319648094
17,AQP9,0.008797653958944282
18,AREG,0.10263929618768329
19,ARG1,0.04105571847507331
20,ARG2,0.10263929618768329
21,ARID1A,0.6744868035190615
22,ARNT2,0.01466275659824047
23,ATF3,0.04398826979472141
24,ATM,0.4310850439882698
25,AXIN1,0.04398826979472141
26,AXL,0.005865102639296188
27,B2M,0.008797653958944282
28,BAD,0.011730205278592375
29,BAMBI,0.005865102639296188
30,BATF3,0.01466275659824047
31,BBC3,0.011730205278592375
32,BBS1,0.5689149560117303
33,BCAT1,0.01466275659824047
34,BCL2,0.020527859237536656
35,BCL2L1,0.002932551319648094
36,BCL6B,0.026392961876832845
37,BID,0.01466275659824047
38,BIRC3,0.005865102639296188
39,BIRC5,0.002932551319648094
40,BLK,0.19648093841642228
41,BLM,0.05571847507331378
42,BMP2,0.008797653958944282
43,BNIP3,0.6950146627565983
44,BNIP3L,0.07331378299120235
45,BRCA1,0.39296187683284456
46,BRCA2,0.0
47,BRD3,0.15835777126099707
48,BRD4,0.187683284457478
49,BRIP1,0.11436950146627566
50,BTLA,0.22287390029325513
51,C2,0.011730205278592375
52,C5,0.005865102639296188
53,C7,0.04398826979472141
54,CASP1,0.005865102639296188
55,CASP8,0.0
56,CASP9,0.1348973607038123
57,CBLC,0.011730205278592375
58,CCL13,0.017595307917888565
59,CCL14,0.011730205278592375
60,CCL18,0.02932551319648094
61,CCL19,0.06158357771260997
62,CCL2,0.16422287390029325
63,CCL20,0.04985337243401759
64,CCL21,0.005865102639296188
65,CCL22,0.6099706744868035
66,CCL3/L1,0.21700879765395895
67,CCL4,0.026392961876832845
68,CCL5,0.008797653958944282
69,CCL7,0.7741935483870968
70,CCL8,0.4897360703812317
71,CCNA1,0.12903225806451613
72,CCND1,0.005865102639296188
73,CCND2,0.02346041055718475
74,CCND3,0.03519061583577713
75,CCNO,0.026392961876832845
76,CCR4,0.02346041055718475
77,CCR5,0.011730205278592375
78,CD14,0.002932551319648094
79,CD19,0.07917888563049853
80,CD1C,0.03225806451612903
81,CD209,0.005865102639296188
82,CD247,0.017595307917888565
83,CD27,0.10263929618768329
84,CD276,0.008797653958944282
85,CD300A,0.008797653958944282
86,CD36,0.0469208211143695
87,CD38,0.002932551319648094
88,CD3G,0.011730205278592375
89,CD40,0.17888563049853373
90,CD44,0.005865102639296188
91,CD45RA,0.011730205278592375
