,Gene,Cum_Prop
0,A2M,0.008797653958944282
1,ABCF1,0.17302052785923755
2,ACVR1C,0.03812316715542522
3,ADAM12,0.002932551319648094
4,ADGRE1,0.002932551319648094
5,ADM,0.18475073313782991
6,AKT1,0.026392961876832845
7,ALDOA,0.01466275659824047
8,ALDOC,0.06744868035190615
9,ANGPT1,0.21407624633431085
10,ANGPT2,0.005865102639296188
11,ANGPTL4,0.011730205278592375
12,ANLN,0.008797653958944282
13,APC,0.26392961876832843
14,APH1B,0.04985337243401759
15,API5,0.20527859237536658
16,APOL6,0.002932551319648094
17,AQP9,0.02346041055718475
18,AREG,0.008797653958944282
19,ARG1,0.008797653958944282
20,ARG2,0.15835777126099707
21,ARID1A,0.7096774193548387
22,ARNT2,0.020527859237536656
23,ATF3,0.0967741935483871
24,ATM,0.5131964809384164
25,AXIN1,0.03519061583577713
26,AXL,0.011730205278592375
27,B2M,0.005865102639296188
28,BAD,0.011730205278592375
29,BAMBI,0.04398826979472141
30,BBS1,0.5806451612903226
31,BCAT1,0.011730205278592375
32,BCL2,0.187683284457478
33,BCL6B,0.02346041055718475
34,BID,0.005865102639296188
35,BIRC3,0.020527859237536656
36,BIRC5,0.09970674486803519
37,BLK,0.017595307917888565
38,BNIP3,0.5630498533724341
39,BNIP3L,0.10850439882697947
40,BRCA1,0.13196480938416422
41,BRCA2,0.002932551319648094
42,BRD3,0.1906158357771261
43,BRD4,0.17595307917888564
44,BRIP1,0.002932551319648094
45,BTLA,0.093841642228739
46,C2,0.008797653958944282
47,C5,0.002932551319648094
48,CASP1,0.011730205278592375
49,CASP8,0.0
50,CASP9,0.30791788856304986
51,CBLC,0.026392961876832845
52,CCL14,0.4897360703812317
53,CCL19,0.002932551319648094
54,CCL2,0.22580645161290322
55,CCL20,0.017595307917888565
56,CCL21,0.03812316715542522
57,CCL22,0.04398826979472141
58,CCL3/L1,0.7800586510263929
59,CCL4,0.1466275659824047
60,CCL5,0.011730205278592375
61,CCL7,0.008797653958944282
62,CCL8,0.40762463343108507
63,CCNA1,0.2434017595307918
64,CCND1,0.005865102639296188
65,CCND2,0.10263929618768329
66,CCND3,0.026392961876832845
67,CCNE1,0.008797653958944282
68,CCNO,0.3489736070381232
69,CCR5,0.017595307917888565
70,CD14,0.002932551319648094
71,CD19,0.005865102639296188
72,CD1C,0.15249266862170088
73,CD2,0.005865102639296188
74,CD209,0.002932551319648094
75,CD244,0.17008797653958943
76,CD27,0.10557184750733138
77,CD276,0.008797653958944282
78,CD28,0.011730205278592375
79,CD300A,0.005865102639296188
80,CD36,0.04398826979472141
81,CD40,0.21114369501466276
82,CD40LG,0.005865102639296188
83,CD44,0.011730205278592375
84,CD45RA,0.008797653958944282
85,CD47,0.017595307917888565
86,CD48,0.020527859237536656
87,CD5,0.02932551319648094
88,CD58,0.011730205278592375
89,CD69,0.06744868035190615
90,CD7,0.01466275659824047
91,CD70,0.005865102639296188
92,CD79A,0.002932551319648094
93,CD84,0.026392961876832845
94,CD8A,0.05571847507331378
95,CD8B,0.005865102639296188
96,CD96,0.002932551319648094
97,CDC20,0.0
98,CDH1,0.01466275659824047
99,CDH11,0.017595307917888565
100,CDH2,0.005865102639296188
101,CDH5,0.05278592375366569
102,CDK2,0.06158357771260997
103,CDK6,0.011730205278592375
104,CDKN1A,0.020527859237536656
105,CDKN1C,0.34017595307917886
106,CDKN2A,0.002932551319648094
107,CDKN2B,0.002932551319648094
108,CEBPB,0.002932551319648094
109,CEP55,0.017595307917888565
110,CES3,0.1436950146627566
111,CHUK,0.1495601173020528
112,CLEC14A,0.10263929618768329
113,CLEC4E,0.17302052785923755
114,CLECL1,0.008797653958944282
115,CMKLR1,0.01466275659824047
116,CNTFR,0.04985337243401759
117,COL11A1,0.002932551319648094
118,COL11A2,0.03812316715542522
119,COL4A5,0.03519061583577713
120,COL5A1,0.002932551319648094
121,COL6A3,0.005865102639296188
122,CPA3,0.02932551319648094
123,CRABP2,0.002932551319648094
124,CSF1,0.005865102639296188
125,CSF2,0.005865102639296188
126,CSF3,0.26392961876832843
127,CSF3R,0.02346041055718475
128,CST2,0.01466275659824047
129,CTAG1B,0.002932551319648094
130,CTLA4,0.002932551319648094
131,CTNNB1,0.005865102639296188
132,CTSS,0.002932551319648094
133,CTSW,0.03519061583577713
134,CX3CL1,0.01466275659824047
135,CX3CR1,0.1378299120234604
136,CXCL11,0.005865102639296188
137,CXCL12,0.008797653958944282
138,CXCL13,0.005865102639296188
139,CXCL14,0.08211143695014662
140,CXCL16,0.02346041055718475
141,CXCL2,0.002932551319648094
142,CXCL3,0.17302052785923755
143,CXCL5,0.008797653958944282
144,CXCL6,0.005865102639296188
145,CXCL8,0.17008797653958943
146,CXCR2,0.008797653958944282
147,CXCR6,0.017595307917888565
148,CXorf36,0.3343108504398827
149,DDB2,0.10263929618768329
150,DEPTOR,0.002932551319648094
151,DKK1,0.020527859237536656
152,DLL1,0.6832844574780058
153,DLL4,0.10557184750733138
154,DNAJC14,0.03225806451612903
155,DNMT1,0.06744868035190615
156,DTX3L,0.008797653958944282
157,DTX4,0.011730205278592375
158,DUSP1,0.06158357771260997
159,DUSP2,0.15835777126099707
160,DUSP5,0.005865102639296188
161,EDN1,0.026392961876832845
162,EGF,0.017595307917888565
163,EGFR,0.005865102639296188
164,EGR1,0.15835777126099707
165,EIF2AK2,0.011730205278592375
166,EIF2B4,0.11143695014662756
167,EIF4EBP1,0.03812316715542522
168,ELOB,0.002932551319648094
169,ENO1,0.07624633431085044
170,ENTPD1,0.3284457478005865
171,EOMES,0.05278592375366569
172,EPCAM,0.005865102639296188
173,EPM2AIP1,0.06744868035190615
174,ERBB2,0.008797653958944282
175,ERCC3,0.2668621700879765
176,ERO1A,0.0967741935483871
177,ESR1,0.005865102639296188
178,EXO1,0.017595307917888565
179,F2RL1,0.08797653958944282
180,FAM124B,0.1466275659824047
181,FANCA,0.2287390029325513
182,FAP,0.005865102639296188
183,FAS,0.1436950146627566
184,FASLG,0.026392961876832845
185,FBP1,0.002932551319648094
186,FCAR,0.26392961876832843
187,FCGR2B,0.008797653958944282
188,FCGR3A/B,0.01466275659824047
189,FCGRT,0.020527859237536656
190,FCN1,0.0967741935483871
