,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,IL1A,300,20.254559991048342,0.0023421894028551114,0.8571428571428571
1,TMEM140,273,14.947317388986983,0.009585888918113602,0.78
2,CCL7,272,18.594498797095007,0.003770217474135521,0.7771428571428571
3,HDAC4,271,15.115401945180002,0.008005373198356277,0.7742857142857142
4,CDC25C,267,15.937191913544178,0.008529354876358412,0.7628571428571429
5,IL24,266,16.592003329023886,0.007884897929735027,0.76
6,KIR3DL2,251,17.060392546497773,0.007811022508944653,0.7171428571428572
7,BNIP3,245,14.562784153732396,0.010237891335509224,0.7
8,TWIST2,243,13.222987769662385,0.016168047523019,0.6942857142857143
9,TSLP,242,13.561468084030373,0.013547926918299053,0.6914285714285714
10,ARID1A,236,14.468441810482872,0.011106307281018815,0.6742857142857143
11,SMAD5,235,13.417177694213642,0.01630596691094199,0.6714285714285714
12,IL2,229,14.857106714498991,0.01397872113187074,0.6542857142857142
13,IL1B,222,12.850261474896428,0.017591821279521788,0.6342857142857142
14,TNFSF9,220,13.380549458502797,0.01676933411958341,0.6285714285714286
15,CCL22,213,13.065428035949761,0.021553834664182644,0.6085714285714285
16,PLA1A,210,11.95532606836511,0.023751934488934444,0.6
17,IHH,203,12.874101920551764,0.020170941506710505,0.58
18,TAF3,199,12.174264095586475,0.02956271315654873,0.5685714285714286
19,BBS1,199,11.558586388406901,0.028329964313617124,0.5685714285714286
20,FGFR1,180,11.781101255622026,0.031106142238850186,0.5142857142857142
21,MAP3K12,179,11.414945370853237,0.02789963215431393,0.5114285714285715
22,CCL8,169,9.678516134928726,0.045465178261841946,0.4828571428571429
23,TGFBR1,168,10.047492974348712,0.0449971560825326,0.48
24,MLH1,163,9.904736738253465,0.04494839663036509,0.4657142857142857
25,MB21D1,161,10.742001168540048,0.042781224753929786,0.46
26,SLC2A1,154,9.953264945020408,0.06340731862520066,0.44
27,ROCK1,154,9.792406006296478,0.0486612899709786,0.44
28,ATM,150,9.842327761357934,0.053931862251717554,0.42857142857142855
29,MS4A2,150,9.408170976943019,0.05428355293960965,0.42857142857142855
30,HMGB1,149,9.684827392241194,0.05328755957055411,0.4257142857142857
31,TCF3,144,9.145532579817425,0.0632178404031088,0.4114285714285714
32,SIGLEC8,140,10.789111136531533,0.06984091521981317,0.4
33,OTOA,140,8.668321447169385,0.07168226490422944,0.4
34,BRCA1,139,9.171009840629724,0.057376838137029804,0.39714285714285713
35,PTPN11,139,8.986633546195842,0.05725979380767426,0.39714285714285713
36,FLNB,138,9.273016133083374,0.06078744364351468,0.3942857142857143
37,RELA,137,8.69197910375022,0.0699208833393276,0.3914285714285714
38,CLEC4E,133,10.662974633683561,0.15119137456291293,0.38
39,DKK1,133,8.982112114723101,0.10519235143590089,0.38
40,PTCD2,129,8.364144357210364,0.06841923191573515,0.36857142857142855
41,ID4,126,8.547958684686263,0.07783919587634032,0.36
42,SOX11,117,8.097059158081473,0.07609624443649797,0.3342857142857143
43,KIR3DL1,114,8.291313699243105,0.0968713627300441,0.32571428571428573
44,PDCD1,111,7.497951769545694,0.2650136088816909,0.3171428571428571
45,RAD50,110,7.786827883160482,0.13601953067044295,0.3142857142857143
46,TNKS,108,7.770989276087948,0.13871879786549662,0.30857142857142855
47,ERCC3,99,7.113718513976238,0.1275700962008917,0.28285714285714286
48,IL4,99,6.933270713215826,0.13290378174536724,0.28285714285714286
49,TNFRSF25,94,7.2105324078395565,0.12874806612365963,0.26857142857142857
50,FCRL2,94,7.116968848970173,0.13815298683210409,0.26857142857142857
51,TBP,93,7.41374918719882,0.12016771805714073,0.26571428571428574
52,NF1,92,7.4054267411932795,0.0997104457677216,0.26285714285714284
53,UBE2T,92,7.216853546004412,0.11503977292087303,0.26285714285714284
54,TNFSF18,92,7.203989206978487,0.09106592055531629,0.26285714285714284
55,SLC7A5,88,6.826721379458942,0.12994486301598385,0.25142857142857145
56,TNFRSF18,87,5.760650643500299,0.3577931473555198,0.24857142857142858
57,VEGFB,86,6.854193895162994,0.1256802441680722,0.24571428571428572
58,NDUFA4L2,85,6.991175252557218,0.11458539861228156,0.24285714285714285
59,HDAC3,83,6.564732373211985,0.15978745308587133,0.23714285714285716
60,RASGRF1,82,7.129220943957186,0.11502245957183786,0.2342857142857143
61,RPS6KB1,77,6.459232471990872,0.12505663872144435,0.22
62,BTLA,77,6.3493359677456676,0.18517996708109152,0.22
63,G6PD,77,6.335252203083287,0.1327639285328296,0.22
64,CCL3/L1,76,6.750212270242457,0.13091883816052804,0.21714285714285714
65,PUM1,76,5.536946468099395,0.3838109657858549,0.21714285714285714
66,WNT7B,75,6.5917806413809945,0.12107315330807997,0.21428571428571427
67,PIK3CD,75,5.928603135568145,0.16941971065717715,0.21428571428571427
68,SERPINB5,73,6.421368312774629,0.11993001479437604,0.20857142857142857
69,TIE1,71,5.97701798127606,0.1851820492783836,0.20285714285714285
70,CX3CR1,71,5.94845775099697,0.15594061308651164,0.20285714285714285
71,IRF2,69,6.287124604945269,0.15442551871088916,0.19714285714285715
72,BLK,69,5.899583484048691,0.24018419309146777,0.19714285714285715
73,APC,69,5.839896029091749,0.2571682478810189,0.19714285714285715
74,IFNA1,69,5.534429981820486,0.22218220089079266,0.19714285714285715
75,CD7,68,5.958368003585632,0.1767447248999171,0.19428571428571428
76,CXCR2,68,5.94804341564373,0.2294467778518141,0.19428571428571428
77,ENTPD1,67,5.728329391414502,0.19220112987289767,0.19142857142857142
78,MRE11,66,6.160341616588127,0.14187992861369453,0.18857142857142858
79,TYMS,66,5.813771693846201,0.1751440170235463,0.18857142857142858
80,CSF3,66,5.388064273621685,0.23290873233706785,0.18857142857142858
81,MXI1,65,6.226210186403307,0.14112212895465265,0.18571428571428572
82,NRDE2,65,5.932350138259265,0.19208622180859825,0.18571428571428572
83,BRD4,65,5.203165824206796,0.2867063015869852,0.18571428571428572
84,API5,64,4.839485744236499,0.4864845301708207,0.18285714285714286
85,KRAS,63,5.748601629458719,0.15576266325585145,0.18
86,DLL1,62,5.95204378936826,0.16711926468997282,0.17714285714285713
87,PCK2,62,5.594672573010886,0.19261071326391288,0.17714285714285713
88,CD40,62,5.576429992450216,0.17593078875145873,0.17714285714285713
89,TNF,60,6.020076838090868,0.1707353516677304,0.17142857142857143
90,MAML2,60,5.82991541820551,0.19234509133782787,0.17142857142857143
