,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,HDAC4,328,18.310437105397764,0.004273204144356691,0.9371428571428572
1,SNCA,308,16.89975877427145,0.008424468345270672,0.88
2,TMEM140,297,14.714398477210159,0.015911486773176636,0.8485714285714285
3,CCL3/L1,271,14.92855850515684,0.016446703223937542,0.7742857142857142
4,SMAD5,264,14.370805031274113,0.014956830863843133,0.7542857142857143
5,MAPK10,252,13.219788113333115,0.022641019947288794,0.72
6,ARID1A,249,14.33117008430402,0.014385409617471239,0.7114285714285714
7,FGFR1,245,13.758390197253565,0.02176335693767871,0.7
8,DLL1,237,12.256073367379352,0.025185798937814308,0.6771428571428572
9,KLRD1,225,11.84289710757016,0.03889283288676158,0.6428571428571429
10,TGFBR1,220,11.474560010133104,0.02929103792288404,0.6285714285714286
11,GNG4,212,10.95416693275894,0.03391468133812328,0.6057142857142858
12,TAF3,211,11.913480924404876,0.0328309001963986,0.6028571428571429
13,IL1B,211,11.281079927703827,0.03525393664857933,0.6028571428571429
14,BBS1,205,11.141613524590307,0.03995714309283804,0.5857142857142857
15,ID4,202,11.166150829881452,0.03546791472089656,0.5771428571428572
16,MAP3K12,201,11.711641715828467,0.031246684102456422,0.5742857142857143
17,BNIP3,199,11.354629683713544,0.034931349778489454,0.5685714285714286
18,ROCK1,196,11.154702893059392,0.03521165859965271,0.56
19,TWIST2,193,11.864157890958895,0.035397262456406536,0.5514285714285714
20,ATM,180,10.278812540823653,0.048033281697730565,0.5142857142857142
21,MLH1,175,10.01426031796418,0.04639792440299664,0.5
22,CCL14,168,9.943897233535742,0.06423362299594174,0.48
23,HMGB1,167,9.59645547894478,0.05940983936463563,0.47714285714285715
24,RELA,157,9.145113910884223,0.06532864055492243,0.44857142857142857
25,FLNB,155,9.063073836889197,0.06403404486618433,0.44285714285714284
26,PTPN11,154,8.704523048578912,0.06999325920589383,0.44
27,SLC2A1,152,9.021411668357647,0.08249664031206866,0.4342857142857143
28,CCL8,141,8.73804664806653,0.07741721625779185,0.40285714285714286
29,TCF3,133,7.79893264455011,0.09746392315931252,0.38
30,TNKS,132,8.44609672618366,0.11567427383018318,0.37714285714285717
31,PRKACB,126,8.010639331611104,0.1144092873686207,0.36
32,CCNO,124,7.727970698390837,0.09843721454161564,0.35428571428571426
33,TNFSF12,121,8.08277322364094,0.10818200845837184,0.3457142857142857
34,CDKN1C,118,7.9676834292872325,0.1023709315766343,0.33714285714285713
35,MB21D1,117,7.814085376287705,0.10654238594728252,0.3342857142857143
36,RAD50,116,7.649041892778488,0.14772057080196016,0.3314285714285714
37,ENTPD1,115,7.853410968323811,0.09966027878731333,0.32857142857142857
38,CXorf36,115,7.722991242695708,0.1035885688098438,0.32857142857142857
39,LAG3,115,7.356956076127148,0.10077323704740353,0.32857142857142857
40,TYMS,114,7.904574159782842,0.09485734363454376,0.32571428571428573
41,IL33,110,7.796960460282578,0.11695415982947836,0.3142857142857143
42,PCK2,110,7.216405594681133,0.10951909603639537,0.3142857142857143
43,TBP,110,7.1502093961877655,0.15185505567929392,0.3142857142857143
44,RPS6KB1,109,7.388134190041492,0.09693811761002089,0.31142857142857144
45,CASP9,109,7.248948130731782,0.11216729335461344,0.31142857142857144
46,GAS1,107,7.466683923669737,0.1142320437770141,0.3057142857142857
47,MS4A2,103,7.215968945813242,0.11820199436802792,0.29428571428571426
48,VEGFB,102,7.4832907845171315,0.10195902655931921,0.2914285714285714
49,VEGFC,102,7.348449043684471,0.1259734341996785,0.2914285714285714
50,NF1,95,7.2974381652768505,0.11841343801696544,0.2714285714285714
51,TIE1,95,7.14438648619721,0.1310308396786275,0.2714285714285714
52,PIK3CD,95,6.7058339648844845,0.14121488585970216,0.2714285714285714
53,CSF3,95,6.312776398785151,0.12993984899502992,0.2714285714285714
54,IRF2,93,7.02652670937207,0.1254563157335621,0.26571428571428574
55,HDAC3,93,6.626004771208801,0.16889566910970505,0.26571428571428574
56,ERCC3,93,6.1759808719140565,0.18744274439985403,0.26571428571428574
57,FCAR,92,6.898859257531467,0.1403945845991481,0.26285714285714284
58,IL34,90,6.657130986487152,0.14406060482877447,0.2571428571428571
59,APC,90,6.317589224129897,0.22466562674433715,0.2571428571428571
60,MXI1,86,6.666903601016267,0.1192626284493131,0.24571428571428572
61,WNT2B,85,6.258052387655436,0.1555532580314541,0.24285714285714285
62,SHC2,84,6.506444935181939,0.1636790840310616,0.24
63,CCNA1,84,6.4734733913761255,0.13526381098151752,0.24
64,PUM1,84,5.308927012469507,0.4281114817195951,0.24
65,SLC7A5,83,6.074799559740639,0.15326664710269483,0.23714285714285716
66,MMRN2,80,6.493706477631057,0.17646926024011933,0.22857142857142856
67,FANCA,79,6.589393362706631,0.14429969501348053,0.2257142857142857
68,G6PD,79,6.042267993640881,0.15677462943125536,0.2257142857142857
69,CCL2,78,6.467494651245828,0.16603366414246015,0.22285714285714286
70,IL11RA,78,6.302906858478708,0.15506309811750688,0.22285714285714286
71,MRE11,76,5.230961803034635,0.20225070495667624,0.21714285714285714
72,FGF13,75,6.6299003452531435,0.11108985424429746,0.21428571428571427
73,NCAM1,75,6.090017948458112,0.1682654907234859,0.21428571428571427
74,ANGPT1,74,6.485204147513359,0.1687782807440636,0.21142857142857144
75,CD40,74,6.342486928959032,0.1401950125153377,0.21142857142857144
76,ZEB2,74,6.258909964748705,0.18501415387057257,0.21142857142857144
77,TMUB2,73,5.704442248853069,0.19971189949602697,0.20857142857142857
78,API5,73,4.8306204841822185,0.47418755216525116,0.20857142857142857
79,RPL23,72,4.822983313849079,0.3873630692619024,0.2057142857142857
80,MAP3K8,70,6.32859271365416,0.15670549544753481,0.2
81,MAML2,70,5.738554565307454,0.21499835957256963,0.2
82,TLR3,69,6.068090777639294,0.17500140864093577,0.19714285714285715
83,MMP9,67,5.544417115761973,0.19106659620511318,0.19142857142857142
84,ADM,67,5.515489690905103,0.2386161222536685,0.19142857142857142
85,BRD3,67,5.348111247788579,0.28802849906842565,0.19142857142857142
86,BCL2,66,6.087830696307823,0.14799405413904487,0.18857142857142858
87,TNFRSF25,65,5.237688484855862,0.24185586330984404,0.18571428571428572
88,PFKM,64,4.911366578344815,0.21154377126377688,0.18285714285714286
89,NOTCH2,64,4.73553133105985,0.3569647486855132,0.18285714285714286
90,CLEC4E,62,4.389510167675249,0.28848302354412136,0.17714285714285713
91,BRD4,61,4.785197905747714,0.3430330780754782,0.1742857142857143
92,CXCL3,60,5.719135721554286,0.18208422289506548,0.17142857142857143
93,ABCF1,60,4.231121755344671,0.41462064783518027,0.17142857142857143
94,CD244,59,5.837421377508039,0.20099802213904844,0.16857142857142857
95,CXCL8,58,5.2306304292789845,0.22448258183491646,0.1657142857142857
96,MAGEB2,57,6.1559131925107025,0.15615415684591571,0.16285714285714287
97,ARG2,57,5.029275399565719,0.1898943690323749,0.16285714285714287
98,IL4,56,5.6686399748511,0.16965808322841053,0.16
99,GLI1,56,5.174174843552593,0.21644862360775965,0.16
100,DUSP2,55,5.45461098519374,0.20413941405488142,0.15714285714285714
101,RB1,55,5.208594398522937,0.2251344829521275,0.15714285714285714
102,PTGS2,54,5.135708067828406,0.23531518950428365,0.15428571428571428
103,ITGB3,54,5.051971833782554,0.22024624836970766,0.15428571428571428
104,EGR1,54,4.952729545343552,0.2709738728216153,0.15428571428571428
105,NRDE2,54,4.814411681726439,0.2663229003709745,0.15428571428571428
106,CD1C,53,5.272524070034794,0.21537833362461167,0.15142857142857144
107,ROR2,53,5.226588178645573,0.23090173135974634,0.15142857142857144
108,CHUK,52,5.060763192982225,0.22489656246105305,0.14857142857142858
109,CCL4,51,5.565808433513417,0.20343401358089652,0.1457142857142857
110,FAM124B,51,5.326513279579201,0.19339289565357204,0.1457142857142857
111,MSH6,51,4.1384734155483995,0.3119329386662813,0.1457142857142857
112,MYC,50,5.032810920413391,0.23078254851201693,0.14285714285714285
113,CES3,50,4.858930833629511,0.2147489028479389,0.14285714285714285
114,CX3CR1,49,5.344680575368874,0.20544242026360182,0.14
115,FAS,49,5.205436010761187,0.21800293704430168,0.14
116,SOX2,49,4.682137683835304,0.23843094227577688,0.14
117,BRCA1,49,4.116197441812085,0.2749118035023177,0.14
118,KLRB1,45,5.763108229260918,0.18708751681808206,0.12857142857142856
119,S100A12,45,5.019178493806864,0.2484147523945014,0.12857142857142856
120,JAG1,44,4.970164487812923,0.24339859989996457,0.12571428571428572
121,SH2D1A,43,5.126721887715845,0.23419371192875726,0.12285714285714286
122,TGFB1,42,5.2651196698184215,0.23155224327948143,0.12
123,RNLS,41,4.357039897786074,0.3257215535157103,0.11714285714285715
124,UBE2T,41,3.6213467037080758,0.35589098820373266,0.11714285714285715
125,THBD,40,5.158377133366674,0.23180656833108448,0.11428571428571428
126,IL6,40,4.631890654947819,0.2450746267591301,0.11428571428571428
127,SGK1,40,4.296531473493589,0.32956398555890964,0.11428571428571428
128,TBC1D10B,40,3.9495833324391767,0.3087977463854,0.11428571428571428
129,CD27,39,5.12349698376128,0.2102044533526059,0.11142857142857143
130,BNIP3L,39,4.647588152286088,0.27724108808537695,0.11142857142857143
131,EIF2B4,39,3.848919724473526,0.3768532049630081,0.11142857142857143
132,TGFB2,38,3.757531713389907,0.3504397957532194,0.10857142857142857
133,JAK2,37,5.239455658029509,0.22174319147462468,0.10571428571428572
134,NEIL1,37,4.221591533846429,0.29022680047182237,0.10571428571428572
135,RAD51C,37,3.6550055148473186,0.3711643366689622,0.10571428571428572
136,DLL4,36,5.050244170844045,0.21947961838754843,0.10285714285714286
137,WNT4,35,4.97727691911862,0.22177855453266188,0.1
138,BIRC5,35,4.964084000605227,0.22799161127917922,0.1
139,CCND2,35,4.750630499188427,0.2468950008182755,0.1
140,CLEC14A,35,4.7203619489044835,0.27140495845697066,0.1
141,DDB2,35,4.3187881217288755,0.2735976769413486,0.1
142,LTBP1,35,3.9537665210345487,0.29903253222608644,0.1
143,ITGA1,35,3.8973609940515104,0.3583432927400969,0.1
144,PTEN,34,4.443650673995411,0.3314953572126359,0.09714285714285714
145,KRAS,34,3.975616739845118,0.2896423362903977,0.09714285714285714
146,ERO1A,34,3.494111875756194,0.35944096518783397,0.09714285714285714
147,SF3A1,34,3.311736163452969,0.5487388866662328,0.09714285714285714
148,FCN1,33,4.673443532226793,0.29287867653772126,0.09428571428571429
149,ATF3,33,4.157607630240635,0.3210305289577974,0.09428571428571429
150,BTLA,33,3.4805841373934916,0.374780171171302,0.09428571428571429
151,LOXL2,32,4.198958265710134,0.2807653949654129,0.09142857142857143
152,REN,32,4.0534060706321435,0.26836945122185096,0.09142857142857143
153,OASL,32,3.746664196744085,0.36520454303603567,0.09142857142857143
154,TPM1,31,4.179379342707287,0.2972457876361312,0.08857142857142856
155,F2RL1,31,3.830686941514732,0.34222899154147723,0.08857142857142856
156,SMAP1,31,3.4593114977608783,0.370367241185273,0.08857142857142856
157,FZD8,30,3.6836983002579218,0.33859084362359226,0.08571428571428572
158,TDO2,30,3.456019418417163,0.3659186579809268,0.08571428571428572
159,CXCL14,29,2.8348408738157236,0.4761297175754067,0.08285714285714285
160,SOCS1,28,4.466279758646865,0.2513922603861891,0.08
161,LRRC32,28,4.066189129599527,0.30548784542344465,0.08
162,VEGFA,28,3.225874467818998,0.4147463991728166,0.08
163,ENO1,27,2.7390706805206797,0.4876533596621462,0.07714285714285714
164,P2RY13,26,4.340950791393882,0.296503774990342,0.07428571428571429
165,ITGA6,26,3.911898876773185,0.33912803115159873,0.07428571428571429
