,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,RRM2,396,26.162555829713412,0.0010931369246129936,0.99
1,MKI67,368,21.310783080233993,0.0037479857183585585,0.92
2,CEP55,365,19.692478678255817,0.004916628923670901,0.9125
3,ANLN,360,18.237396599152056,0.007462222202095125,0.9
4,PSMB5,357,19.42199418964651,0.005275639680799112,0.8925
5,TYMS,352,19.909603069891137,0.005105815283327655,0.88
6,UBE2C,329,15.942455183678494,0.01346920403340859,0.8225
7,EZH2,326,17.341558051190933,0.010674438530799024,0.815
8,CCND1,294,15.162034379994857,0.015016930639717938,0.735
9,CENPF,264,13.176686431763601,0.025987040626650876,0.66
10,BIRC5,251,13.04360226851672,0.030414056589602237,0.6275
11,TMUB2,244,12.990926687364782,0.025473482350832872,0.61
12,MELK,229,12.252169290629897,0.03630819288156985,0.5725
13,CCNB1,218,11.125446890278887,0.04188692030952506,0.545
14,MYCT1,210,11.206155729406532,0.044170139711118384,0.525
15,HDC,209,11.410328135708987,0.04908596347659435,0.5225
16,CDC20,205,11.087044976671175,0.04565007767371261,0.5125
17,CDH1,201,10.697657793225208,0.04142753856502021,0.5025
18,CNTFR,197,10.61832564056832,0.055722052343770964,0.4925
19,IGF2R,189,10.300710226565789,0.054527452978979624,0.4725
20,HELLS,188,10.674596406561394,0.055863874818776055,0.47
21,UBE2T,188,10.233662430512512,0.062492143231387055,0.47
22,RAD51,184,10.69773131314986,0.05488882826022433,0.46
23,KIF2C,179,9.978605162486318,0.05297676894621578,0.4475
24,MAPK10,171,9.8407294846653,0.06950801841279391,0.4275
25,RASGRF1,166,8.845890675096252,0.07052979771906032,0.415
26,DNMT1,163,9.413098445454738,0.07159104545415587,0.4075
27,CDKN1C,161,9.296028129058683,0.06924751572722054,0.4025
28,HDAC4,157,9.635769239594742,0.06847871765984281,0.3925
29,CRABP2,154,9.51764392060132,0.07592652501057615,0.385
30,IL11RA,154,9.191109441464066,0.06467513390130433,0.385
31,MS4A2,143,9.140706653369499,0.07908831929971583,0.3575
32,JAK2,139,8.84608347011591,0.09066856804078799,0.3475
33,MICA,137,8.62514515916033,0.12296671163297224,0.3425
34,TIE1,136,8.4984731206774,0.09407295417027853,0.34
35,BCL6B,135,8.732762964659853,0.09063579710693863,0.3375
36,HDAC5,135,8.288542061205844,0.15935337463780697,0.3375
37,BRCA2,133,8.2726928673903,0.10378997511253099,0.3325
38,VSIR,130,8.051809143465722,0.12714704861716525,0.325
39,CXorf36,127,8.270874282290764,0.09842545454789736,0.3175
40,TBC1D10B,127,7.382075791261716,0.1095530306870117,0.3175
41,TNFSF12,124,8.411939118263783,0.09339659689389504,0.31
42,EXO1,124,7.972221287733121,0.10063981693731175,0.31
43,IRF2,123,8.411108181220284,0.09568801776677356,0.3075
44,CCNA1,122,7.909129987213792,0.10363667197961385,0.305
45,WNT10A,122,7.636173641522776,0.1028792155578532,0.305
46,BRIP1,121,7.825890242453756,0.12213944352510792,0.3025
47,MRPL19,121,7.501254181672883,0.1283155589778407,0.3025
48,PKM,119,7.646549257251823,0.09403843108592115,0.2975
49,HDAC3,112,6.751491338355095,0.302520474022875,0.28
50,EPCAM,110,7.827038395637996,0.11624860254316577,0.275
51,NCR1,106,7.463549757041935,0.13618047653971216,0.265
52,SELP,105,6.957878568866408,0.1431286773274705,0.2625
53,NECTIN1,105,6.546275978542615,0.13476655763365222,0.2625
54,GLS,104,7.536027753389987,0.1032051028759399,0.26
55,ISG15,102,6.738954944701334,0.14944824537733503,0.255
56,RAD51C,102,5.9034854625590665,0.2038609604986646,0.255
57,IL33,100,7.678113012205274,0.11295132806013068,0.25
58,TGFBR1,96,7.053469168216216,0.13110328848900094,0.24
59,APC,90,5.945438470284553,0.40566312543086525,0.225
60,CD274,89,6.65068394206116,0.1866908669384691,0.2225
61,POLD1,89,6.400897034378158,0.1937890425435722,0.2225
62,TSLP,87,6.906587806807194,0.127065493067306,0.2175
63,PTGS2,87,6.828574613748181,0.14223470551413142,0.2175
64,ITPK1,86,6.440330988476689,0.13948654334351146,0.215
65,TPI1,85,7.232844913303354,0.1122901436255641,0.2125
66,TDO2,84,6.148961964928997,0.1900185330019719,0.21
67,IL6R,84,6.143761291755123,0.1636900968775324,0.21
68,CXCL5,83,5.1917311994955675,0.21745032234120587,0.2075
69,MTOR,78,6.500201134237045,0.14340978441689328,0.195
70,PECAM1,78,6.285778658669901,0.24911014754851268,0.195
71,STC1,77,5.059697175468509,0.2532009619574689,0.1925
72,FANCA,76,6.6714661241924444,0.18029992987781057,0.19
73,SLC16A1,76,6.058527355334271,0.16578789603246585,0.19
74,BCL2,75,6.75576994754163,0.14427442197817203,0.1875
75,ITGB8,74,6.584318934246519,0.13625283984027814,0.185
76,CCND2,74,6.375372667207428,0.23377645581701614,0.185
77,TNFRSF10B,74,5.885491170541432,0.2036282898590031,0.185
78,ROCK1,72,5.9722793320760434,0.18471429322188035,0.18
79,PVR,72,5.600594947485686,0.1690649787718026,0.18
80,IL34,71,6.169683954493191,0.18624601943895763,0.1775
81,MFNG,70,6.766745594510571,0.13951837785362597,0.175
82,PSMC4,68,6.142505429152293,0.18261035005412757,0.17
83,STAT3,67,6.0483291391150935,0.20569993244815946,0.1675
84,EIF4EBP1,67,5.693629424874843,0.16586533447251628,0.1675
85,LTBP1,67,5.23774839575317,0.2797506502512063,0.1675
86,LDHB,66,6.622752156581071,0.13960538463211092,0.165
87,BCL2L1,66,5.867180455696857,0.16510740863185533,0.165
88,WDR76,66,5.4724428596887105,0.24248159932057511,0.165
89,SRP54,66,5.26026157721504,0.2165595754130502,0.165
90,ENO1,65,6.153878757598598,0.14857153253753766,0.1625
91,TP53,65,5.290727921907378,0.1961515489661298,0.1625
92,NEIL1,64,6.015161404640744,0.18787948422224932,0.16
93,FGF13,64,5.676541274438177,0.22019668475132487,0.16
94,CD244,63,5.754000673857505,0.19643760142693967,0.1575
95,CDC25C,60,5.946358249386901,0.1869747162572445,0.15
96,TRAF1,59,5.758501860057265,0.19681230844952025,0.1475
97,ALDOC,59,5.260892347339633,0.26786718160638945,0.1475
98,DTX3L,59,4.9647904962283125,0.22485710775232787,0.1475
99,RIPK3,58,5.567325487985993,0.21113016688757713,0.145
100,MSH2,57,6.269670397510888,0.19961253346352908,0.1425
101,TLR4,57,5.691114648444852,0.23740396661110463,0.1425
102,CASP9,57,5.096754632579471,0.23117581616171412,0.1425
103,MXI1,56,5.147523034112326,0.22504823021437262,0.14
104,ID4,56,4.486974976804809,0.28161056289374076,0.14
105,RICTOR,54,5.283279120550219,0.2143895575608588,0.135
106,PDCD1,54,4.9684458268166996,0.2904568458229978,0.135
107,CSF2RB,53,5.305764476563785,0.24437212524886975,0.1325
108,CEACAM3,53,5.234299900013741,0.22251723637518017,0.1325
109,RORC,53,4.883154958519627,0.25155132894064147,0.1325
110,DEFB134,53,4.842194931168312,0.21205607502131368,0.1325
111,GNG4,53,4.5027902150099655,0.306074724340562,0.1325
112,BNIP3L,52,4.923605794031594,0.31903683574031205,0.13
113,CDH5,51,5.195852544002535,0.23000094326152076,0.1275
114,ZEB1,50,5.460344570719444,0.26505017537716113,0.125
115,OAS3,50,4.617742780426497,0.2718022613199672,0.125
116,FAS,49,5.280403554249993,0.22806812059333034,0.1225
117,IFI6,49,4.995999055838863,0.22021997333242488,0.1225
118,RPS6KB1,48,4.6696529293228375,0.2853314647338615,0.12
119,LRRC32,47,4.822111097868055,0.25219935404596083,0.1175
120,CD47,46,5.120280914553986,0.2291236965540226,0.115
121,PIK3R1,45,5.625450980487887,0.19234947860871743,0.1125
