,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,RRM2,396,26.163679526582182,0.0010401297364939785,0.99
1,MKI67,369,21.32428049212285,0.0036385989867257704,0.9225
2,CEP55,364,19.690951768811637,0.004923249039616231,0.91
3,PSMB5,358,19.430612301433605,0.005214474650958523,0.895
4,ANLN,357,18.184524139878658,0.007696203422239091,0.8925
5,TYMS,352,19.950002495376385,0.0049560402887940825,0.88
6,UBE2C,328,15.955123294896788,0.013623491336768167,0.82
7,EZH2,322,17.345343804029504,0.010445922883892973,0.805
8,CCND1,293,15.232382948077776,0.014518882285603597,0.7325
9,CENPF,263,13.19196535188678,0.0261154155474486,0.6575
10,BIRC5,248,12.996808929305235,0.031044069884768134,0.62
11,TMUB2,243,12.997552596116957,0.025439700984794585,0.6075
12,MELK,225,12.161704972427806,0.03819137823722905,0.5625
13,MYCT1,216,11.352228684706994,0.04242372533581376,0.54
14,CCNB1,216,11.102142102994689,0.04316041665834394,0.54
15,CDC20,206,11.092579304817814,0.04470935488481399,0.515
16,CNTFR,203,10.723256662978336,0.05318757863747406,0.5075
17,HDC,200,11.308451538624167,0.04977606797682932,0.5
18,CDH1,199,10.703704433657565,0.04139795916395274,0.4975
19,IGF2R,190,10.325751238729385,0.05380142239326799,0.475
20,UBE2T,189,10.283022333594271,0.06092972757364053,0.4725
21,HELLS,188,10.687651965832833,0.05594922741830479,0.47
22,RAD51,180,10.588638282060229,0.05765491490596565,0.45
23,KIF2C,180,10.089955276066437,0.050471161196285974,0.45
24,MAPK10,179,10.190815779964556,0.06429068697116339,0.4475
25,RASGRF1,165,8.867379156775899,0.06912593551959251,0.4125
26,DNMT1,163,9.412808889566756,0.07080780815461686,0.4075
27,HDAC4,161,9.824125575986908,0.06386706182921145,0.4025
28,CDKN1C,160,9.323243601410447,0.06941460351488533,0.4
29,CRABP2,155,9.556023540675898,0.07479538713423786,0.3875
30,IL11RA,153,9.273777336149982,0.06316568627514738,0.3825
31,JAK2,146,8.917591251846712,0.0892044619579214,0.365
32,MS4A2,140,9.097755889291065,0.07619539122425995,0.35
33,MICA,138,8.68700242713315,0.12005839830929843,0.345
34,TIE1,136,8.569844913601052,0.0951798903125945,0.34
35,HDAC5,134,8.342673289483105,0.15291036490386906,0.335
36,BCL6B,133,8.734294510291143,0.09121281643421025,0.3325
37,CXorf36,132,8.453890665798356,0.09417998118426268,0.33
38,BRCA2,132,8.248887679415459,0.10480787035697527,0.33
39,VSIR,131,8.14139883207455,0.1217730915181781,0.3275
40,TBC1D10B,127,7.372558352422458,0.10881832358380084,0.3175
41,TNFSF12,124,8.452716195311682,0.09112078255989255,0.31
42,EXO1,124,7.988318503936995,0.10157834703800028,0.31
43,WNT10A,124,7.632889909389806,0.10011461891964862,0.31
44,IRF2,123,8.419266233202464,0.09476705432353458,0.3075
45,CCNA1,121,7.886105097748357,0.1012057531593673,0.3025
46,BRIP1,121,7.813258927042361,0.12401724870840009,0.3025
47,MRPL19,120,7.508496139274731,0.1267183078190859,0.3
48,PKM,116,7.647403850821861,0.09445151317916109,0.29
49,EPCAM,111,7.8227152852821895,0.11651565786364843,0.2775
50,HDAC3,111,6.76944002913903,0.29453779643552513,0.2775
51,SELP,108,7.107768112058454,0.13896780237248824,0.27
52,NECTIN1,105,6.584928013870874,0.1333647702209952,0.2625
53,GLS,103,7.551241889579639,0.10268028775621937,0.2575
54,NCR1,103,7.409100037684865,0.13760720498861953,0.2575
55,ISG15,103,6.734708632771709,0.14943764529259213,0.2575
56,IL33,102,7.78610108464399,0.10861449201854355,0.255
57,RAD51C,102,5.9728486315503595,0.1914779062881503,0.255
58,TGFBR1,96,7.068090300426502,0.12995588869134883,0.24
59,CD274,90,6.728836941650843,0.18331675630914504,0.225
60,POLD1,90,6.428181594688267,0.1896582194647997,0.225
61,APC,90,5.962938128346752,0.39944809849300955,0.225
62,TPI1,89,7.257107664874835,0.11063851857966299,0.2225
63,PTGS2,88,6.872795881810874,0.14052156420922662,0.22
64,TSLP,87,6.934545047469496,0.12688240677622384,0.2175
65,ITPK1,87,6.455871242840271,0.13679965206806227,0.2175
66,IL6R,84,6.1299751488807805,0.1617601824118804,0.21
67,TDO2,83,6.077447563868945,0.18785266707233117,0.2075
68,CXCL5,83,5.170597404966538,0.21589891723095322,0.2075
69,BCL2,80,6.951363905802618,0.1349461558515584,0.2
70,MTOR,79,6.516247778336924,0.1415140211742112,0.1975
71,STC1,79,5.166827230394351,0.24405046878874065,0.1975
72,PECAM1,78,6.327695108099022,0.24200276866678427,0.195
73,FANCA,77,6.691246011280462,0.18056953502645132,0.1925
74,SLC16A1,76,6.0666566695746384,0.1647232824631501,0.19
75,ITGB8,74,6.5959459954219675,0.13550515945329056,0.185
76,CCND2,74,6.421502386776599,0.2279785511147684,0.185
77,TNFRSF10B,74,5.914132477869296,0.20443575862743463,0.185
78,IL34,72,6.205603362316665,0.1877983937296041,0.18
79,ROCK1,72,5.9778259172968635,0.18251570791023847,0.18
80,PVR,70,5.596604948403488,0.16874454368832198,0.175
81,MFNG,69,6.731852553859946,0.1408612542520672,0.1725
82,PSMC4,69,6.139140036977192,0.18150116084856313,0.1725
83,FGF13,68,5.736223182446594,0.22304327789664938,0.17
84,EIF4EBP1,68,5.703268491934852,0.16367498932986912,0.17
85,LTBP1,68,5.297014331719206,0.27378886801772956,0.17
86,SRP54,68,5.265125306931435,0.21658017368298776,0.17
87,LDHB,67,6.6468085127629,0.13892877369495116,0.1675
88,STAT3,67,6.050563366208516,0.20253229512463844,0.1675
89,ENO1,66,6.154232998026662,0.14889352237438672,0.165
90,BCL2L1,66,5.882583537368103,0.16214835784835716,0.165
91,WDR76,65,5.423282394122566,0.24944412654161346,0.1625
92,TP53,65,5.295844390244497,0.19454105588050027,0.1625
93,NEIL1,64,6.020054331136078,0.18489217217114318,0.16
94,CD244,64,5.790261785832199,0.19058189021955282,0.16
95,TRAF1,59,5.782072293884461,0.19618741952973506,0.1475
96,RIPK3,59,5.612893870141068,0.20757558179836288,0.1475
97,CASP9,58,5.090140302995923,0.23111370650058777,0.145
98,DTX3L,58,4.960019012979167,0.22278646622922715,0.145
99,TLR4,57,5.743291302285967,0.23120282445901755,0.1425
100,MXI1,57,5.280658585003894,0.21539812075498643,0.1425
101,MSH2,56,6.271509581978765,0.19653579679844757,0.14
102,ALDOC,56,5.182506779301414,0.27369885054558507,0.14
103,ID4,55,4.471190308535344,0.28217616968425474,0.1375
104,PDCD1,54,4.992410912922456,0.2899791183105692,0.135
105,CDC25C,53,5.739449579874616,0.19477074068252925,0.1325
106,CSF2RB,53,5.388382512281404,0.23536108743195228,0.1325
107,CEACAM3,53,5.27445331651993,0.21709964351261948,0.1325
108,RORC,53,4.908429355096504,0.24838749601363658,0.1325
109,RICTOR,52,5.28792015387689,0.2146630204854285,0.13
110,BNIP3L,52,4.9575098284947305,0.3150017867548159,0.13
111,GNG4,52,4.432902780140688,0.30256719363716045,0.13
112,CDH5,51,5.233921439273185,0.22649624615089287,0.1275
113,ZEB1,50,5.488408423156313,0.2587925235736449,0.125
114,OAS3,50,4.619563402163619,0.27029264250697066,0.125
115,FAS,49,5.341399715385108,0.22658068997231898,0.1225
116,IFI6,49,4.993415068413974,0.221217734820486,0.1225
117,RPS6KB1,49,4.696964935307124,0.28135280422646974,0.1225
118,DEFB134,47,4.750605265602232,0.21519063147852563,0.1175
119,CD47,46,5.124334388992043,0.22792027011179247,0.115
120,LRRC32,46,4.8303341714739885,0.25329313805540465,0.115
121,F2RL1,46,4.8090881813142765,0.2358757259323218,0.115
122,TNFRSF18,46,4.285647624152018,0.292386471249638,0.115
123,ITGAX,44,4.968715110666296,0.24479417705792683,0.11
124,FADD,44,4.853644162748744,0.23824046818014555,0.11
125,PIK3R1,43,5.633178837884634,0.19218823961118564,0.1075
126,PGPEP1,43,4.230957087928143,0.3019315519237135,0.1075
127,HES1,42,4.056364161750199,0.30983792544545397,0.105
128,OASL,42,3.502429311995401,0.3859749401453992,0.105
129,LAMC2,41,4.801850569606934,0.2406549983658104,0.1025
130,SOX2,41,3.909421799822056,0.32586071556875457,0.1025
131,BMP2,40,5.41789721345719,0.2505010953168682,0.1
132,HEY1,40,3.683737195313464,0.41213173267808373,0.1
133,ADGRE1,40,3.4037004593767812,0.3826820918566434,0.1
134,CPA3,39,5.065536315053063,0.240850463777608,0.0975
135,NT5E,39,4.447326209668393,0.2924126170954814,0.0975
136,BRCA1,39,4.01352050140708,0.34539227647252013,0.0975
137,ENTPD1,37,5.189581514890609,0.22489896855129377,0.0925
138,TNFSF13B,37,4.547652275122599,0.2937530188671751,0.0925
139,TLR3,37,3.7574688191274435,0.343195590832748,0.0925
140,PPARGC1B,37,3.245822806666372,0.3534013444911149,0.0925
141,ITGA1,36,4.281083826572313,0.3032180850106816,0.09
142,SMAD5,36,4.07098067707698,0.3413003217644407,0.09
143,PARP9,36,3.428582023281649,0.38492893400579264,0.09
144,SLC7A5,36,3.4258372044975793,0.36770764152020774,0.09
145,CDH2,35,4.396116225397879,0.2585395928609956,0.0875
146,CLEC14A,35,3.965490749769143,0.38966257380538605,0.0875
147,ARNT2,35,3.92953604615212,0.31606223540161105,0.0875
148,NRAS,35,3.8940028305531857,0.3556145098668574,0.0875
149,EIF5AL1,35,3.7087926139470393,0.29475283250491563,0.0875
150,IL22RA1,35,3.228980367180934,0.3738517861371833,0.0875
151,MMP7,34,3.6706419945161217,0.3573003474230104,0.085
152,KAT2B,33,4.826701624049301,0.28069538786642423,0.0825
153,SYK,33,3.622784404696241,0.3858182031532229,0.0825
154,MAGEA12,33,3.3008226612168357,0.3681793890762069,0.0825
155,CD40,32,4.629444670946046,0.25548577993583277,0.08
156,SNCA,32,4.615371247716245,0.2732365221434282,0.08
157,PIK3CA,32,3.484999135256873,0.3472337138605182,0.08
158,FUT4,31,5.253132196867241,0.1755958297480844,0.0775
159,HMGA1,31,4.422685405286731,0.28562207962320396,0.0775
160,FSTL3,31,4.3736995653192166,0.29260860519186727,0.0775
161,LILRA5,31,4.25793883450884,0.2819579523730128,0.0775
162,CLEC5A,31,3.1852818256816806,0.4632073169476152,0.0775
163,PTGER4,30,4.805259532885836,0.29057067028378597,0.075
164,RBL2,30,3.818446601980439,0.5429305612653329,0.075
165,IRF9,30,3.7889030745980983,0.30899576379462257,0.075
166,NRDE2,30,3.6019126299208346,0.32193756184559275,0.075
167,VEGFC,30,3.5035750580532943,0.36611979096844244,0.075
168,IFIT3,30,3.2278091268576947,0.433373583951157,0.075
