,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,CLK2,289,19.84018785239552,0.03130663318514579,0.7225
1,HCN3,268,17.828643460226594,0.03898728440430854,0.67
2,ESYT3,185,14.447193546270988,0.06533078702069223,0.4625
3,SHROOM1,167,14.096151884798847,0.07870641266087319,0.4175
4,AMOTL2,144,12.30746869002088,0.083698149176475,0.36
5,GPR173,133,12.294790364941727,0.08417769416313822,0.3325
6,CDKL2,132,11.342016181809038,0.11617130468467637,0.33
7,GBP4,131,11.94925251006244,0.08895390691410923,0.3275
8,DDX11,121,12.312157281747933,0.08080545272941586,0.3025
9,CD274,118,11.334246523512935,0.11481945798858753,0.295
10,EOGT,115,11.630302844863976,0.09868697198451575,0.2875
11,FMO1,114,11.292862400449948,0.10762419608841636,0.285
12,OR2I1P,110,11.019542949412504,0.10436715288076724,0.275
13,PITPNC1,107,10.889470949689308,0.10859578948333524,0.2675
14,POSTN,106,10.956390389299763,0.09425370484684144,0.265
15,DHX34,105,11.01710812820205,0.09545222807683279,0.2625
16,DTYMK,102,10.802235207416498,0.1197222507258141,0.255
17,GNB4,99,11.280075876355024,0.1038741864614432,0.2475
18,UBD,99,10.450357720106899,0.10867715103660062,0.2475
19,RAD52,97,10.82550223678803,0.11394264824584584,0.2425
20,CHAF1B,88,10.50707833314074,0.11039979671265354,0.22
21,C21orf58,81,10.717462889495827,0.11390775040146522,0.2025
22,TMEM121,81,9.529498310711942,0.11649994761122204,0.2025
23,HMBS,80,9.656551570724874,0.14745937634530795,0.2
24,CALD1,78,10.318788587717814,0.11087333493376639,0.195
25,FAM151A,77,9.55735926139266,0.1291529138764873,0.1925
26,RNFT2,76,10.184614457345477,0.12033406628707317,0.19
27,IGFBP7,75,10.021529936744775,0.1291529138764873,0.1875
28,CCPG1,73,9.656060772634184,0.12916834238023378,0.1825
29,RTN4R,73,9.42720591200359,0.13052164945635084,0.1825
30,PASK,72,9.111244148238379,0.15266334893900482,0.18
31,CXCL10,71,9.065423944424118,0.13938326546536794,0.1775
32,MCOLN3,71,8.281453787469452,0.1549989192583499,0.1775
33,APOBEC3D,70,9.544982969006211,0.13991343208734555,0.175
34,TTC36,69,9.664584368104979,0.1067681400298989,0.1725
35,SOX6,69,8.134411178356665,0.18663292272704293,0.1725
36,COPZ2,68,9.428149454334777,0.12743897811059185,0.17
37,TMEM201,67,8.202995385155885,0.14739873369459003,0.1675
38,LDOC1,65,8.940507239739155,0.13896098869408213,0.1625
39,C4orf46,65,8.82478421236243,0.15415879973414787,0.1625
40,SOGA1,62,8.524324099754827,0.1520923479797806,0.155
41,FGL2,61,10.403669349835592,0.10928034477499524,0.1525
42,ADAMDEC1,59,9.07415238203081,0.13039525142108863,0.1475
43,PRXL2C,59,8.76271618335381,0.15860945581234565,0.1475
44,TNFRSF10C,58,8.44891969890718,0.13538770832887914,0.145
45,PLA2G7,58,8.177046553055389,0.15906898558250102,0.145
46,CEP72,57,9.130396196961573,0.1286763544894241,0.1425
47,PRKCB,57,8.643870689727144,0.15626301706358425,0.1425
48,KIF24,56,8.835724429243141,0.13616587903040617,0.14
49,SPTB,56,7.833596526152255,0.16179785098753607,0.14
50,EDIL3,54,9.08473188499955,0.13189981303373616,0.135
51,HLA-DQA1,53,9.034429623783753,0.133897850847513,0.1325
52,CPA3,52,9.33482864447147,0.11270160904552291,0.13
53,SLFN13,52,6.872203446882022,0.23902197587986124,0.13
54,FOLH1,52,6.646543880212282,0.21007913792189964,0.13
55,TSPAN7,52,6.489673174052268,0.2387846546358918,0.13
56,GPNMB,51,8.17699627226277,0.17916415110112344,0.1275
57,POLE,50,8.882528293388498,0.12690723038088614,0.125
58,VEGFA,49,7.5731849021959645,0.1895373658880351,0.1225
59,IL33,48,9.467240670395414,0.1283087344142937,0.12
60,LCK,48,8.333548644185855,0.16786904680891918,0.12
61,EPHA2,48,6.714130472061843,0.21704315600447205,0.12
62,PC,48,6.501995280327114,0.2423822823720635,0.12
63,AUTS2,48,6.212344739973347,0.2771448008837283,0.12
64,ITGB8,47,7.142999431491301,0.23146569010982154,0.1175
65,HLA-A,45,7.826294465422441,0.17327204966059173,0.1125
66,TMEM100,45,7.3851518429945555,0.16947929431023356,0.1125
67,PPFIA4,44,8.553105603589911,0.12505333550276523,0.11
68,TEDC1,44,6.996497627435321,0.22000556195874738,0.11
69,MFGE8,44,6.970370277267095,0.21973448566662349,0.11
70,FBN1,43,8.682106742890896,0.13988005319061433,0.1075
71,CTTNBP2,43,7.080599838502458,0.18812619905583314,0.1075
72,ZNRF3,41,8.531081270056768,0.14004989178349708,0.1025
73,ACYP1,41,8.220029371109643,0.1773397006493324,0.1025
74,ENTPD1,41,7.9905954931924335,0.16716802863465158,0.1025
75,SUV39H1,41,7.50305084887102,0.18748850235862763,0.1025
76,TNFSF10,41,6.79682183409227,0.21478577287307885,0.1025
77,SYCP2L,41,6.2549716155526065,0.2474376594816468,0.1025
78,PUS1,41,5.947774310301598,0.27005055956135715,0.1025
79,SV2A,41,5.893134355061725,0.2517137842323959,0.1025
80,GZMA,40,7.934131064672522,0.15545602498733097,0.1
81,C20orf96,39,9.279989706793895,0.12108765873381772,0.0975
82,EXPH5,39,7.602039767525812,0.1844623484468325,0.0975
83,ABCB1,39,7.37325903976106,0.18119760420591519,0.0975
84,RAB26,39,7.066801235913776,0.18759009109638924,0.0975
85,UBL3,38,8.184504589562732,0.1559689090211068,0.095
86,RAVER2,38,6.621812513975381,0.25716866355226825,0.095
87,CBS,37,8.127287627462195,0.15894768701400008,0.0925
88,PABPC1L,37,8.08505949309683,0.14347094438041377,0.0925
89,IGSF6,37,8.017052605900062,0.16643565342224056,0.0925
90,ABLIM1,37,5.18884675327379,0.29778888863726094,0.0925
91,SLC8A1,36,8.286340012961588,0.1418485339661434,0.09
