,Gene,Cum_Prop
0,A1BG,0.0025575447570332483
1,A4GALT,0.0025575447570332483
2,AATK,0.010230179028132993
3,ABAT,0.010230179028132993
4,ABCA1,0.005115089514066497
5,ABCA10,0.005115089514066497
6,ABCA3,0.03580562659846547
7,ABCA4,0.0025575447570332483
8,ABCA5,0.0025575447570332483
9,ABCA6,0.0025575447570332483
10,ABCA8,0.005115089514066497
11,ABCA9,0.017902813299232736
12,ABCB1,0.08439897698209718
13,ABCB9,0.020460358056265986
14,ABCC11,0.005115089514066497
15,ABCC6,0.0025575447570332483
16,ABCG1,0.010230179028132993
17,ABCG5,0.005115089514066497
18,ABHD12B,0.0025575447570332483
19,ABHD16B,0.005115089514066497
20,ABHD17C,0.010230179028132993
21,ABHD6,0.0025575447570332483
22,ABI3,0.01278772378516624
23,ABI3BP,0.0025575447570332483
24,ABL2,0.023017902813299233
25,ABLIM1,0.0741687979539642
26,ABLIM2,0.01278772378516624
27,ABO,0.0076726342710997444
28,ABR,0.0025575447570332483
29,ABRA,0.0025575447570332483
30,ACACB,0.0025575447570332483
31,ACE,0.01278772378516624
32,ACE2,0.010230179028132993
33,ACKR2,0.015345268542199489
34,ACKR4,0.015345268542199489
35,ACMSD,0.015345268542199489
36,ACOT11,0.023017902813299233
37,ACOT7,0.0025575447570332483
38,ACP4,0.010230179028132993
39,ACP5,0.005115089514066497
40,ACR,0.0025575447570332483
41,ACSM5,0.015345268542199489
42,ACSM6,0.015345268542199489
43,ACTA1,0.0025575447570332483
44,ACTA2,0.020460358056265986
45,ACTG2,0.020460358056265986
46,ACTL6A,0.0025575447570332483
47,ACTN2,0.08439897698209718
48,ACTN3,0.0025575447570332483
49,ACVR1C,0.0076726342710997444
50,ACVRL1,0.0076726342710997444
51,ACYP1,0.08951406649616368
52,ADA2,0.0025575447570332483
53,ADAM11,0.0025575447570332483
54,ADAM12,0.023017902813299233
55,ADAM19,0.010230179028132993
56,ADAM28,0.005115089514066497
57,ADAM33,0.010230179028132993
58,ADAMDEC1,0.12276214833759591
59,ADAMTS12,0.0076726342710997444
60,ADAMTS13,0.017902813299232736
61,ADAMTS16,0.005115089514066497
62,ADAMTS17,0.005115089514066497
63,ADAMTSL3,0.005115089514066497
64,ADAMTSL4,0.0025575447570332483
65,ADAP1,0.01278772378516624
66,ADAP2,0.005115089514066497
67,ADARB1,0.005115089514066497
68,ADAT3,0.010230179028132993
69,ADCK5,0.023017902813299233
70,ADCY1,0.0025575447570332483
71,ADCYAP1R1,0.005115089514066497
72,ADGRB2,0.010230179028132993
73,ADGRE3,0.0076726342710997444
