,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,CLK2,280,19.84018785239552,0.034543099387678,0.7
1,HCN3,251,17.828643460226594,0.04482481982342067,0.6275
2,ESYT3,164,14.447193546270988,0.07071083700474418,0.41
3,SHROOM1,154,14.096151884798847,0.08332641013749116,0.385
4,CNKSR2,150,13.459208883300008,0.07649558448528537,0.375
5,AMOTL2,134,12.30746869002088,0.09125205273032821,0.335
6,GPR173,119,12.294790364941727,0.09188070714073343,0.2975
7,CDKL2,113,11.342016181809038,0.1211047459900769,0.2825
8,GBP4,110,11.94925251006244,0.09428875332017571,0.275
9,TP73,105,11.315022198083817,0.11278148316998532,0.2625
10,DDX11,104,12.312157281747933,0.09211930444132109,0.26
11,CD274,102,11.334246523512935,0.12086951680450059,0.255
12,FMO1,98,11.292862400449948,0.11440584216785163,0.245
13,OR2I1P,98,11.019542949412504,0.11028513230464175,0.245
14,PDE4C,98,10.344467486484533,0.11951536706205629,0.245
15,PITPNC1,96,10.889470949689308,0.11739463373023531,0.24
16,EOGT,94,11.630302844863976,0.10065701730066468,0.235
17,DHX34,92,11.01710812820205,0.10091076935645178,0.23
18,POSTN,92,10.956390389299763,0.0992707038260862,0.23
19,MAPT,90,9.293273313978158,0.1569063854581293,0.225
20,GNB4,89,11.280075876355024,0.11457826059611306,0.2225
21,RAD52,88,10.82550223678803,0.12178899783922616,0.22
22,DTYMK,88,10.802235207416498,0.1286827587024327,0.22
23,MS4A2,76,9.894574992536846,0.12805233604862237,0.19
24,CHIT1,75,10.158619501335306,0.1156842192926282,0.1875
25,CHAF1B,74,10.50707833314074,0.11657541245874634,0.185
26,UBD,74,10.450357720106899,0.11859948523252078,0.185
27,HMBS,74,9.656551570724874,0.15687060778499456,0.185
28,C21orf58,68,10.717462889495827,0.11839845207078331,0.17
29,FAM151A,67,9.55735926139266,0.13931713899959766,0.1675
30,PASK,67,9.111244148238379,0.16373668915785794,0.1675
31,CALD1,65,10.318788587717814,0.12011061844032828,0.1625
32,RNFT2,65,10.184614457345477,0.12712873099138272,0.1625
33,IGFBP7,65,10.021529936744775,0.13644422770408196,0.1625
34,CCPG1,64,9.656060772634184,0.13941347569468948,0.16
35,TMEM121,63,9.529498310711942,0.12461835978818965,0.1575
36,SGIP1,61,9.567313579131003,0.13384349447546573,0.1525
37,SOX6,61,8.134411178356665,0.19337132302517712,0.1525
38,RTN4R,60,9.42720591200359,0.13643246053633343,0.15
39,APOBEC3D,59,9.544982969006211,0.14844571010732072,0.1475
40,CXCL10,59,9.065423944424118,0.151110442276858,0.1475
41,NPY1R,58,9.708306206362586,0.1164185507559363,0.145
42,COPZ2,58,9.428149454334777,0.14043987447159784,0.145
43,LDOC1,56,8.940507239739155,0.14639009126466088,0.14
44,TTC36,55,9.664584368104979,0.11655935124587946,0.1375
45,TMEM201,55,8.202995385155885,0.15489704126761145,0.1375
46,C4orf46,54,8.82478421236243,0.16133640819000583,0.135
47,MCOLN3,54,8.281453787469452,0.16454365686628783,0.135
48,NEGR1,53,8.716342565205574,0.16972200735159232,0.1325
49,PLA2G7,53,8.177046553055389,0.16836328941102735,0.1325
50,SPTB,52,7.833596526152255,0.17283478480481596,0.13
51,SOGA1,51,8.524324099754827,0.15858488571020352,0.1275
52,CXCL11,49,9.097119068920437,0.13848515224617441,0.1225
53,TNFRSF10C,49,8.44891969890718,0.14935255861617897,0.1225
54,FGL2,48,10.403669349835592,0.11427666378418566,0.12
55,ADAMDEC1,48,9.07415238203081,0.1361746171234564,0.12
56,CEP72,47,9.130396196961573,0.13709472201570627,0.1175
57,EDIL3,47,9.08473188499955,0.13900292720417717,0.1175
58,PRXL2C,47,8.76271618335381,0.1666385704403356,0.1175
59,OTOGL,47,7.678412392821988,0.18227953893393234,0.1175
60,KIF24,46,8.835724429243141,0.14240036426780095,0.115
61,GPNMB,46,8.17699627226277,0.19480008315225744,0.115
62,POLE,45,8.882528293388498,0.13228449680360493,0.1125
63,TNFRSF9,45,8.131605807292503,0.1635810926852563,0.1125
64,HLA-DQA1,43,9.034429623783753,0.14469947890352475,0.1075
65,PRKCB,43,8.643870689727144,0.1585267876700434,0.1075
66,SLFN13,43,6.872203446882022,0.24902393075152532,0.1075
67,VEGFA,42,7.5731849021959645,0.19470884983372255,0.105
68,FOLH1,42,6.646543880212282,0.21648002676721534,0.105
69,PC,42,6.501995280327114,0.2553043287605043,0.105
70,AUTS2,42,6.212344739973347,0.2849073755533643,0.105
71,IGKV2D-28,41,9.060983621845523,0.13955733918000252,0.1025
72,ITGB8,41,7.142999431491301,0.23676149603425267,0.1025
