,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,HCN3,364,27.42329884661972,0.007027116149851964,0.91
1,CLK2,335,23.44530336758635,0.014113424177497069,0.8375
2,SHROOM1,218,16.079864189694533,0.04565775992917624,0.545
3,CD274,148,12.800004987803975,0.0825349677587462,0.37
4,CDKL2,139,11.600879741366905,0.10266537494760217,0.3475
5,ESYT3,136,11.896951769376155,0.09509048590321961,0.34
6,GNB4,131,12.818392834492897,0.08041181849348303,0.3275
7,GBP4,126,11.980094497232685,0.080843291374285,0.315
8,GPR173,125,12.155914147387907,0.08612261211533664,0.3125
9,AMOTL2,125,11.691066478819625,0.09642648120177075,0.3125
10,DHX34,125,11.247165218213794,0.09020550169435113,0.3125
11,EOGT,120,11.963606457127355,0.08621781723309262,0.3
12,LDOC1,112,10.52537026635258,0.09400600354228796,0.28
13,PASK,109,11.097799138323058,0.1130117718119958,0.2725
14,RAD52,108,11.12500610609981,0.09898940133579608,0.27
15,PPFIA4,106,11.01242616455786,0.0849103305004717,0.265
16,C21orf58,101,11.41720375858101,0.08744074189940979,0.2525
17,FGL2,97,11.598940982451127,0.07972785247286666,0.2425
18,PITPNC1,96,9.948513557683285,0.11864805758523533,0.24
19,COL15A1,93,10.922978605210888,0.10097787699221158,0.2325
20,PLA2G7,91,10.168681782353472,0.11522603369522239,0.2275
21,IGFBP7,87,10.403686382532232,0.10972910315802431,0.2175
22,DTYMK,86,10.568440776364955,0.0996717879411079,0.215
23,RTN4R,85,9.979725874208373,0.11664475859901882,0.2125
24,IL33,83,10.522792196280907,0.09756672424959205,0.2075
25,TNFRSF10C,83,9.81752438626144,0.10256968902482588,0.2075
26,JAK2,81,10.428960904844235,0.09822425632769122,0.2025
27,OR2I1P,81,9.714172603971496,0.11870369099730957,0.2025
28,SOX6,81,9.077178002491838,0.16319931025392126,0.2025
29,CCPG1,79,9.708331321811713,0.1153877775440805,0.1975
30,APOL4,77,9.27100530380222,0.13250484646980226,0.1925
31,FMO1,76,9.606737903432109,0.13663979344635518,0.19
32,CHAF1B,75,9.239675388916753,0.1226667312198983,0.1875
33,TTC36,72,8.996820653717645,0.1420117872418259,0.18
34,PABPC1L,71,9.671075327805175,0.11474171827298092,0.1775
35,SUSD2,70,7.817013659236868,0.2209843626110481,0.175
36,CXCL10,69,8.737454753112651,0.1410662002450654,0.1725
37,MME,67,9.384286987335265,0.11504760399401223,0.1675
38,UBD,67,9.303361733813434,0.12306251258809081,0.1675
39,SLC25A27,67,8.560595146578121,0.14004267004957932,0.1675
40,PRR7,66,9.028814521677146,0.1252661957610356,0.165
41,ABCB1,65,8.73906330451208,0.13597629768028713,0.1625
