,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,CLK2,222,19.84018785239552,0.03559430158141567,0.555
1,HCN3,188,17.828643460226594,0.04884106965435326,0.47
2,CHMP3,135,14.594838691047176,0.07709062210449508,0.3375
3,COX19,123,13.763275345879721,0.08490628833788388,0.3075
4,SHROOM1,120,14.096151884798847,0.09496984602338193,0.3
5,ESYT3,119,14.447193546270988,0.07409275799366011,0.2975
6,YPEL1,115,13.197532598395158,0.08956320877573555,0.2875
7,RNF103-CHMP3,110,13.259336124361822,0.0900615282276834,0.275
8,TNK1,101,13.337222470671163,0.09287975120133211,0.2525
9,AMOTL2,90,12.30746869002088,0.09641708057758745,0.225
10,BBS2,88,11.573072277286819,0.10970485509983918,0.22
11,CDKL2,87,11.342016181809038,0.1349932131515918,0.2175
12,GPR173,82,12.294790364941727,0.09788949284856227,0.205
13,UBAP2L,79,12.94005751740682,0.08845269892741692,0.1975
14,HHLA3,77,10.869412327348218,0.1189067680856356,0.1925
15,CD274,75,11.334246523512935,0.12820275215645782,0.1875
16,ZBTB25,74,9.58192773393558,0.19256738332811263,0.185
17,FBXO41,72,10.83859933351187,0.13840575281297846,0.18
18,DIPK2A,69,11.779336421160222,0.10677312667029046,0.1725
19,GBP4,68,11.94925251006244,0.10408312648401845,0.17
20,PITPNC1,67,10.889470949689308,0.13196779589573612,0.1675
21,FMO1,66,11.292862400449948,0.12192444419032103,0.165
22,ITSN2,66,10.49528184863229,0.12329517693321189,0.165
23,PTOV1,65,12.343181786393775,0.09041634068847318,0.1625
24,EEFSEC,65,11.291839485737578,0.11199711389698505,0.1625
25,GMEB1,65,10.38050753387426,0.15211942653211433,0.1625
26,DDX11,62,12.312157281747933,0.09283964311400744,0.155
27,AGAP1,61,11.548025495797306,0.10629759677300496,0.1525
28,EOGT,60,11.630302844863976,0.1070997362572649,0.15
29,POSTN,60,10.956390389299763,0.10721204587429606,0.15
30,BLOC1S6,60,10.736825705131473,0.13682176446961275,0.15
31,DNAJA2,60,10.231354047930253,0.14097704583587523,0.15
32,GNB4,59,11.280075876355024,0.1141431818900556,0.1475
33,DTYMK,58,10.802235207416498,0.1294448868694159,0.145
34,SPATA2,58,10.625717241017682,0.12070819776114125,0.145
35,RAD52,57,10.82550223678803,0.11917318581887532,0.1425
36,USP42,57,9.78119084704294,0.14393098690583112,0.1425
37,SLC35D2,57,9.653276447047567,0.16217950694668348,0.1425
38,ACBD6,55,10.652022486656394,0.1411252633179918,0.1375
39,CYLD,54,10.950000025243053,0.1381342669003045,0.135
40,OR2I1P,53,11.019542949412504,0.11968378745756245,0.1325
41,NFYC,53,10.812339049504512,0.12972064030868,0.1325
42,WARS2,53,9.672900779202335,0.18548692887155926,0.1325
43,HMBS,53,9.656551570724874,0.173399885312007,0.1325
44,MOK,53,8.962352048098564,0.19040644674784896,0.1325
45,ZFP64,52,10.188455869179029,0.15063542713187142,0.13
46,PCNT,52,9.105103811919665,0.18069631252727827,0.13
47,OGFOD1,51,9.411960464747086,0.15638553637323774,0.1275
48,AFMID,50,10.911826921576317,0.126167348547309,0.125
49,SCLY,50,10.613830536559554,0.1243869260891685,0.125
50,SRRM1,50,9.470031616002945,0.1476960616004337,0.125
51,DHX34,49,11.01710812820205,0.11014682637637324,0.1225
52,IGFBP7,48,10.021529936744775,0.15227088131165806,0.12
53,GINM1,48,9.479199065735662,0.16083769687850832,0.12
54,OS9,48,7.74488240648765,0.2213077132921149,0.12
55,PASK,47,9.111244148238379,0.18236707239707892,0.1175
56,RCOR1,46,8.564861398368814,0.20574198486068807,0.115
57,SOX6,46,8.134411178356665,0.21486843119968796,0.115
58,C21orf58,45,10.717462889495827,0.13165677079630428,0.1125
59,CD40,45,9.958596341051704,0.1387571679481433,0.1125
60,UBD,44,10.450357720106899,0.12533331345162357,0.11
61,C4orf46,44,8.82478421236243,0.18379744781348284,0.11
62,RNFT2,43,10.184614457345477,0.1444709100624343,0.1075
63,FAM151A,43,9.55735926139266,0.14692281430690995,0.1075
64,APOBEC3D,43,9.544982969006211,0.15215373176712566,0.1075
65,OTUB2,43,8.91045204762154,0.1653983683708744,0.1075
66,CALD1,42,10.318788587717814,0.13431716952505318,0.105
67,CCDC85C,42,9.889225368917334,0.14149669435462262,0.105
68,UBE2G2,42,7.996565164345006,0.2030788836875802,0.105
69,BCS1L,41,9.233202125264482,0.1680811209510032,0.1025
70,DHX33,40,9.644091901758015,0.15392650528542492,0.1
71,SNAP23,40,9.186546489204918,0.15663193166223516,0.1
72,KIRREL1,40,8.75554206386441,0.15881004027561682,0.1
73,NEDD4L,40,8.672239314359617,0.17501203508310503,0.1
74,CHAF1B,39,10.50707833314074,0.13222016575081097,0.0975
75,CHTOP,39,9.522566434107562,0.14296152852759636,0.0975
76,FNTB,39,7.370538423999571,0.26854769947277995,0.0975
77,GTF3C4,38,9.87810805131584,0.1325100107468482,0.095
78,PRPF3,38,9.33079927427263,0.1595448980629234,0.095
79,UBR1,38,9.120625007661303,0.16419923880975756,0.095
80,DPH3,37,10.104765589659202,0.14046504479642483,0.0925
81,THOP1,37,9.788947591285226,0.14379108358764844,0.0925
82,RBL2,37,9.740024086554037,0.1289635513520231,0.0925
83,SS18L1,37,9.66434551154557,0.12254160462980349,0.0925
84,CCPG1,37,9.656060772634184,0.13864354408417984,0.0925
85,POLR2C,37,7.622174527950693,0.24140514568514676,0.0925
86,SH3BP4,37,7.408224551121798,0.25230826644453275,0.0925
87,RTN4R,35,9.42720591200359,0.15323386289792712,0.0875
88,PRXL2C,35,8.76271618335381,0.19273909680144813,0.0875
89,CNTROB,35,8.550939806510014,0.18973644807916587,0.0875
90,CCSAP,35,8.156704535448453,0.18922410584932886,0.0875
91,UBA1,34,10.13667555328622,0.12011915931554916,0.085
92,PUM1,34,9.295419455759326,0.1380775617888068,0.085
93,PLA2G7,34,8.177046553055389,0.19268235135429276,0.085
94,COPS7B,33,9.80518517744202,0.14890899701299012,0.0825
95,CXCL10,33,9.065423944424118,0.16379290821944426,0.0825
96,RSPRY1,33,8.648094789280703,0.17462867852506625,0.0825
97,COPZ2,32,9.428149454334777,0.1522894188038736,0.08
98,ZBTB5,32,8.99601082946796,0.15893256534520267,0.08
99,LDOC1,32,8.940507239739155,0.15451036142919441,0.08
100,GPNMB,32,8.17699627226277,0.2082753868107991,0.08
101,APLF,32,7.682929284505881,0.21122337914458808,0.08
102,HUS1,32,7.449646465605147,0.24341246445768983,0.08
103,AUTS2,32,6.212344739973347,0.30686778251045166,0.08
104,MCOLN3,31,8.281453787469452,0.18325119555481786,0.0775
105,PC,31,6.501995280327114,0.2862532935198315,0.0775
106,SARAF,30,9.530064441261231,0.1354561936475817,0.075
107,SOGA1,30,8.524324099754827,0.1772543294491415,0.075
108,HSPA1L,30,7.551048031972258,0.21210499369499583,0.075
109,TNFRSF10C,29,8.44891969890718,0.16692786691455386,0.0725
110,SPTB,29,7.833596526152255,0.19128816924149533,0.0725
111,ZNF587,29,6.885299797008846,0.2409338874858937,0.0725
112,TMEM121,28,9.529498310711942,0.13317312280522992,0.07
113,KIF24,28,8.835724429243141,0.16380430460582565,0.07
114,CBX8,28,8.584898703269161,0.15784043916848858,0.07
115,PPP2R3A,28,8.254675017498933,0.2108352575213634,0.07
116,PRKCB,27,8.643870689727144,0.17889276909086904,0.0675
117,GNAI2,27,8.462821883223356,0.18858038056277748,0.0675
118,PHACTR4,27,8.353033580253559,0.1655397796756414,0.0675
119,LCK,27,8.333548644185855,0.19909177125451433,0.0675
120,RNASEH2B,27,8.26091409153623,0.17564023284011748,0.0675
121,RPUSD4,27,7.9507663681926,0.20432990074190038,0.0675
122,ITFG1,27,7.84544098380295,0.19608702120909577,0.0675
123,EEF1AKMT1,27,7.5826363763426965,0.22132401906323806,0.0675
124,DOT1L,27,7.386876634881841,0.23756143590367465,0.0675
125,SLFN13,27,6.872203446882022,0.27324176321339116,0.0675
126,SFI1,27,6.788899162445796,0.2570236627917828,0.0675
127,CERS6,27,6.627389314262388,0.27054345751920134,0.0675
128,FGL2,26,10.403669349835592,0.12214857862860808,0.065
129,TTC36,26,9.664584368104979,0.1284748218458891,0.065
130,ADAMDEC1,26,9.07415238203081,0.14407865338192297,0.065
131,ELAVL1,26,8.677921706092588,0.15893859511400515,0.065
132,KDM6A,26,8.15692225630821,0.17329856500726654,0.065
133,ZNF138,26,7.7881654527409365,0.2173309558309241,0.065
134,ARL13B,26,7.5079877084149755,0.23611451406529668,0.065
135,MFGE8,26,6.970370277267095,0.23499776567464337,0.065
136,CHCHD4,26,6.824893479587008,0.26661691765324463,0.065
137,WDPCP,26,6.676020426024447,0.2546419878954471,0.065
138,POLE,25,8.882528293388498,0.1490458009887651,0.0625
139,MUL1,25,8.386286263379645,0.1742305131236331,0.0625
140,CAMTA1,25,8.091083793089204,0.17693350395508478,0.0625
141,ZNF133,25,7.393075838320064,0.2164531642508235,0.0625
142,ATP2A2,25,7.1532736926815055,0.23062313011086033,0.0625
143,KAZN,25,6.769835924018384,0.24192142771383507,0.0625
144,PPIL4,25,6.516458050292958,0.25303106433641925,0.0625
145,ZNF780A,25,6.077064461340209,0.29637847919786997,0.0625
146,IL33,24,9.467240670395414,0.14051379470774295,0.06
147,EDIL3,24,9.08473188499955,0.15154038616709695,0.06
148,HLA-DQA1,24,9.034429623783753,0.15393727626585543,0.06
149,SHOC2,24,8.578459530995838,0.16394044741604025,0.06
150,DNAAF5,24,8.24234689832777,0.1833723031821033,0.06
151,ACYP1,24,8.220029371109643,0.21051376775799385,0.06
152,TMEM201,24,8.202995385155885,0.17047993910525094,0.06
153,SUV39H1,24,7.50305084887102,0.22103666576539763,0.06
154,RAVER2,24,6.621812513975381,0.29347635211957,0.06
155,TSPAN7,24,6.489673174052268,0.2775922517419769,0.06
156,SPAG9,23,8.584732868243494,0.17336340999442534,0.0575
157,ZNF142,23,7.969893852670806,0.1757103069735286,0.0575
158,DHX37,23,7.56920899048565,0.23369577765742297,0.0575
159,URB1,23,7.465599174255736,0.21823379975345641,0.0575
160,PAXBP1,23,7.442566405345085,0.20719699009665166,0.0575
161,ITGB8,23,7.142999431491301,0.25670973473515946,0.0575
162,TEDC1,23,6.996497627435321,0.2497223142331311,0.0575
163,FOLH1,23,6.646543880212282,0.24233953122573448,0.0575
164,RPL28,23,6.6416343029454366,0.24967757176005956,0.0575
165,HIVEP1,23,6.534037595480936,0.27067165590019965,0.0575
166,CEP72,22,9.130396196961573,0.151343129207375,0.055
167,MZF1,22,8.850561174241854,0.14612771233541544,0.055
168,CCDC120,22,8.588046939675117,0.16027632678860027,0.055
169,YTHDF2,22,7.995760530111741,0.18142361026076148,0.055
170,VEGFA,22,7.5731849021959645,0.20848813591400878,0.055
171,ZNF202,22,7.269535838988573,0.23391066061988336,0.055
172,MED4,22,7.083892021737007,0.22042788068866048,0.055
173,CTTNBP2,22,7.080599838502458,0.23026317694495022,0.055
174,FNDC3A,22,6.985530916014498,0.2342129812074057,0.055
175,SMN1,22,5.939155111723635,0.27478355114406183,0.055
176,SV2A,22,5.893134355061725,0.2753803552418755,0.055
177,MSTO1,21,9.008517410455537,0.15093668327168244,0.0525
178,FBN1,21,8.682106742890896,0.17660053175704638,0.0525
179,IDO1,21,7.855774192646895,0.19139113165087818,0.0525
180,HLA-A,21,7.826294465422441,0.19542798914545592,0.0525
181,THUMPD2,21,7.505660588627984,0.1938034152363725,0.0525
182,FOXRED1,21,6.806501749840666,0.2615677647425111,0.0525
183,ALKBH1,21,6.790303969201765,0.24430575391050668,0.0525
184,EPHA2,21,6.714130472061843,0.243300736023429,0.0525
185,CPVL,21,6.186423701962358,0.2905917146131296,0.0525
186,RCBTB1,21,5.624853354247051,0.3124278294318331,0.0525
187,CPA3,20,9.33482864447147,0.1286595168273736,0.05
188,ARL8B,20,8.055472021597481,0.17845222648787576,0.05
