,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,HCN3,333,27.42329884661972,0.009794168944612734,0.8325
1,CLK2,282,23.44530336758635,0.015933554167660017,0.705
2,COX19,202,19.8323527758208,0.028816761776813075,0.505
3,SHROOM1,157,16.079864189694533,0.06244320108461121,0.3925
4,UBAP2L,123,14.37324019554354,0.07048606692909204,0.3075
5,FBXO41,118,13.381189837069495,0.08273747636374036,0.295
6,BBS2,108,14.075364678423941,0.07182126517996945,0.27
7,CHMP3,103,12.639155659714566,0.09551636460003993,0.2575
8,CDKL2,103,11.600879741366905,0.11868381714319252,0.2575
9,DNAAF5,102,13.485482581680184,0.0876007753413203,0.255
10,AGAP1,100,13.271284128831093,0.0734023778199493,0.25
11,CD274,100,12.800004987803975,0.08696318746642631,0.25
12,PRPF3,89,12.484467330464518,0.08957057679577458,0.2225
13,GNB4,83,12.818392834492897,0.08925594523543554,0.2075
14,DNAJA2,83,11.383327488984587,0.11055223252706307,0.2075
15,PASK,81,11.097799138323058,0.13183522159135966,0.2025
16,RNF103-CHMP3,80,11.535961878523073,0.10705812505601435,0.2
17,GPR173,76,12.155914147387907,0.08873351279552433,0.19
18,ESYT3,71,11.896951769376155,0.10996970809397516,0.1775
19,CYLD,70,10.915944343991614,0.11892630176204705,0.175
20,OGFOD1,69,10.866503898904709,0.1217141539447006,0.1725
21,GBP4,68,11.980094497232685,0.09109352790784357,0.17
22,AMOTL2,67,11.691066478819625,0.1038887794559495,0.1675
23,APLF,66,10.968930463749938,0.12405209080122903,0.165
24,GINM1,64,11.440524726051741,0.11220510000438969,0.16
25,RAD52,63,11.12500610609981,0.10108283616955108,0.1575
26,RSPRY1,61,10.626828322722371,0.11778738182893378,0.1525
27,USP42,60,11.076424643824515,0.10322116500031568,0.15
28,EOGT,59,11.963606457127355,0.09391015353327894,0.1475
29,DPH3,59,11.1147151570782,0.10406751335765607,0.1475
30,COPS7B,59,10.947721472674312,0.09670681017650454,0.1475
31,BLOC1S6,59,10.809387385678297,0.11623093657722944,0.1475
32,ACBD6,59,9.98512239672038,0.15102855992946457,0.1475
33,ZFP64,58,10.864544599172119,0.13091832801921424,0.145
34,DTYMK,58,10.568440776364955,0.10868447346035179,0.145
35,ITSN2,58,10.172959225002778,0.14151768009096033,0.145
36,C21orf58,57,11.41720375858101,0.09667831959120957,0.1425
37,DFFB,57,10.76040141011179,0.11331286849262888,0.1425
38,PCNT,57,10.119185459970783,0.1496141248603316,0.1425
39,LDOC1,55,10.52537026635258,0.11416064788457514,0.1375
40,AMFR,55,10.28211863423381,0.13466500465872186,0.1375
41,PITPNC1,55,9.948513557683285,0.1314768062159265,0.1375
