,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,CD274,280,12.800004987803975,0.06944063986436036,0.7
1,GBP4,279,11.980094497232685,0.07056463291128277,0.6975
2,RBL2,247,10.498828739781843,0.08243849059251769,0.6175
3,JAK2,237,10.428960904844235,0.09025410812011316,0.5925
4,IL33,235,10.522792196280907,0.08252695548056375,0.5875
5,TNFRSF10C,216,9.81752438626144,0.08927680951555651,0.54
6,PDCD1LG2,212,9.021178659277561,0.09177391799542003,0.53
7,CMKLR1,203,9.080147931262776,0.10442393401021757,0.5075
8,LY96,190,8.946797798501738,0.10971137016393347,0.475
9,HLA-DQA1,184,8.812284277288812,0.12017476356524565,0.46
10,CXCL11,182,8.600535936337385,0.11483559208734939,0.455
11,TLR4,181,9.008541472750439,0.09479402135891893,0.4525
12,CXCL10,176,8.737454753112651,0.11608033458002413,0.44
13,RIPK1,171,8.277353709452955,0.11660464587410607,0.4275
14,TNFRSF9,162,8.16739438137518,0.13729607340010053,0.405
15,JAK1,156,8.287451049628409,0.12749528258395496,0.39
16,GBP2,153,8.2187890978618,0.11234416158531575,0.3825
17,PUM1,151,7.8639117588055525,0.14644749234944743,0.3775
18,CD69,148,8.012288865414602,0.12759365479782292,0.37
19,IDO1,148,7.743334204732287,0.12026285476261159,0.37
20,MAP3K12,148,7.573465929042576,0.1422410097946646,0.37
21,CLECL1,146,7.651788396634084,0.12992971153646196,0.365
22,SIGLEC8,134,7.344126750214859,0.13034595368825438,0.335
23,HLA-A,132,7.294238651450323,0.15219003616350293,0.33
24,MS4A2,128,7.039315573257526,0.14582654430853148,0.32
25,B2M,127,7.645286871797293,0.1260407444332447,0.3175
26,LCK,127,7.329797897252762,0.14244644339480186,0.3175
27,CD96,126,7.416475788154551,0.1337575401010481,0.315
28,ARID1A,125,6.892840569281281,0.16982410607025472,0.3125
29,TNFSF10,125,6.634339469031667,0.17744284985952696,0.3125
30,TIGIT,121,7.084007163268397,0.14536214481801002,0.3025
31,TNFSF13,120,6.915089409792022,0.1764971365703864,0.3
32,CD40,119,7.051034505575428,0.15762175733852332,0.2975
33,TNFSF4,118,6.5123988708514355,0.16763058212093135,0.295
34,IL18,116,6.966005860847404,0.16487424814143692,0.29
35,CPA3,116,6.7566573096802385,0.13760435278309385,0.29
36,CDH11,114,6.4185996821884395,0.15709715379034594,0.285
37,IL18R1,109,6.930977498288496,0.14492233989465367,0.2725
38,TLR8,108,6.5741747210407535,0.1752353211239291,0.27
39,VEGFA,107,6.015534662949006,0.17892215480026535,0.2675
40,KLRK1,104,6.920375805005308,0.14067634385278788,0.26
41,GLI1,104,6.028155803257539,0.19026306793818892,0.26
42,COL6A3,103,6.528244705103873,0.15098825530010518,0.2575
43,IFNGR1,102,6.786714710283672,0.1823264937044424,0.255
44,IL2RA,101,7.001119740026006,0.13062848723870352,0.2525
45,GIMAP4,100,7.10869264061546,0.1309494566638231,0.25
46,ITGB8,100,6.300682394556763,0.1986497050926886,0.25
47,GZMA,98,7.1290079519602205,0.13290537687946374,0.245
48,PPARG,98,6.72171073414905,0.17848917935157319,0.245
49,STK11IP,98,5.876220408878587,0.2096838318365538,0.245
50,VEGFC,96,6.2261152557545305,0.15955971164084065,0.24
51,PIAS4,96,5.622271750541256,0.2260367207169765,0.24
52,CXCL9,95,7.079353149159653,0.13132240254577504,0.2375
53,PC,93,5.228853570172111,0.34330205592221136,0.2325
54,ENTPD1,92,6.561549601076864,0.1461064258611246,0.23
55,CCL19,92,6.188008629957433,0.15502661216143357,0.23
56,EIF2B4,92,4.935437248434187,0.2983292748380645,0.23
57,EOMES,85,6.330587483609886,0.16279167985163845,0.2125
58,ITGAV,82,5.217694588207901,0.2506789116253366,0.205
59,CXCL13,80,5.690383351299186,0.1739465293665488,0.2
60,ENO1,79,5.227669720596437,0.21877394966636493,0.1975
61,CD209,78,6.349557075192536,0.1633119565207226,0.195
62,IFNG,78,6.279636467605612,0.15207822078797745,0.195
63,ITGA1,78,5.990325466457091,0.15503128835313953,0.195
64,KIT,78,5.162712846516045,0.2513395234575362,0.195
65,IRF8,77,6.195321801474099,0.19742479020780926,0.1925
66,HLA-DRB5,77,5.692248853417186,0.18757995425137675,0.1925
