,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,GBP4,259,11.53262346766114,0.06837063791730721,0.6475
1,CD274,247,11.935819104541435,0.07562762234421475,0.6175
2,FCGR3A/B,244,10.929604819261773,0.08522538307289737,0.61
3,RBL2,236,10.430430780102064,0.07729414644064003,0.59
4,CMKLR1,231,10.139079062759349,0.09093315063480598,0.5775
5,GZMA,227,9.848417773693347,0.08367456449063913,0.5675
6,CLECL1,223,10.678594208676786,0.08922392107051182,0.5575
7,JAK2,218,10.260984702498638,0.09011967460416004,0.545
8,HLA-DQA2,210,9.557893817808237,0.1024348610905291,0.525
9,WNT3A,207,9.918082632063978,0.09630538579767502,0.5175
10,PDCD1LG2,192,9.114529395679929,0.09286005288018687,0.48
11,IL2RA,183,8.71186490917965,0.11381083106221751,0.4575
12,TNFRSF9,182,8.952220422954031,0.11500599429176184,0.455
13,P2RY13,181,9.110003226464075,0.11147087871481964,0.4525
14,LY96,176,8.900884403985522,0.11365752643411722,0.44
15,RIPK1,165,8.279938420375284,0.11428995061114457,0.4125
16,TLR4,160,8.955670619680866,0.1075099346813273,0.4
17,CXCL10,160,8.43255420545583,0.1259394075502398,0.4
18,MAP3K12,154,8.241601878379619,0.11508092043791937,0.385
19,JAK1,153,8.286584430963295,0.11508038691286979,0.3825
20,GIMAP4,153,8.28376629902385,0.10997667485317164,0.3825
21,PUM1,148,7.8858664469004705,0.1456233390131333,0.37
22,GBP2,139,8.357460561786416,0.10692753278522417,0.3475
23,ARID1A,127,7.099763284713272,0.16773864383980325,0.3175
24,HLA-DQA1,125,7.55338921856719,0.1385006156473481,0.3125
25,HLA-A,125,7.274865960798576,0.1436882011918166,0.3125
26,TNFSF10,124,6.665583543017748,0.17925457436508405,0.31
27,IL33,123,7.43906898953659,0.14367364736192717,0.3075
28,CXCL11,120,6.592132215544179,0.19790235224651276,0.3
29,B2M,119,7.6844679325044725,0.12635460195939247,0.2975
30,CD40,114,6.842878015814121,0.16459457673016356,0.285
31,STK11IP,112,6.651499638101402,0.17843964219212693,0.28
32,TNFSF13,109,7.022003411422642,0.16736925103834133,0.2725
33,NKG7,107,7.268023058894894,0.13911591267604032,0.2675
34,IDO1,107,6.6340904217666035,0.1541630764200101,0.2675
35,CD3D,106,6.832672264493926,0.15979504512935191,0.265
36,PIAS4,106,6.136095157285026,0.1837544524726502,0.265
37,TNFSF13B,104,7.2075386659613265,0.13734810483664922,0.26
38,ITGB8,103,6.488362042416595,0.19689787537603293,0.2575
