,Gene,Cum_Prop
0,A2M,0.0741687979539642
1,ACVR1C,0.043478260869565216
2,ADAM12,0.0025575447570332483
3,ADGRE1,0.005115089514066497
4,ADORA2A,0.015345268542199489
5,AKT1,0.0025575447570332483
6,ALDOA,0.0076726342710997444
7,ALDOC,0.02557544757033248
8,ANGPT1,0.14578005115089515
9,ANGPT2,0.023017902813299233
10,ANLN,0.8081841432225064
11,APC,0.10230179028132992
12,APH1B,0.0025575447570332483
13,APOE,0.010230179028132993
14,APOL6,0.010230179028132993
15,AQP9,0.17391304347826086
16,AREG,0.01278772378516624
17,ARG1,0.023017902813299233
18,ARID1A,0.04092071611253197
19,ARNT2,0.043478260869565216
20,ATF3,0.01278772378516624
21,ATM,0.02557544757033248
22,AXIN1,0.04603580562659847
23,AXL,0.11253196930946291
24,B2M,0.1585677749360614
25,BAD,0.04603580562659847
26,BAMBI,0.005115089514066497
27,BATF3,0.056265984654731455
28,BBC3,0.005115089514066497
29,BBS1,0.0025575447570332483
30,BCAT1,0.0025575447570332483
31,BCL2,0.19948849104859334
32,BCL2L1,0.09974424552429667
33,BCL6B,0.42710997442455245
34,BID,0.01278772378516624
35,BIRC3,0.0025575447570332483
36,BIRC5,0.6163682864450127
37,BLM,0.08184143222506395
38,BMP2,0.030690537084398978
39,BNIP3,0.0025575447570332483
40,BNIP3L,0.07672634271099744
41,BRCA1,0.061381074168797956
42,BRCA2,0.02557544757033248
43,BRD3,0.005115089514066497
44,BRD4,0.0025575447570332483
45,BRIP1,0.10230179028132992
46,BTLA,0.0025575447570332483
47,C1QA,0.03580562659846547
48,C1QB,0.030690537084398978
49,C2,0.0025575447570332483
50,C5,0.0025575447570332483
51,C5AR1,0.05370843989769821
52,C7,0.010230179028132993
53,CASP1,0.12276214833759591
54,CASP3,0.061381074168797956
55,CASP8,0.0076726342710997444
56,CASP9,0.0025575447570332483
57,CBLC,0.017902813299232736
58,CCL13,0.0076726342710997444
59,CCL14,0.061381074168797956
60,CCL18,0.27365728900255754
61,CCL19,0.05115089514066496
62,CCL20,0.0025575447570332483
63,CCL21,0.005115089514066497
64,CCL22,0.03580562659846547
65,CCL4,0.005115089514066497
66,CCL5,0.020460358056265986
67,CCL7,0.0025575447570332483
68,CCL8,0.04603580562659847
69,CCNA1,0.015345268542199489
70,CCNB1,0.4117647058823529
71,CCND1,0.08439897698209718
72,CCND2,0.17647058823529413
73,CCNE1,0.028132992327365727
74,CCNO,0.03324808184143223
75,CCR2,0.01278772378516624
76,CCR4,0.01278772378516624
77,CCR5,0.020460358056265986
78,CD163,0.0025575447570332483
79,CD19,0.0025575447570332483
80,CD1C,0.005115089514066497
81,CD209,0.09207161125319693
82,CD244,0.08439897698209718
83,CD247,0.030690537084398978
84,CD27,0.0025575447570332483
85,CD274,0.8107416879795396
86,CD28,0.0025575447570332483
87,CD300A,0.0025575447570332483
88,CD38,0.01278772378516624
89,CD3D,0.028132992327365727
90,CD3E,0.0025575447570332483
91,CD3G,0.005115089514066497
92,CD4,0.0025575447570332483
93,CD40,0.4296675191815857
94,CD40LG,0.0076726342710997444
95,CD44,0.020460358056265986
96,CD45RA,0.01278772378516624
97,CD45RB,0.06905370843989769
98,CD45RO,0.061381074168797956
99,CD47,0.020460358056265986
100,CD48,0.023017902813299233
101,CD5,0.0025575447570332483
102,CD58,0.01278772378516624
103,CD68,0.03580562659846547
104,CD69,0.2864450127877238
105,CD7,0.058823529411764705
106,CD79A,0.0025575447570332483
107,CD80,0.0076726342710997444
108,CD84,0.0639386189258312
109,CD86,0.03580562659846547
110,CD8A,0.03580562659846547
111,CD8B,0.058823529411764705
112,CD96,0.17647058823529413
113,CDC20,0.5473145780051151
114,CDC25C,0.1867007672634271
115,CDH1,0.29923273657289
116,CDH11,0.056265984654731455
117,CDH2,0.05370843989769821
118,CDH5,0.29923273657289
119,CDK2,0.005115089514066497
120,CDK6,0.05370843989769821
121,CDKN1A,0.04859335038363171
122,CDKN1C,0.03836317135549872
123,CDKN2B,0.0076726342710997444
124,CEACAM3,0.043478260869565216
125,CEBPB,0.0025575447570332483
126,CENPF,0.6828644501278772
127,CEP55,0.5933503836317136
128,CES3,0.043478260869565216
129,CHUK,0.043478260869565216
130,CLEC14A,0.14578005115089515
131,CLEC4E,0.017902813299232736
132,CLEC5A,0.03324808184143223
133,CLEC7A,0.0076726342710997444
134,CLECL1,0.10230179028132992
135,CMKLR1,0.44501278772378516
136,COL11A1,0.005115089514066497
137,COL11A2,0.017902813299232736
138,COL17A1,0.017902813299232736
139,COL4A5,0.0076726342710997444
140,COL5A1,0.015345268542199489
141,COL6A3,0.010230179028132993
142,CPA3,0.4219948849104859
143,CRABP2,0.12276214833759591
144,CSF1,0.0076726342710997444
145,CSF2,0.0
146,CSF2RB,0.27621483375959077
147,CSF3R,0.0025575447570332483
148,CST2,0.02557544757033248
149,CTAG1B,0.010230179028132993
150,CTNNB1,0.0076726342710997444
