,Gene,Cum_Prop
0,A2M,0.12020460358056266
1,ACVR1C,0.030690537084398978
2,ADAM12,0.005115089514066497
3,ADGRE1,0.0076726342710997444
4,ADORA2A,0.04092071611253197
5,AKT1,0.0025575447570332483
6,ALDOA,0.010230179028132993
7,ALDOC,0.043478260869565216
8,ANGPT1,0.056265984654731455
9,ANGPT2,0.020460358056265986
10,ANLN,0.8670076726342711
11,APC,0.1278772378516624
12,APH1B,0.0025575447570332483
13,APOE,0.010230179028132993
14,APOL6,0.01278772378516624
15,AQP9,0.08439897698209718
16,AREG,0.017902813299232736
17,ARG1,0.015345268542199489
18,ARG2,0.005115089514066497
19,ARID1A,0.043478260869565216
20,ARNT2,0.05115089514066496
21,ATF3,0.020460358056265986
22,ATM,0.028132992327365727
23,AXIN1,0.05370843989769821
24,AXL,0.1329923273657289
25,B2M,0.16879795396419436
26,BAD,0.04859335038363171
27,BAMBI,0.0076726342710997444
28,BATF3,0.058823529411764705
29,BBS1,0.0025575447570332483
30,BCAT1,0.0025575447570332483
31,BCL2,0.16624040920716113
32,BCL2L1,0.10997442455242967
33,BCL6B,0.45012787723785164
34,BID,0.015345268542199489
35,BIRC3,0.0025575447570332483
36,BIRC5,0.5959079283887468
37,BLM,0.08695652173913043
38,BMP2,0.02557544757033248
39,BNIP3,0.0076726342710997444
40,BNIP3L,0.0792838874680307
41,BRCA1,0.0792838874680307
42,BRCA2,0.03580562659846547
43,BRD3,0.0076726342710997444
44,BRD4,0.0025575447570332483
45,BRIP1,0.13554987212276215
46,BTLA,0.0025575447570332483
47,C1QA,0.056265984654731455
48,C1QB,0.04859335038363171
49,C2,0.0025575447570332483
50,C5,0.005115089514066497
51,C5AR1,0.05115089514066496
52,C7,0.01278772378516624
53,CASP1,0.11253196930946291
54,CASP3,0.06649616368286446
55,CASP8,0.0076726342710997444
56,CASP9,0.0025575447570332483
57,CBLC,0.05370843989769821
58,CCL13,0.005115089514066497
59,CCL14,0.05370843989769821
60,CCL18,0.11253196930946291
61,CCL20,0.02557544757033248
62,CCL22,0.0076726342710997444
63,CCL4,0.005115089514066497
64,CCL5,0.023017902813299233
65,CCL7,0.005115089514066497
66,CCL8,0.08695652173913043
67,CCNA1,0.04092071611253197
68,CCNB1,0.4194373401534527
69,CCND1,0.10997442455242967
70,CCND2,0.13043478260869565
71,CCND3,0.0025575447570332483
72,CCNE1,0.02557544757033248
73,CCNO,0.14066496163682865
74,CCR2,0.028132992327365727
75,CCR4,0.0076726342710997444
76,CCR5,0.08439897698209718
77,CD163,0.0025575447570332483
78,CD19,0.0076726342710997444
79,CD1C,0.015345268542199489
80,CD2,0.015345268542199489
81,CD209,0.015345268542199489
82,CD244,0.24296675191815856
83,CD247,0.017902813299232736
84,CD27,0.0025575447570332483
85,CD274,0.5319693094629157
86,CD28,0.0025575447570332483
87,CD300A,0.005115089514066497
88,CD36,0.0025575447570332483
89,CD38,0.0076726342710997444
90,CD3D,0.08439897698209718
91,CD3E,0.005115089514066497
92,CD4,0.0025575447570332483
93,CD40,0.40153452685422
94,CD44,0.020460358056265986
95,CD45RA,0.015345268542199489
96,CD45RB,0.10230179028132992
97,CD45RO,0.058823529411764705
98,CD47,0.017902813299232736
99,CD48,0.12020460358056266
100,CD58,0.015345268542199489
101,CD68,0.03836317135549872
102,CD69,0.1534526854219949
103,CD7,0.017902813299232736
104,CD70,0.0076726342710997444
105,CD79A,0.0025575447570332483
106,CD79B,0.0025575447570332483
107,CD80,0.005115089514066497
108,CD84,0.08184143222506395
109,CD86,0.03580562659846547
110,CD8A,0.0076726342710997444
111,CD8B,0.017902813299232736
112,CD96,0.020460358056265986
113,CDC20,0.7058823529411765
114,CDC25C,0.36061381074168797
115,CDH1,0.30434782608695654
116,CDH11,0.02557544757033248
117,CDH2,0.0741687979539642
118,CDH5,0.31202046035805625
119,CDK2,0.0025575447570332483
120,CDK6,0.01278772378516624
121,CDKN1A,0.043478260869565216
122,CDKN1C,0.08439897698209718
123,CEACAM3,0.05370843989769821
124,CEBPB,0.005115089514066497
125,CENPF,0.6726342710997443
126,CEP55,0.6726342710997443
127,CES3,0.1432225063938619
128,CHUK,0.03580562659846547
129,CLEC14A,0.23529411764705882
130,CLEC4E,0.03836317135549872
131,CLEC5A,0.03580562659846547
132,CLEC7A,0.005115089514066497
133,CLECL1,0.005115089514066497
134,CMKLR1,0.3248081841432225
135,CNTFR,0.023017902813299233
136,COL11A1,0.0025575447570332483
