,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,TYMS,359,21.17792106799293,0.0019529163886283186,0.8975
1,JAK2,354,19.58790013258967,0.0029401932575445202,0.885
2,RRM2,338,20.699078918383538,0.002441320021404022,0.845
3,IL33,330,17.6956506222826,0.0047331728946092486,0.825
4,MKI67,326,18.295733511890173,0.00403397829179185,0.815
5,CD274,325,18.514262571981444,0.00424070329520063,0.8125
6,ANLN,324,17.28249685532034,0.004691222357811944,0.81
7,EZH2,302,16.484907641320646,0.0053942526691530025,0.755
8,UBE2C,302,16.13242791573497,0.006604344166572072,0.755
9,CENPF,275,14.48629627860059,0.00989597703377798,0.6875
10,TLR4,270,14.062309295979551,0.011475563368013364,0.675
11,BIRC5,250,13.851574100117846,0.012789363508278414,0.625
12,CEP55,239,13.975555459791446,0.01162024379707998,0.5975
13,TNFSF12,236,13.442459031727058,0.013881598268050032,0.59
14,CDC20,219,12.824096875351636,0.014095676744223979,0.5475
15,GBP4,210,12.609558694901802,0.0196701508788049,0.525
16,MYCT1,209,11.191374158322482,0.01898856286658044,0.5225
17,ITGB8,192,11.32050809350552,0.026722905520590104,0.48
18,MS4A2,191,11.084373753283803,0.022682982227452658,0.4775
19,ENTPD1,188,11.43024168098198,0.026617079475810806,0.47
20,KIF2C,186,11.303543932947719,0.022533734142946793,0.465
21,CMKLR1,177,10.840508008253892,0.02617753390684374,0.4425
22,PDCD1LG2,175,11.122771663118378,0.02217077361801495,0.4375
23,CD40,173,11.474164989268543,0.025908311458230963,0.4325
24,RBL2,173,11.303976322010415,0.036829926477638726,0.4325
25,BCL6B,170,11.427504683913721,0.02572889867726185,0.425
26,GIMAP4,170,10.872906141830702,0.025384862876831088,0.425
27,CPA3,167,10.90796265787976,0.021063767819028537,0.4175
28,CCNB1,167,10.880330508578858,0.02493488137634833,0.4175
29,LY96,167,10.573442452754477,0.027538407299521613,0.4175
30,TGFBR1,160,10.197043286074525,0.03530469863125041,0.4
31,DNMT1,159,10.500432933679008,0.0336963013623605,0.3975
32,PECAM1,154,10.367369182403165,0.028058931973418605,0.385
33,ENO1,152,10.512488875148986,0.03066686562298938,0.38
34,ROCK1,144,10.202407071701062,0.03512657381215613,0.36
35,TNFRSF10C,143,10.0895546900008,0.035250965248354874,0.3575
36,VEGFC,143,9.899222205885891,0.027624722694462242,0.3575
37,JAK1,141,10.494332450884242,0.0316627127929771,0.3525
38,GLS,140,10.190367593569329,0.035156143068509706,0.35
39,ITGA1,140,10.038911301795673,0.03302391489815766,0.35
40,IRF2,140,9.802926777415774,0.0375219212481033,0.35
