,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,TYMS,361,20.791737618747316,0.0020370252776540356,0.9025
1,RRM2,357,21.83332247907343,0.0017675736657675328,0.8925
2,MKI67,351,19.554147486308565,0.0031760432357619273,0.8775
3,ANLN,347,17.933704614899188,0.00472812062276089,0.8675
4,JAK2,343,18.928457846137164,0.0038932371884184405,0.8575
5,UBE2C,329,17.33438673391527,0.004707219043500233,0.8225
6,EZH2,319,17.357958026525626,0.004997529937214978,0.7975
7,CDC20,281,14.63288432048406,0.010523886424694533,0.7025
8,CEP55,271,14.660387791679646,0.011797429734158642,0.6775
9,CENPF,271,14.158827498893794,0.011614006866870145,0.6775
10,BIRC5,242,13.65056742680817,0.013971706512930962,0.605
11,IL33,234,12.923636519319516,0.01774114285754909,0.585
12,TLR4,231,12.604522470822085,0.022848659369352507,0.5775
13,MYCT1,228,12.576836785560472,0.019215156337373626,0.57
14,TNFSF12,224,12.894881023837376,0.017488597627125377,0.56
15,CD274,213,12.671362158805819,0.022191349061444817,0.5325
16,CXorf36,209,12.140900395383683,0.021840755826420713,0.5225
17,PECAM1,198,11.302862650837692,0.02949573522155265,0.495
18,ITGB8,196,11.29550519214533,0.02974704405126289,0.49
19,GIMAP4,193,11.482629598714512,0.024578901194889063,0.4825
20,KIF2C,192,11.267502451154392,0.024681132994763388,0.48
21,BCL6B,180,11.72091498481329,0.027515486590419788,0.45
22,GBP4,175,11.042028120361174,0.03392704068483291,0.4375
23,RBL2,171,11.031730886682325,0.043707947640235195,0.4275
24,DNMT1,171,10.900887348982947,0.031978404231043596,0.4275
25,TNFSF13B,171,10.510094368299256,0.03150694233498731,0.4275
26,CCNB1,168,10.853592921962745,0.029607902190562668,0.42
27,MELK,168,10.662562003323465,0.031407856737250266,0.42
28,CD40,162,10.875199034114594,0.03278602397107056,0.405
29,ENTPD1,159,10.45798105195218,0.036355452157893625,0.3975
30,ENO1,158,10.476358419536975,0.03471385819064388,0.395
31,TGFBR1,156,10.063649139471728,0.03973849925024332,0.39
32,ITGA1,155,10.323419531295881,0.035189196089136565,0.3875
33,POLD1,154,10.23760201124032,0.04530830903853739,0.385
34,IRF2,150,9.869464994233418,0.039475323475074375,0.375
35,ZEB1,147,9.636087757651662,0.049184422535009535,0.3675
36,HELLS,146,10.170407902970371,0.03616414297994648,0.365
37,CDC25C,145,10.020005900095493,0.0396465912969943,0.3625
38,IGF2R,145,9.91920890867908,0.04545457942930884,0.3625
39,ROCK1,145,9.888505768528487,0.0444703116093559,0.3625
40,GLS,144,9.976926586591416,0.0407505153546035,0.36
41,NECTIN1,144,8.667540031999808,0.04847855878734818,0.36
42,MS4A2,142,10.028223676501664,0.03956374748107873,0.355
43,JAK1,140,10.383172411612522,0.03558878613284426,0.35
44,RAD51,136,9.728687942616983,0.04488523060974415,0.34
45,LY96,132,9.544010290411999,0.04490592414231368,0.33
46,HDC,130,9.476359424992781,0.04783872493952897,0.325
47,CMKLR1,130,9.276864818616257,0.04691178874163275,0.325
48,ZEB2,129,9.673497321336281,0.03674124476358463,0.3225
49,SELP,125,9.384585237189162,0.04851744857624945,0.3125
50,CSF2RB,123,9.352144386317793,0.039553174296349115,0.3075
51,CDH5,123,9.271572022345907,0.04508858807708864,0.3075
52,CDH1,122,9.321125444495431,0.049877662952520115,0.305
53,H2AFX,118,9.215370507840047,0.0444775362722278,0.295
54,GBP2,116,9.133077367340391,0.05554231271363376,0.29
55,TIE1,108,8.512197729968706,0.058006221141714526,0.27
56,CPA3,103,8.828776830141008,0.04993010604114987,0.2575
57,P2RY13,103,8.793722998282526,0.06102715834274818,0.2575
58,CD244,98,8.765596786388139,0.057229678086749246,0.245
59,VEGFC,98,8.212792891824694,0.05808947194615662,0.245
60,MS4A4A,98,8.152869564314184,0.05987049604780204,0.245
61,EXO1,96,8.542479497210145,0.05725009512820963,0.24
62,CLEC14A,95,7.899556604736506,0.08265656256639053,0.2375
63,HLA-E,93,8.526249296965462,0.06902876100906802,0.2325
64,EIF4EBP1,91,7.269949719720423,0.07508909248282547,0.2275
65,PDCD1LG2,87,8.32397263759966,0.056894333809601114,0.2175
66,VSIR,83,8.269739507536501,0.06734382630053146,0.2075
67,KAT2B,82,7.815402738728228,0.07546016640634451,0.205
68,PKM,80,7.040410864676747,0.09304451135189715,0.2
69,GIMAP6,78,8.254276587878099,0.06158564856443888,0.195
70,FAS,78,7.690856933946854,0.06679228767104911,0.195
71,NT5E,78,7.031864037200026,0.09504265319638175,0.195
72,UBE2T,77,7.907026989750882,0.07347543729489026,0.1925
73,MAPK10,76,7.031342991916969,0.08468680700670278,0.19
74,MFNG,71,7.713547617840768,0.07542872878234572,0.1775
75,DLL4,71,6.5387018725055555,0.11370383267575263,0.1775
76,B2M,67,7.114638537513746,0.10568791502389646,0.1675
77,STK11IP,67,5.703529677707206,0.1463519100365054,0.1675
78,IL11RA,66,6.38064404583132,0.10878131728876653,0.165
79,BCL2,65,7.208066378022311,0.08409930820237128,0.1625
80,RASGRF1,65,5.9150452540992235,0.12536481568848162,0.1625
81,ITPK1,65,5.656787429210301,0.13004259095261655,0.1625
82,CD69,61,7.344031067293279,0.08368590284190663,0.1525
83,CTSS,59,6.793484376700271,0.09927406569176281,0.1475
84,TPI1,58,6.897820298946742,0.08028756059032563,0.145
85,CES3,57,5.275570489935635,0.17562265015019934,0.1425
86,CCNO,56,6.099546986269713,0.10836975278876285,0.14
87,MTOR,56,5.973289696142554,0.12693774509024985,0.14
88,CRABP2,56,5.595951396536875,0.14381032091977536,0.14
89,BRIP1,55,7.050150996511368,0.08631790308817511,0.1375
90,AXL,55,6.520303338791873,0.10590999410277674,0.1375
91,MMRN2,55,6.520041838451493,0.121572069962061,0.1375
92,FGF13,54,6.0919351227484455,0.11761341511749934,0.135
