,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,TYMS,375,23.359614341432916,0.0011510419693921497,0.9375
1,ANLN,362,19.645182771411427,0.0028769535294173995,0.905
2,RRM2,347,20.33715105065461,0.002580332891945304,0.8675
3,MKI67,342,19.561669133053865,0.003089470236487735,0.855
4,JAK2,328,16.664007175493058,0.006684990318270219,0.82
5,CENPF,321,17.7924305750332,0.0042675921371531905,0.8025
6,UBE2C,320,16.966817474548435,0.005533787248524867,0.8
7,EZH2,318,17.567917744421283,0.005376996324624406,0.795
8,IL33,317,17.055371633022748,0.006321925268927938,0.7925
9,CD274,305,16.757931948624705,0.007392804928636235,0.7625
10,MS4A2,286,14.660329580330384,0.009698211574169589,0.715
11,CEP55,285,16.123738219732125,0.008022376025830362,0.7125
12,TNFSF12,281,15.175072505234443,0.009689699336331488,0.7025
13,CPA3,279,13.896148672005193,0.011733279029047725,0.6975
14,BIRC5,267,14.50711805615555,0.011425651916187659,0.6675
15,CDC20,254,13.8821882918743,0.011634584141791377,0.635
16,CD40,239,13.39052563459294,0.01505587661926307,0.5975
17,TLR4,224,12.573789045195742,0.019239800997925605,0.56
18,KIF2C,217,12.547159642734714,0.01789268032776538,0.5425
19,ITGB8,211,12.114517891598718,0.02031234747684451,0.5275
20,GBP4,210,12.427375640663344,0.020028200508150785,0.525
21,HELLS,206,12.474338921039697,0.020620948768987825,0.515
22,DNMT1,205,12.133253057779184,0.023522178013016627,0.5125
23,CCNB1,196,12.06761924303318,0.019851328019880037,0.49
24,ENTPD1,190,11.439238972445196,0.026433326605402034,0.475
25,MYCT1,176,10.607733018642568,0.02424726143364473,0.44
26,TNFSF13B,166,10.330456251982065,0.03958686501276337,0.415
27,GIMAP4,165,10.632452689128531,0.029275903150166607,0.4125
28,MELK,164,10.91496036837338,0.03069920631384273,0.41
29,TGFBR1,164,10.368753033354517,0.03080756630429541,0.41
30,JAK1,163,10.847665244185439,0.032415928354506976,0.4075
31,RBL2,158,10.473500993040718,0.048562202550763975,0.395
32,RAD51,150,9.963388307000482,0.038951309935845876,0.375
33,PDCD1LG2,140,10.157269180464148,0.0371596942466311,0.35
34,PECAM1,140,10.029973289985817,0.03310166849165753,0.35
35,H2AFX,139,9.852418988084194,0.03631679280738438,0.3475
36,ENO1,139,9.442095975631505,0.041011258843954214,0.3475
37,ITGA1,130,9.114067718782694,0.03998772251812922,0.325
38,IRF2,129,9.828842420413576,0.044519761394150675,0.3225
39,NECTIN1,129,8.6765459132412,0.054435121480915005,0.3225
40,BCL6B,126,8.956001935554186,0.04920460916121336,0.315
41,ROCK1,126,8.928339060590647,0.04890832273072927,0.315
42,GLS,122,9.245020990507145,0.05213204005016918,0.305
43,ZEB1,116,9.191762313667303,0.04502287105277493,0.29
44,CMKLR1,113,9.067563809004945,0.04720694402935205,0.2825
45,SIGLEC8,111,8.644871377589505,0.049044600062462716,0.2775
46,POLD1,110,8.525520793556343,0.0600644093371679,0.275
47,EIF4EBP1,109,8.064252364827178,0.054448569689968584,0.2725
48,IGF2R,108,8.532527013639381,0.06032141110898268,0.27
49,CCND2,106,8.5325911600778,0.051243906028007616,0.265
50,GBP2,105,8.984570920724941,0.05258570549925159,0.2625
51,LY96,96,8.899707621040157,0.051152445301197697,0.24
52,TBX21,96,7.987621238023227,0.05809491923050524,0.24
53,CDH1,95,8.266195869773878,0.06475280569227425,0.2375
54,CCL18,93,8.10584135087819,0.057867219556123235,0.2325
55,EXO1,90,7.88873618786622,0.07191141242672315,0.225
56,UBE2T,89,8.439116990670623,0.058658206302083266,0.2225
57,CDH5,89,8.38810781599658,0.05185952210825376,0.2225
58,NT5E,89,7.9502161453900335,0.06683549590985048,0.2225
59,SELP,88,8.157877931589052,0.05877755237007014,0.22
60,HLA-E,87,8.663751434060577,0.053076789687737436,0.2175
61,HLA-DQA1,87,8.39867427211663,0.05456860366863629,0.2175
62,VEGFC,81,7.95310937268845,0.052554438144025134,0.2025
63,TNFRSF10C,81,7.788662901013383,0.06097379555131585,0.2025
64,TPSAB1/B2,80,8.063572897761128,0.058408379184093355,0.2
65,PRKACB,78,8.16622277232886,0.05062722566347216,0.195
66,CXCR2,78,7.705514545958369,0.059238704256339564,0.195
67,MFGE8,78,6.736589405648288,0.1163503101528934,0.195
68,CDC25C,77,7.541522485135272,0.08255489056098003,0.1925
69,BRIP1,76,7.649748213687351,0.06832970548275981,0.19
70,IFNG,73,7.535174954172281,0.05846678004855539,0.1825
71,CD96,71,7.800928794478536,0.06797134687369884,0.1775
72,DAB2,68,7.8584270082601515,0.0671212579137074,0.17
73,MMRN2,68,6.8923648292783355,0.09664871259973658,0.17
74,MTOR,68,6.5403204610336,0.09489777195082336,0.17
75,KAT2B,67,7.498911305332521,0.0667344478610296,0.1675
76,FAP,67,6.992248661754038,0.08421935869031746,0.1675
77,KIT,65,7.069655751332837,0.07687933205065459,0.1625
