,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
0,TYMS,373,22.98438817488895,0.0013511807407470594,0.9325
1,ANLN,372,20.21381105337303,0.0024659938237406435,0.93
2,MKI67,361,21.178110201495564,0.002183615482637237,0.9025
3,RRM2,359,21.08028374684026,0.002116183929419089,0.8975
4,UBE2C,349,18.496886735851646,0.003780125519194496,0.8725
5,EZH2,335,18.413543238514606,0.004206359295441168,0.8375
6,CENPF,326,17.85785235750473,0.004362848945398049,0.815
7,JAK2,319,16.18744636207799,0.008235523468107785,0.7975
8,CDC20,315,16.27816384792162,0.007015272881607009,0.7875
9,CEP55,311,17.395975183974482,0.0055358318963353685,0.7775
10,BIRC5,277,14.48391019824007,0.011621413565882683,0.6925
11,TNFSF12,270,14.592702697248672,0.012984532851979303,0.675
12,CD40,242,12.874034345544738,0.01866778307459071,0.605
13,KIF2C,233,12.786873099138099,0.01820777591511203,0.5825
14,IL33,221,12.428573038301108,0.021964742096636625,0.5525
15,HELLS,219,12.796350628655055,0.020472450149196415,0.5475
16,DNMT1,218,12.56078303067568,0.022535036609631215,0.545
17,ITGB8,207,12.102086184726637,0.021147919785579658,0.5175
18,CD274,206,11.897195122402685,0.025794628410221836,0.515
19,MELK,204,12.537372450464161,0.021700373388407954,0.51
20,TNFSF13B,200,11.646365880491153,0.030865804948475295,0.5
21,CCNB1,199,12.116059686143455,0.02209771610279227,0.4975
22,GIMAP4,196,11.209005876311139,0.029859496444608134,0.49
23,MYCT1,193,11.48406082798098,0.026839198406747252,0.4825
24,PECAM1,184,10.938879143964765,0.030776584263034142,0.46
25,TLR4,179,11.157709159665751,0.03371258110231571,0.4475
26,H2AFX,178,10.76694628081104,0.029959968020027348,0.445
27,MS4A2,176,10.63183970820081,0.03597476614731135,0.44
28,TGFBR1,169,10.247733614958024,0.031895663102811805,0.4225
29,CXorf36,167,10.631234862033157,0.036233497001502024,0.4175
30,JAK1,165,10.768132030667662,0.03739428559462705,0.4125
31,GBP4,164,10.815980407975912,0.03189126816814171,0.41
32,RAD51,157,10.491849909451194,0.03980751492833322,0.3925
33,RBL2,155,10.21762493416962,0.05330069712666028,0.3875
34,POLD1,151,9.87022099335038,0.05098624051684103,0.3775
35,CPA3,149,10.272042255459802,0.03605732758792625,0.3725
36,NECTIN1,148,9.39377423090561,0.04502092697640099,0.37
37,IRF2,139,9.95336552019511,0.046164272400391435,0.3475
38,ENTPD1,139,9.933202095290895,0.04543127041023122,0.3475
39,ENO1,138,9.406210113389712,0.042668796901667944,0.345
40,ZEB1,137,9.731237942754854,0.05284993030159751,0.3425
41,CDC25C,134,9.94559725368704,0.036103576201740796,0.335
42,ITGA1,133,9.357437213642086,0.04784226857660054,0.3325
43,HDC,133,9.24387137721325,0.06075248149100221,0.3325
44,BCL6B,130,9.032332937608812,0.059091787604786034,0.325
45,ROCK1,120,8.671061734529165,0.05694304763803005,0.3
46,GLS,117,9.051408038242709,0.06031083484070358,0.2925
47,EXO1,117,8.956084100101933,0.06042690354028245,0.2925
48,EIF4EBP1,112,7.8598499413630245,0.06326886316320258,0.28
49,UBE2T,110,8.81741789912828,0.05754279302261494,0.275
50,CDH1,108,8.468681788773308,0.06858007133286229,0.27
51,IGF2R,107,8.607343858355359,0.06544461835961632,0.2675
52,GBP2,104,8.712300735313939,0.06464582179012286,0.26
53,SELP,104,8.46882116700055,0.06583945485210237,0.26
54,P2RY13,98,8.381171777825763,0.06453508156026486,0.245
55,CDH5,96,8.160682388583105,0.06897294081603705,0.24
56,CLEC14A,93,7.36531462432099,0.09144115218149915,0.2325
57,CD244,92,7.984083722454791,0.0643025560827569,0.23
58,NT5E,90,7.615856347242239,0.08554248610983253,0.225
59,HLA-E,89,8.620213102182385,0.06068843008205173,0.2225
60,CCNO,89,7.260191892614569,0.08524469397229384,0.2225
61,BRIP1,88,8.375631255244919,0.06636298482492733,0.22
62,CCND2,86,7.694832798587126,0.08238332820162218,0.215
63,CMKLR1,84,7.999927599382188,0.06390772765049932,0.21
64,ZEB2,81,8.667398922917554,0.06155837878432044,0.2025
65,A2M,81,8.206614679225893,0.05644491640619687,0.2025
66,MFGE8,77,6.423111811335929,0.14423156882822313,0.1925
67,MTOR,73,6.726008731699332,0.09604305487607574,0.1825
68,LY96,71,7.99159781257539,0.07479506647860203,0.1775
69,DLL4,71,6.9657233333401845,0.11946514034471631,0.1775
70,MMRN2,70,6.727431837123261,0.11475652437344264,0.175
71,PDCD1LG2,69,7.266170511191481,0.10170052612030445,0.1725
72,MS4A4A,69,7.142146522543617,0.09609709685837953,0.1725
73,TIE1,69,6.747403269376225,0.11120481906366082,0.1725
74,TFRC,69,6.368197934002328,0.10572257645737691,0.1725
75,CSF2RB,67,7.528473385974219,0.0998655999165861,0.1675
76,CDH2,65,6.270071526897677,0.11406257839729995,0.1625
77,HLA-DQA1,64,7.354515369643092,0.08047413789078314,0.16
78,STK11IP,64,5.387812759198494,0.15862150669893815,0.16
79,RASGRF1,63,5.6917284628816,0.12613562153959884,0.1575
80,FGF13,61,5.8917466889328205,0.14352491511345358,0.1525
81,IL22RA1,61,5.610551803259593,0.1512220923894007,0.1525
82,IL11RA,60,5.824013089345481,0.13061505009056879,0.15
83,PRKACB,59,7.343531364159105,0.07394837006735056,0.1475
84,KAT2B,59,6.903193473460472,0.09354675028266526,0.1475
85,CTSS,59,6.846832393845996,0.12264205911766474,0.1475
86,RIPK3,59,6.740370462504642,0.10697037315199433,0.1475
87,LRRC32,59,6.212203979774337,0.12453754775522291,0.1475
88,BLM,57,6.554312942078363,0.12076556572476599,0.1425
89,TCF3,57,5.597673199867655,0.1527709033605687,0.1425
90,CXCL5,57,4.601698103293513,0.22002139510327062,0.1425
