from	to	weight	Type
ALDOC	ILDR1	0.0975960008689246	>0.05
ALDOC	SPINT1	0.0950118397908506	>0.05
ALDOC	RASAL1	0.0926835464424301	>0.05
ALDOC	ADGRG1	0.0906204446177235	>0.05
ALDOC	OVOL2	0.0892921836875327	>0.05
ALDOC	CHMP4C	0.0881728985443182	>0.05
ALDOC	FAM83H	0.0880894380410004	>0.05
ALDOC	SLC34A2	0.0876907176406877	>0.05
ALDOC	ABHD11	0.0875492726561018	>0.05
ALDOC	ESRP1	0.0873746194831775	>0.05
ALDOC	EVPL	0.0869121486121513	>0.05
ALDOC	CLDN7	0.0864308648205994	>0.05
ALDOC	CLDN3	0.0861449578576704	>0.05
ALDOC	BSPRY	0.0851024814636451	>0.05
ALDOC	TMPRSS3	0.0839911957215765	>0.05
ALDOC	GRHL2	0.0839709574811764	>0.05
ALDOC	TMC4	0.0836547258255817	>0.05
ALDOC	EPS8L1	0.0826487889668523	>0.05
ALDOC	SMPDL3B	0.0822015617545017	>0.05
ALDOC	KDF1	0.0821871636067555	>0.05
ALDOC	SPTBN2	0.0816377851542488	>0.05
ALDOC	EPCAM	0.0815758494835836	>0.05
ALDOC	LAD1	0.0814532380387947	>0.05
ALDOC	ARHGAP8	0.081274884816529	>0.05
ALDOC	PAX8	0.0811592834333454	>0.05
ALDOC	SCNN1A	0.0811526920822108	>0.05
ALDOC	PKP3	0.0811500283955839	>0.05
ALDOC	AP1M2	0.080939282812169	>0.05
ALDOC	TJP3	0.080432868223494	>0.05
ALDOC	CELSR2	0.0804181922996881	>0.05
