from	to	weight	Type
ALDOC	NORAD	0.314540445129083	>0.25
ALDOC	PSMA3-AS1	0.313480159456664	>0.25
ALDOC	OIP5-AS1	0.311781129164529	>0.25
ALDOC	SNHG29	0.311213656146504	>0.25
ALDOC	EBLN3P	0.310073927869032	>0.25
ALDOC	LIMD1-AS1	0.309325361441996	>0.25
ALDOC	ELOA-AS1	0.309305091197697	>0.25
ALDOC	HCG18	0.309063771601771	>0.25
ALDOC	NIPBL-DT	0.306800494663086	>0.25
ALDOC	TUG1	0.306648480920397	>0.25
ALDOC	RN7SK	0.306558927201304	>0.25
ALDOC	TP73-AS1	0.30649580981404	>0.25
ALDOC	THUMPD3-AS1	0.305777719658087	>0.25
ALDOC	ZNF271P	0.305463717424894	>0.25
ALDOC	FGD5-AS1	0.305244941846114	>0.25
ALDOC	ZNF45-AS1	0.30390638533141	>0.25
ALDOC	ZFAS1	0.303806329976691	>0.25
ALDOC	ERVK3-1	0.303599105498144	>0.25
ALDOC	GTF2IRD1P1	0.302649829998136	>0.25
ALDOC	SNHG1	0.30257015608293	>0.25
ALDOC	GABPB1-IT1	0.302567108060001	>0.25
ALDOC	SNHG10	0.30242483890069	>0.25
ALDOC	SNHG8	0.301966146395428	>0.25
ALDOC	SCARNA7	0.301949968684658	>0.25
ALDOC	EPB41L4A-AS1	0.301621842345884	>0.25
ALDOC	MIR10399	0.301389423941426	>0.25
ALDOC	SCARNA13	0.301021819922303	>0.25
ALDOC	SCARNA10	0.300357431615219	>0.25
ALDOC	CHASERR	0.300165488121957	>0.25
ALDOC	WAC-AS1	0.300030122394265	>0.25
