from	to	weight	Type
AMOTL2	TMEM259	0.209143527205844	>0.2
AMOTL2	LMF2	0.198450431006656	>0.1
AMOTL2	CSNK1G2	0.197400380590098	>0.1
AMOTL2	SPPL2B	0.195998561143129	>0.1
AMOTL2	FBXW5	0.191002584552469	>0.1
AMOTL2	AP5Z1	0.190433029723937	>0.1
AMOTL2	RHOT2	0.190427304340038	>0.1
AMOTL2	E4F1	0.189834852487101	>0.1
AMOTL2	SBF1	0.188777513374756	>0.1
AMOTL2	NR1H2	0.186075707214698	>0.1
AMOTL2	PKD1	0.185961409156163	>0.1
AMOTL2	LLGL1	0.184970684425291	>0.1
AMOTL2	CACTIN-AS1	0.184255152929268	>0.1
AMOTL2	CAPN15	0.184130625675682	>0.1
AMOTL2	NDUFS7	0.183937042018579	>0.1
AMOTL2	BCAR1	0.182694723876757	>0.1
AMOTL2	CACTIN	0.181981986907173	>0.1
AMOTL2	TECPR1	0.181799124862882	>0.1
AMOTL2	TELO2	0.181608350109712	>0.1
AMOTL2	SIRT6	0.181109577804374	>0.1
AMOTL2	APBA3	0.180887561249512	>0.1
AMOTL2	CTBP1-AS	0.180473158179794	>0.1
AMOTL2	IRF2BP1	0.180390361997751	>0.1
AMOTL2	DGKQ	0.180014546156052	>0.1
AMOTL2	HMG20B	0.178688599491507	>0.1
AMOTL2	PHPT1	0.178665861858174	>0.1
AMOTL2	ABCB8	0.178505109043666	>0.1
AMOTL2	FAAP100	0.178164139182396	>0.1
AMOTL2	STK11	0.177605043795531	>0.1
AMOTL2	TP53I13	0.177363632677745	>0.1
