from	to	weight	Type
AMOTL2	TMEM259	0.230866366154025	>0.2
AMOTL2	H1-10	0.229356248517416	>0.2
AMOTL2	ZNF668	0.228986011249668	>0.2
AMOTL2	LIME1	0.22815440277532	>0.2
AMOTL2	MIB2	0.227999977653701	>0.2
AMOTL2	CTBP1-AS	0.227047659391478	>0.2
AMOTL2	LLGL1	0.225635861680004	>0.2
AMOTL2	PKD1	0.22452729580144	>0.2
AMOTL2	AP5Z1	0.223915966125826	>0.2
AMOTL2	TP53I13	0.223127394338611	>0.2
AMOTL2	ACADS	0.221820039472646	>0.2
AMOTL2	RABEP2	0.220692997779772	>0.2
AMOTL2	MZT2B	0.220325938454596	>0.2
AMOTL2	CROCC	0.218661034415021	>0.2
AMOTL2	SPNS1	0.216839231770122	>0.2
AMOTL2	MAP2K2	0.216598737399322	>0.2
AMOTL2	DGKZ	0.216324560218253	>0.2
AMOTL2	MBD3	0.216203730565784	>0.2
AMOTL2	TELO2	0.215952174145525	>0.2
AMOTL2	FBXW5	0.215834384897174	>0.2
AMOTL2	E4F1	0.215300108466179	>0.2
AMOTL2	GNB2	0.214906341368441	>0.2
AMOTL2	NELFB	0.214582112834226	>0.2
AMOTL2	ZNF408	0.213954215174141	>0.2
AMOTL2	ATP13A2	0.2124992542489	>0.2
AMOTL2	DVL1	0.211710807580649	>0.2
AMOTL2	ZGPAT	0.210525328736912	>0.2
AMOTL2	PEX16	0.210426625383118	>0.2
AMOTL2	CSNK1G2	0.210369595520404	>0.2
AMOTL2	BRAT1	0.210059328340218	>0.2
