from	to	weight	Type
CD274	TNFSF13B	0.101396671971917	>0.1
CD274	TNFSF8	0.0989613584798807	>0.05
CD274	CD226	0.097833824440271	>0.05
CD274	IRAK3	0.0972859741976106	>0.05
CD274	CELSR2	0.0969929756857365	>0.05
CD274	CD84	0.0960926986771245	>0.05
CD274	CNKSR1	0.0957064962860755	>0.05
CD274	KLRD1	0.0949127407667361	>0.05
CD274	HYCC1	0.0933703748578147	>0.05
CD274	SH2D1A	0.09332474258684	>0.05
CD274	CEACAM21	0.0933111614826932	>0.05
CD274	ARHGAP8	0.0932817354120691	>0.05
CD274	CMKLR1	0.0928225957501364	>0.05
CD274	TLR4	0.0922537551515261	>0.05
CD274	GNGT2	0.0917689437525164	>0.05
CD274	FAM78A	0.0912256532046035	>0.05
CD274	TFEC	0.090795963953238	>0.05
CD274	MARCHF1	0.090673210032022	>0.05
CD274	MS4A4A	0.0905747024134056	>0.05
CD274	SLAMF8	0.090054385167262	>0.05
CD274	FCGR2B	0.0898727363302427	>0.05
CD274	CAMSAP3	0.0896503930404986	>0.05
CD274	LSR	0.0891819147831014	>0.05
CD274	PRKACB	0.0891476555275956	>0.05
CD274	CDC42BPG	0.0889508132968027	>0.05
CD274	GPR65	0.0884522498975588	>0.05
CD274	STX11	0.0880981046758996	>0.05
CD274	PAX8	0.0879369723978986	>0.05
CD274	STOM	0.087760464702	>0.05
CD274	ESPN	0.0877434180296619	>0.05
