from	to	weight	Type
CD274	SH2D1A	0.117590298827876	>0.1
CD274	SLAMF6	0.11523183182102	>0.1
CD274	SLA	0.109873600828744	>0.1
CD274	CCR2	0.107267326410857	>0.1
CD274	THEMIS	0.106769175156552	>0.1
CD274	TNFSF8	0.10672042861789	>0.1
CD274	GMFG	0.106149896720673	>0.1
CD274	MPEG1	0.105601316267115	>0.1
CD274	CD48	0.105029272462808	>0.1
CD274	GPR174	0.104907939794574	>0.1
CD274	CD53	0.104485843238313	>0.1
CD274	CD3G	0.104200558712464	>0.1
CD274	TIGIT	0.102912971638758	>0.1
CD274	IL10RA	0.102366812970656	>0.1
CD274	JAML	0.102030695769527	>0.1
CD274	AOAH	0.101848581582518	>0.1
CD274	IKZF1	0.101497487218396	>0.1
CD274	SNX20	0.101402453013794	>0.1
CD274	SLFN12L	0.10117617547659	>0.1
CD274	CYTIP	0.101080864778909	>0.1
CD274	GIMAP5	0.099870504251716	>0.05
CD274	KLRK1	0.0995910227952955	>0.05
CD274	KLRD1	0.0995818600133029	>0.05
CD274	KLRC4-KLRK1	0.0995009834229308	>0.05
CD274	CCR5	0.0994989173916194	>0.05
CD274	KCNA3	0.0992213481711831	>0.05
CD274	SASH3	0.0976852006236518	>0.05
CD274	GIMAP1-GIMAP5	0.0974791579564954	>0.05
CD274	GZMK	0.0966569993090755	>0.05
CD274	CCL5	0.0961502424399361	>0.05
