from	to	weight	Type
CD40	AOAH	0.184373640481438	>0.1
CD40	ANKRD44	0.177040067696768	>0.1
CD40	CYTIP	0.174279459476355	>0.1
CD40	GIMAP8	0.172503740882378	>0.1
CD40	IL10RA	0.171700072590774	>0.1
CD40	DOCK2	0.171200404519002	>0.1
CD40	PIK3CG	0.171189551772927	>0.1
CD40	KCNA3	0.170980154403179	>0.1
CD40	GIMAP5	0.170833433016784	>0.1
CD40	FLI1	0.170670174409426	>0.1
CD40	KLHL6	0.170183401392782	>0.1
CD40	GIMAP1-GIMAP5	0.168946643697338	>0.1
CD40	NCKAP1L	0.168626667496517	>0.1
CD40	ITK	0.168495596200857	>0.1
CD40	SLAMF6	0.16751475599865	>0.1
CD40	CD96	0.167479139778482	>0.1
CD40	CCR5	0.167283309432784	>0.1
CD40	ITGAL	0.166033230868687	>0.1
CD40	BIN2	0.165054213105038	>0.1
CD40	LILRB1	0.163923324168714	>0.1
CD40	JAML	0.163754351074453	>0.1
CD40	PTPRC	0.16336019651113	>0.1
CD40	ARHGAP15	0.162879706012162	>0.1
CD40	WIPF1	0.162511241777633	>0.1
CD40	INSYN2B	0.161893332980131	>0.1
CD40	CD2	0.161820674575535	>0.1
CD40	SLFN12L	0.161695174352211	>0.1
CD40	CSF2RB	0.160659928656367	>0.1
CD40	PRKCB	0.16019695937395	>0.1
CD40	IKZF1	0.159705025049488	>0.1
