from	to	weight	Type
CDKL2	ZDHHC12	0.124296171427461	>0.1
CDKL2	SWT1	0.124133397674935	>0.1
CDKL2	NEK1	0.122743441870525	>0.1
CDKL2	SENP7	0.120753734446724	>0.1
CDKL2	BRMS1	0.1193377613495	>0.1
CDKL2	MFSD12	0.116928277046871	>0.1
CDKL2	CYBA	0.116128948872809	>0.1
CDKL2	TMEM104	0.11510696577941	>0.1
CDKL2	IKZF5	0.114499482932884	>0.1
CDKL2	GIPC1	0.114270465186652	>0.1
CDKL2	PGAM5	0.113519724893857	>0.1
CDKL2	PGAP6	0.112045165783285	>0.1
CDKL2	CARF	0.111509023191098	>0.1
CDKL2	RUVBL2	0.111460539231366	>0.1
CDKL2	PCNA-AS1	0.111383325747773	>0.1
CDKL2	TSPAN17	0.110796668549361	>0.1
CDKL2	RNF38	0.110511140225071	>0.1
CDKL2	TPI1	0.109812990927796	>0.1
CDKL2	DDX49	0.109516164764963	>0.1
CDKL2	CSNK1G2	0.109314255913892	>0.1
CDKL2	ALDH16A1	0.109070653043707	>0.1
CDKL2	NUDT22	0.108667239027646	>0.1
CDKL2	AURKAIP1	0.108545148227032	>0.1
CDKL2	BBLN	0.107996731494857	>0.1
CDKL2	YKT6	0.107964319493111	>0.1
CDKL2	ANKRD12	0.107717580639792	>0.1
CDKL2	MOGS	0.107647563946628	>0.1
CDKL2	SNRPB	0.107385658925524	>0.1
CDKL2	CCDC171	0.107380341685717	>0.1
CDKL2	SIRT6	0.107201215600986	>0.1
