from	to	weight	Type
CDKL2	ALDH16A1	0.119552287177378	>0.1
CDKL2	BRAT1	0.118288818639248	>0.1
CDKL2	NUP153-AS1	0.116529470298476	>0.1
CDKL2	CAPN15	0.113677337908427	>0.1
CDKL2	MBD3	0.113633959907949	>0.1
CDKL2	ZNF668	0.113232747882783	>0.1
CDKL2	TMEM160	0.112345248888262	>0.1
CDKL2	IRF2BP1	0.11186767163447	>0.1
CDKL2	REX1BD	0.111698672849009	>0.1
CDKL2	BBLN	0.111331738519378	>0.1
CDKL2	DBNL	0.111217172030727	>0.1
CDKL2	UPF1	0.11018133702186	>0.1
CDKL2	ZNF837	0.10977014718953	>0.1
CDKL2	E4F1	0.109647767294381	>0.1
CDKL2	RNA45SN2	0.109577051113527	>0.1
CDKL2	ARMC5	0.109344441468378	>0.1
CDKL2	ACTR1B	0.109107525836444	>0.1
CDKL2	CSNK1G2	0.108399672618457	>0.1
CDKL2	LMF2	0.108357463921435	>0.1
CDKL2	POLG	0.108348161995837	>0.1
CDKL2	POLGARF	0.108338509282418	>0.1
CDKL2	MIGA2	0.107454329584035	>0.1
CDKL2	ACADS	0.106456400763402	>0.1
CDKL2	RNA45SN1	0.10633509593795	>0.1
CDKL2	IDH2-DT	0.106219187499846	>0.1
CDKL2	STRN4	0.106105734458343	>0.1
CDKL2	TMEM259	0.105919749600372	>0.1
CDKL2	HIF1A-AS1	0.105787905170651	>0.1
CDKL2	ARHGAP12	0.10535681787587	>0.1
CDKL2	AP5Z1	0.105219774802437	>0.1
