from	to	weight	Type
CDKL2	COPE	0.0928946066004304	>0.05
CDKL2	ZNF787	0.0824072791773188	>0.05
CDKL2	ISOC2	0.0795645645912015	>0.05
CDKL2	ABHD17A	0.0788567864072043	>0.05
CDKL2	NOSIP	0.0782498909260297	>0.05
CDKL2	GRWD1	0.0773560745674674	>0.05
CDKL2	POLR2E	0.076855617170033	>0.05
CDKL2	SENP7	0.0763547818686629	>0.05
CDKL2	MBD3	0.075673675594049	>0.05
CDKL2	CAPN15	0.0755415722872539	>0.05
CDKL2	ALDH16A1	0.0754385437719569	>0.05
CDKL2	SAC3D1	0.0750477829216232	>0.05
CDKL2	NDUFB2-AS1	0.0741017705066153	>0.05
CDKL2	MRPS12	0.0740340049525039	>0.05
CDKL2	ZDHHC12	0.0737944872320538	>0.05
CDKL2	IKZF5	0.0736445568265412	>0.05
CDKL2	TBCK	0.0735902184986609	>0.05
CDKL2	MFSD12	0.0733148388314451	>0.05
CDKL2	BBLN	0.0722118471261425	>0.05
CDKL2	TMEM160	0.0721062801604761	>0.05
CDKL2	ANTKMT	0.0717485510260199	>0.05
CDKL2	IDH2-DT	0.0707280939856462	>0.05
CDKL2	CSNK1G2	0.0704563161129384	>0.05
CDKL2	BRAT1	0.0695348068110403	>0.05
CDKL2	NDUFS7	0.0690552012943186	>0.05
CDKL2	NEK1	0.0685114754642791	>0.05
CDKL2	TP53I13	0.0684604807761282	>0.05
CDKL2	REX1BD	0.0682129767359573	>0.05
CDKL2	TSEN34	0.0679584549406937	>0.05
CDKL2	SIRT6	0.0675499304749397	>0.05
