from	to	weight	Type
CLK2	PSMA3-AS1	0.449480092100872	>0.25
CLK2	EBLN3P	0.449082526485038	>0.25
CLK2	NORAD	0.447152246642699	>0.25
CLK2	FGD5-AS1	0.446952158030821	>0.25
CLK2	OIP5-AS1	0.446858873753214	>0.25
CLK2	TUG1	0.44628955669625	>0.25
CLK2	HCG18	0.443090246113553	>0.25
CLK2	GABPB1-IT1	0.441179367399158	>0.25
CLK2	THUMPD3-AS1	0.441160237569595	>0.25
CLK2	ELOA-AS1	0.440589104322461	>0.25
CLK2	WAC-AS1	0.440006584012514	>0.25
CLK2	SNHG29	0.438986469161167	>0.25
CLK2	ZNF818P	0.438896102225211	>0.25
CLK2	ZNF542P	0.437086857568675	>0.25
CLK2	MIR10393	0.436938888651392	>0.25
CLK2	CHASERR	0.436186713681858	>0.25
CLK2	UBA6-DT	0.435434383998081	>0.25
CLK2	CHROMR	0.434388039673422	>0.25
CLK2	NIPBL-DT	0.433826030656362	>0.25
CLK2	LIMD1-AS1	0.432666537024833	>0.25
CLK2	DKFZP586I1420	0.432334226784825	>0.25
CLK2	PPP4R1L	0.432327802775726	>0.25
CLK2	ZFAS1	0.43178406961741	>0.25
CLK2	HERPUD2-AS1	0.431063493008732	>0.25
CLK2	OTUD6B-AS1	0.430906439827033	>0.25
CLK2	ZNF45-AS1	0.430704255871861	>0.25
CLK2	TP73-AS1	0.430260589317494	>0.25
CLK2	SNHG1	0.430247856751642	>0.25
CLK2	ZNF271P	0.430198615097368	>0.25
CLK2	SLC12A2-DT	0.429840498382902	>0.25
