from	to	weight	Type
CLK2	PSMA3-AS1	0.444455800419128	>0.25
CLK2	TUG1	0.443580127131096	>0.25
CLK2	OIP5-AS1	0.439982592898064	>0.25
CLK2	HCG18	0.439731648823118	>0.25
CLK2	GABPB1-IT1	0.439511333353746	>0.25
CLK2	WAC-AS1	0.438391363525782	>0.25
CLK2	CHASERR	0.437143445440347	>0.25
CLK2	EBLN3P	0.436920924719915	>0.25
CLK2	FGD5-AS1	0.436668702031578	>0.25
CLK2	LIMD1-AS1	0.434708772692083	>0.25
CLK2	NORAD	0.433971505712051	>0.25
CLK2	ELOA-AS1	0.43378727680817	>0.25
CLK2	ZNF271P	0.431581200375706	>0.25
CLK2	GTF2IRD1P1	0.431316550574146	>0.25
CLK2	HERPUD2-AS1	0.431225338143836	>0.25
CLK2	GARS1-DT	0.429054218001924	>0.25
CLK2	CERS6-AS1	0.428500085033027	>0.25
CLK2	THUMPD3-AS1	0.428206536284497	>0.25
CLK2	DKFZP586I1420	0.426640404960633	>0.25
CLK2	SNHG29	0.42568912022737	>0.25
CLK2	HCG11	0.425360471466326	>0.25
CLK2	UBA6-DT	0.425207923755769	>0.25
CLK2	RIPK2-DT	0.424614093934315	>0.25
CLK2	STARD4-AS1	0.424549482588635	>0.25
CLK2	PNISR-AS1	0.424201963483202	>0.25
CLK2	MIR12127	0.423850800789005	>0.25
CLK2	SLC12A2-DT	0.423529434764386	>0.25
CLK2	N4BP2L2-IT2	0.423430182628148	>0.25
CLK2	EIF3J-DT	0.422218004537828	>0.25
CLK2	MIR10393	0.421770448476117	>0.25
