from	to	weight	Type
CLK2	PSMA3-AS1	0.418634719076984	>0.25
CLK2	TUG1	0.416114504094125	>0.25
CLK2	EBLN3P	0.41444423109929	>0.25
CLK2	HCG18	0.414325401133384	>0.25
CLK2	NORAD	0.413115696572535	>0.25
CLK2	OIP5-AS1	0.412536144287089	>0.25
CLK2	GABPB1-IT1	0.410861052674391	>0.25
CLK2	WAC-AS1	0.409618772948884	>0.25
CLK2	LIMD1-AS1	0.406784224808263	>0.25
CLK2	ELOA-AS1	0.406303331260954	>0.25
CLK2	CHASERR	0.405108054168521	>0.25
CLK2	THUMPD3-AS1	0.404788903341679	>0.25
CLK2	SNHG29	0.403937293272079	>0.25
CLK2	HERPUD2-AS1	0.402349330886028	>0.25
CLK2	ZNF271P	0.401395727037283	>0.25
CLK2	UBA6-DT	0.401208828632136	>0.25
CLK2	FGD5-AS1	0.40028864898268	>0.25
CLK2	CERS6-AS1	0.400003381112784	>0.25
CLK2	GARS1-DT	0.399941466350392	>0.25
CLK2	NIPBL-DT	0.39978595222014	>0.25
CLK2	RIPK2-DT	0.399758104579408	>0.25
CLK2	MIR10393	0.397939825040205	>0.25
CLK2	SCARNA7	0.397225275603377	>0.25
CLK2	PPP4R1L	0.397178540097211	>0.25
CLK2	MIR12127	0.395620579842255	>0.25
CLK2	ZFAS1	0.395505754715882	>0.25
CLK2	SLC12A2-DT	0.395496222695173	>0.25
CLK2	EIF3J-DT	0.395421953065966	>0.25
CLK2	CHROMR	0.395027746138467	>0.25
CLK2	GTF2IRD1P1	0.394867840410794	>0.25
