from	to	weight	Type
CTSS	SASH3	0.276868053093676	>0.25
CTSS	TMIGD3	0.27464727728625	>0.25
CTSS	JAML	0.27315491319259	>0.25
CTSS	LAIR1	0.272673523417068	>0.25
CTSS	CD53	0.272156538898595	>0.25
CTSS	SNX20	0.271982939993053	>0.25
CTSS	IL10RA	0.271895428106708	>0.25
CTSS	NCKAP1L	0.270911562678983	>0.25
CTSS	MPEG1	0.270213343489688	>0.25
CTSS	HAVCR2	0.269248020959914	>0.25
CTSS	AOAH	0.268080329261139	>0.25
CTSS	CD300A	0.267572017590219	>0.25
CTSS	LILRB4	0.266733566123804	>0.25
CTSS	CCR5	0.265870796938216	>0.25
CTSS	PLEK	0.265670887903986	>0.25
CTSS	LY86	0.265423635471625	>0.25
CTSS	NCF2	0.264887545898366	>0.25
CTSS	PIK3R5	0.264566587009655	>0.25
CTSS	LYZ	0.26445472031124	>0.25
CTSS	CLEC7A	0.263943873862732	>0.25
CTSS	CD300LF	0.262614067682532	>0.25
CTSS	CCR1	0.262223705427056	>0.25
CTSS	CD4	0.261019383316434	>0.25
CTSS	NPL	0.260423050646958	>0.25
CTSS	CD48	0.260098193247593	>0.25
CTSS	C3AR1	0.260090024702899	>0.25
CTSS	CCL18	0.259774713018998	>0.25
CTSS	IGSF6	0.25967137063768	>0.25
CTSS	CPVL	0.259464931339914	>0.25
CTSS	LST1	0.258835278329941	>0.25
