from	to	weight	Type
CTSS	PLEK	0.227776026297858	>0.2
CTSS	CD300A	0.227425075027785	>0.2
CTSS	CCL4	0.224844151384589	>0.2
CTSS	CCR1	0.222276274042926	>0.2
CTSS	CD48	0.221910842589807	>0.2
CTSS	HAVCR2	0.221446522084947	>0.2
CTSS	VSIG4	0.221357958126077	>0.2
CTSS	LAPTM5	0.218762977805674	>0.2
CTSS	LST1	0.217718100878411	>0.2
CTSS	CD28	0.216176342236491	>0.2
CTSS	GMFG	0.216144003570095	>0.2
CTSS	IFI30	0.215727617987814	>0.2
CTSS	CD52	0.215713314658321	>0.2
CTSS	CCRL2	0.2151411217583	>0.2
CTSS	CD53	0.214677641913293	>0.2
CTSS	FPR1	0.213811939162422	>0.2
CTSS	SRGN	0.213411979530692	>0.2
CTSS	BCL2A1	0.21317453111168	>0.2
CTSS	SLC2A5	0.212821407349738	>0.2
CTSS	TLR2	0.210585073228222	>0.2
CTSS	FCER1G	0.210573639622667	>0.2
CTSS	CD33	0.210051125097827	>0.2
CTSS	CLEC7A	0.20944203346402	>0.2
CTSS	FCGR3A	0.208928121380828	>0.2
CTSS	CRTAM	0.208739386009806	>0.2
CTSS	ARHGDIB	0.208623841619895	>0.2
CTSS	C3AR1	0.208565648915691	>0.2
CTSS	LAIR1	0.208543738195775	>0.2
CTSS	MPEG1	0.208380006419494	>0.2
CTSS	AIF1	0.20815725899614	>0.2
