from	to	weight	Type
CTSS	CD53	0.257682686742605	>0.25
CTSS	IL10RA	0.252128435032918	>0.25
CTSS	SASH3	0.251488224845925	>0.25
CTSS	MPEG1	0.251207457566601	>0.25
CTSS	NCKAP1L	0.247193538092735	>0.2
CTSS	TMIGD3	0.245963135411683	>0.2
CTSS	CD300A	0.244646795753774	>0.2
CTSS	VSIG4	0.244278132606219	>0.2
CTSS	HAVCR2	0.242418807005105	>0.2
CTSS	PLEK	0.241090201180757	>0.2
CTSS	AOAH	0.237667041714236	>0.2
CTSS	ADORA3	0.236321395186228	>0.2
CTSS	SLA	0.235838754795153	>0.2
CTSS	CD48	0.235663577712228	>0.2
CTSS	CCR5	0.235000236889146	>0.2
CTSS	LAPTM5	0.234654886002452	>0.2
CTSS	LY86	0.233281949721569	>0.2
CTSS	LYZ	0.232006651226616	>0.2
CTSS	CCR1	0.230952777973352	>0.2
CTSS	GMFG	0.230492541116432	>0.2
CTSS	LILRB1	0.228925801374951	>0.2
CTSS	JAML	0.227847071479819	>0.2
CTSS	C3AR1	0.226413937048234	>0.2
CTSS	FCER1G	0.226045254141151	>0.2
CTSS	LILRB4	0.225910519632297	>0.2
CTSS	LAIR1	0.225793391684264	>0.2
CTSS	CD4	0.22535482955956	>0.2
CTSS	CD86	0.225301415121129	>0.2
CTSS	TREM2	0.225011266343298	>0.2
CTSS	SNX20	0.22425783632891	>0.2
