from	to	weight	Type
DDX11	RHOT2	0.152551146646573	>0.1
DDX11	ALDH16A1	0.150387985206127	>0.1
DDX11	E4F1	0.150068027757655	>0.1
DDX11	CAPN15	0.148855160122931	>0.1
DDX11	SHOC2	0.147402915336997	>0.1
DDX11	BBLN	0.14552167030804	>0.1
DDX11	TELO2	0.143643071199088	>0.1
DDX11	ATAD3B	0.143080910690774	>0.1
DDX11	WDR18	0.142348540611591	>0.1
DDX11	CSNK1G2	0.140033133300011	>0.1
DDX11	TBL3	0.139026531209542	>0.1
DDX11	MIGA2	0.138457582297421	>0.1
DDX11	TMEM160	0.137830317564306	>0.1
DDX11	SIRT6	0.137797989725168	>0.1
DDX11	PGAP6	0.137407554978102	>0.1
DDX11	FASTK	0.137359720754183	>0.1
DDX11	PIGQ	0.136648288375249	>0.1
DDX11	NDUFS7	0.136246010484387	>0.1
DDX11	SPPL2B	0.135969962288128	>0.1
DDX11	POLD1	0.13587009574006	>0.1
DDX11	TMUB1	0.135624214164143	>0.1
DDX11	FBXL14	0.135454004977121	>0.1
DDX11	APBA3	0.135346673526485	>0.1
DDX11	SPHK2	0.135205404482415	>0.1
DDX11	C1orf159	0.134971381965425	>0.1
DDX11	TMEM259	0.134732216433275	>0.1
DDX11	ECI1	0.133546207171854	>0.1
DDX11	DUS3L	0.133383030417997	>0.1
DDX11	AP5Z1	0.133362598050847	>0.1
DDX11	HSPBP1	0.133259379974539	>0.1
