from	to	weight	Type
DDX11	E4F1	0.209671750710166	>0.2
DDX11	IRF2BP1	0.205329228497148	>0.2
DDX11	POLD1	0.204747102909508	>0.2
DDX11	BRAT1	0.202994377084092	>0.2
DDX11	ALDH16A1	0.202473554267958	>0.2
DDX11	KMT5C	0.202405739350546	>0.2
DDX11	STAM2	0.201192051117713	>0.2
DDX11	SAC3D1	0.200711615676499	>0.2
DDX11	TELO2	0.200272115410355	>0.2
DDX11	UPF1	0.195926189503808	>0.1
DDX11	LIME1	0.19497964851075	>0.1
DDX11	MBD3	0.194440283612703	>0.1
DDX11	THOP1	0.194031249335024	>0.1
DDX11	PIDD1	0.193545913442041	>0.1
DDX11	ATAD3A	0.19347958505908	>0.1
DDX11	MIB2	0.193476477692895	>0.1
DDX11	ZNF282	0.193136830346348	>0.1
DDX11	TBL3	0.193056755703883	>0.1
DDX11	MZT2B	0.192105944408403	>0.1
DDX11	TMEM201	0.19153862284401	>0.1
DDX11	ARMC5	0.190642406777884	>0.1
DDX11	ABHD8	0.190558936954281	>0.1
DDX11	NSUN5	0.190243964372232	>0.1
DDX11	XRCC3	0.18997179150017	>0.1
DDX11	NUP153-AS1	0.189539051635916	>0.1
DDX11	BBLN	0.189531913463992	>0.1
DDX11	C1orf159	0.189357972492705	>0.1
DDX11	CAPN15	0.188531420123449	>0.1
DDX11	RHOT2	0.188489793265796	>0.1
DDX11	ZNF446	0.188262827843127	>0.1
