from	to	weight	Type
DDX11	STARD7-AS1	0.304845712129854	>0.25
DDX11	ARRDC1-AS1	0.300895609647589	>0.25
DDX11	SCARNA12	0.293296599710976	>0.25
DDX11	SCARNA2	0.291238020777227	>0.25
DDX11	SNHG30	0.290724144162446	>0.25
DDX11	SNHG11	0.288475964567587	>0.25
DDX11	SLC9A3-OT1	0.28725992845723	>0.25
DDX11	GATD1-DT	0.286512707188246	>0.25
DDX11	CENPBD2P	0.281922782988195	>0.25
DDX11	C2orf74-AS1	0.281140532137332	>0.25
DDX11	TMEM250	0.279938858680557	>0.25
DDX11	GNRHR2	0.279669176667027	>0.25
DDX11	CLUHP3	0.275457182803149	>0.25
DDX11	ARRDC3-AS1	0.274568310543334	>0.25
DDX11	RN7SL2	0.273724743149031	>0.25
DDX11	TP73-AS1	0.273555061423269	>0.25
DDX11	SNHG17	0.273029632863433	>0.25
DDX11	B3GALT6	0.272464717324504	>0.25
DDX11	SNHG15	0.272433960467489	>0.25
DDX11	SNHG25	0.271257352487706	>0.25
DDX11	RBM25-AS1	0.270609006363088	>0.25
DDX11	JPX	0.269952559730463	>0.25
DDX11	FLJ13224	0.26931358447098	>0.25
DDX11	RN7SL1	0.268901399347544	>0.25
DDX11	ZNF503-AS2	0.268836121506457	>0.25
DDX11	SNHG19	0.268186548923881	>0.25
DDX11	SMIM15-AS1	0.267578589765078	>0.25
DDX11	MIR4741	0.266630951344393	>0.25
DDX11	AATBC	0.266614077535407	>0.25
DDX11	RN7SL3	0.266243058132464	>0.25
