from	to	weight	Type
EGR1	STARD9	0.191239681900825	>0.1
EGR1	GPRASP1	0.177673830336627	>0.1
EGR1	ABCA10	0.165083839261746	>0.1
EGR1	PRRT2	0.160758674350505	>0.1
EGR1	LAMA2	0.160299252396329	>0.1
EGR1	MYH11	0.159736327134495	>0.1
EGR1	IHO1	0.159390738558684	>0.1
EGR1	EZH1	0.158766879705293	>0.1
EGR1	FAM136A	0.156372708669668	>0.1
EGR1	TNS2	0.154797779027755	>0.1
EGR1	ENO1	0.153496007223597	>0.1
EGR1	ARMCX4	0.153125112885973	>0.1
EGR1	FAM13C	0.151956723428463	>0.1
EGR1	TSPYL2	0.150685504154864	>0.1
EGR1	ABI3BP	0.149473978540331	>0.1
EGR1	MEG3	0.149320890598513	>0.1
EGR1	KLF2	0.149307193742169	>0.1
EGR1	ITPR1	0.148864341346173	>0.1
EGR1	NLGN3	0.148569066858924	>0.1
EGR1	FEN1	0.147041796225542	>0.1
EGR1	EME1	0.146818730811823	>0.1
EGR1	ABCA9-AS1	0.146450510027985	>0.1
EGR1	ERG	0.146403954022067	>0.1
EGR1	ABCA9	0.146231428035143	>0.1
EGR1	SYNE1	0.145781048850979	>0.1
EGR1	NFIC	0.14442387305624	>0.1
EGR1	PRELP	0.144381348774812	>0.1
EGR1	VAMP2	0.143903391994356	>0.1
EGR1	LRRN3	0.141992800465111	>0.1
EGR1	GNA14	0.14136601404078	>0.1
