from	to	weight	Type
EGR1	NORAD	0.425047257137229	>0.25
EGR1	TUG1	0.424720917695477	>0.25
EGR1	ELOA-AS1	0.423496942118425	>0.25
EGR1	PSMA3-AS1	0.422756769098338	>0.25
EGR1	FGD5-AS1	0.422265348989405	>0.25
EGR1	THUMPD3-AS1	0.421197450848144	>0.25
EGR1	RCC2-AS1	0.420435471011953	>0.25
EGR1	SNHG1	0.418927019006287	>0.25
EGR1	HCG18	0.418209553441536	>0.25
EGR1	NIPBL-DT	0.417932711209872	>0.25
EGR1	SNHG29	0.417667395924559	>0.25
EGR1	OIP5-AS1	0.417388800005814	>0.25
EGR1	ZNF271P	0.417036199821	>0.25
EGR1	KMT2E-AS1	0.416961916604256	>0.25
EGR1	RN7SK	0.416884731669079	>0.25
EGR1	WAC-AS1	0.416628934316392	>0.25
EGR1	LIMD1-AS1	0.416309360051131	>0.25
EGR1	SFT2D3	0.415551228610729	>0.25
EGR1	EBLN3P	0.415482475784719	>0.25
EGR1	SCARNA10	0.414384179024762	>0.25
EGR1	TP73-AS1	0.414076345126705	>0.25
EGR1	SNHG3	0.413773274481392	>0.25
EGR1	ZNF407-AS1	0.413044669937224	>0.25
EGR1	NRAV	0.412783770141904	>0.25
EGR1	SCARNA7	0.412481874659163	>0.25
EGR1	GABPB1-IT1	0.411922847651808	>0.25
EGR1	BAZ2B-AS1	0.411661074117117	>0.25
EGR1	GABPB1-AS1	0.41159128032533	>0.25
EGR1	EIF3J-DT	0.411184883862044	>0.25
EGR1	ZFAND2A-DT	0.41111882771437	>0.25
