from	to	weight	Type
EGR1	GPRASP1	0.175454831751434	>0.1
EGR1	ABCA10	0.170250832790009	>0.1
EGR1	ABCA9-AS1	0.166453232390101	>0.1
EGR1	ABCA9	0.164858484504021	>0.1
EGR1	SYNE1	0.162539589003899	>0.1
EGR1	GNA14	0.160240852447387	>0.1
EGR1	LAMA2	0.159729295249612	>0.1
EGR1	ITPR1	0.15916199823235	>0.1
EGR1	MYH11	0.156232337619604	>0.1
EGR1	ARHGAP10	0.156210965467241	>0.1
EGR1	KLHDC1	0.152815034704666	>0.1
EGR1	SYNPO2	0.151772832289593	>0.1
EGR1	ZWINT	0.150823448919566	>0.1
EGR1	LMOD1	0.149292654417566	>0.1
EGR1	FEN1	0.149223191827302	>0.1
EGR1	CDCA5	0.149176918180888	>0.1
EGR1	IHO1	0.148987827911623	>0.1
EGR1	BIRC5	0.148616685423726	>0.1
EGR1	GINS1	0.147247823647043	>0.1
EGR1	STAT5B	0.146749789332005	>0.1
EGR1	ABCA6	0.146620131535394	>0.1
EGR1	ARHGAP6	0.146421445734387	>0.1
EGR1	CPED1	0.145684209372919	>0.1
EGR1	ABCA8	0.144194326168915	>0.1
EGR1	DMD	0.143392108796261	>0.1
EGR1	ABI3BP	0.143180989373928	>0.1
EGR1	KIAA1755	0.141507481726895	>0.1
EGR1	GSTM5	0.141078982716271	>0.1
EGR1	SYNE1-AS1	0.140474188266419	>0.1
EGR1	TSPYL2	0.140099379102703	>0.1
