from	to	weight	Type
ENO1	STARD9	0.20144986720974	>0.2
ENO1	GPRASP1	0.191856520041217	>0.1
ENO1	TNS2	0.177358376592195	>0.1
ENO1	FAM13C	0.175346518354964	>0.1
ENO1	LRRC59	0.172818063700956	>0.1
ENO1	EZH1	0.171548193542989	>0.1
ENO1	PER3	0.171288574031413	>0.1
ENO1	SEMA6A	0.171014219868112	>0.1
ENO1	PRKN	0.170539328283547	>0.1
ENO1	ABCA10	0.170511113342423	>0.1
ENO1	PRELP	0.170285753052932	>0.1
ENO1	PCDHB4	0.169945305291292	>0.1
ENO1	NOSTRIN	0.169373725163219	>0.1
ENO1	ARMCX4	0.168538800439137	>0.1
ENO1	MROH2B	0.168355894217255	>0.1
ENO1	LAMA2	0.167840452022139	>0.1
ENO1	SEMA6A-AS1	0.166806466960955	>0.1
ENO1	AMELX	0.166680696365849	>0.1
ENO1	ZBTB20-AS1	0.166551578834352	>0.1
ENO1	INPP5B	0.165418060763491	>0.1
ENO1	FEN1	0.165201265008223	>0.1
ENO1	LRRN3	0.164981844800209	>0.1
ENO1	RYR2	0.164854757407168	>0.1
ENO1	NLGN3	0.164833343606775	>0.1
ENO1	DRICH1	0.164601943290713	>0.1
ENO1	ASTN2	0.164047440687778	>0.1
ENO1	MYH11	0.163970072725841	>0.1
ENO1	SYCE1	0.163828373316682	>0.1
ENO1	PPIF	0.163672881668083	>0.1
ENO1	CSMD1	0.163443383835743	>0.1
