from	to	weight	Type
ENO1	RCC2-AS1	0.418632569030591	>0.25
ENO1	RN7SK	0.417340950418495	>0.25
ENO1	NORAD	0.417327116726365	>0.25
ENO1	SNHG1	0.416414039335418	>0.25
ENO1	FGD5-AS1	0.415531290125807	>0.25
ENO1	ELOA-AS1	0.414245821159595	>0.25
ENO1	THUMPD3-AS1	0.413415786171973	>0.25
ENO1	TP73-AS1	0.413256046558344	>0.25
ENO1	SNHG3	0.41223351492132	>0.25
ENO1	SCARNA10	0.411343323330658	>0.25
ENO1	SNHG29	0.410491956472689	>0.25
ENO1	ERVK3-1	0.409564393872543	>0.25
ENO1	TUG1	0.408896087661055	>0.25
ENO1	LIMD1-AS1	0.40806736998535	>0.25
ENO1	KMT2E-AS1	0.407954739476123	>0.25
ENO1	SNHG10	0.407344371917746	>0.25
ENO1	PSMA3-AS1	0.407238935047722	>0.25
ENO1	NIPBL-DT	0.406605503229704	>0.25
ENO1	ZNF271P	0.406254705955656	>0.25
ENO1	SCARNA7	0.406157777374729	>0.25
ENO1	ZFAND2A-DT	0.40611238804486	>0.25
ENO1	SFT2D3	0.405816048349365	>0.25
ENO1	ZFAS1	0.405239536440278	>0.25
ENO1	SNHG12	0.405179841532714	>0.25
ENO1	OIP5-AS1	0.405035688173264	>0.25
ENO1	SCARNA13	0.40464265588561	>0.25
ENO1	ZNF407-AS1	0.40426241388167	>0.25
ENO1	EBLN3P	0.403910493137074	>0.25
ENO1	OSER1-DT	0.403801027198602	>0.25
ENO1	IPO5P1	0.403660644202205	>0.25
