from	to	weight	Type
ENO1	GPRASP1	0.179625323585514	>0.1
ENO1	ABCA10	0.168844419113813	>0.1
ENO1	ABCA9-AS1	0.162983579869446	>0.1
ENO1	ABCA9	0.162922026432145	>0.1
ENO1	KLHDC1	0.1607817613887	>0.1
ENO1	GNA14	0.160651913374702	>0.1
ENO1	LAMA2	0.158673396098286	>0.1
ENO1	ITPR1	0.157267295814698	>0.1
ENO1	SYNE1	0.157067904237137	>0.1
ENO1	ARHGAP10	0.153549938289112	>0.1
ENO1	MYH11	0.151424153470149	>0.1
ENO1	BIRC5	0.151096363200539	>0.1
ENO1	SYNPO2	0.150557042089592	>0.1
ENO1	CDCA5	0.15043058275063	>0.1
ENO1	IHO1	0.149391858358385	>0.1
ENO1	CPED1	0.149318485579615	>0.1
ENO1	FEN1	0.149270433779775	>0.1
ENO1	ZWINT	0.147483448211413	>0.1
ENO1	LMOD1	0.147261524794997	>0.1
ENO1	STAT5B	0.145429799733398	>0.1
ENO1	MROH2B	0.145253249414736	>0.1
ENO1	GINS1	0.145241723469441	>0.1
ENO1	ABCA6	0.145228366506568	>0.1
ENO1	FAM13C	0.144825801865361	>0.1
ENO1	ZBTB20-AS1	0.143668579457144	>0.1
ENO1	ARHGAP6	0.142585961454249	>0.1
ENO1	DMD	0.142514405802832	>0.1
ENO1	KIAA1755	0.142498800591721	>0.1
ENO1	SMIM9	0.142220207857419	>0.1
ENO1	GSTM5	0.142154026551715	>0.1
