from	to	weight	Type
ESYT3	VASH1-AS1	0.365351116050689	>0.25
ESYT3	RN7SL2	0.363585693239868	>0.25
ESYT3	RN7SL1	0.362401611653716	>0.25
ESYT3	RN7SL3	0.361189412209562	>0.25
ESYT3	COX10-DT	0.355899742487377	>0.25
ESYT3	RBM25-AS1	0.354841264619549	>0.25
ESYT3	JPX	0.354569549947177	>0.25
ESYT3	FLJ20021	0.353354741174015	>0.25
ESYT3	SCAND2P	0.352180104178887	>0.25
ESYT3	BAIAP2-DT	0.351894225566289	>0.25
ESYT3	TP73-AS1	0.351535123487965	>0.25
ESYT3	GARS1-DT	0.350952829066577	>0.25
ESYT3	PSMG3-AS1	0.350915982271075	>0.25
ESYT3	CLN8-AS1	0.35091372765099	>0.25
ESYT3	AFG3L1P	0.350852604877817	>0.25
ESYT3	MIATNB	0.350025327562012	>0.25
ESYT3	GABPB1-IT1	0.349414631151471	>0.25
ESYT3	FAM219B	0.349244929221783	>0.25
ESYT3	ERVK13-1	0.348761857951402	>0.25
ESYT3	RN7SK	0.348293035347169	>0.25
ESYT3	PSMA3-AS1	0.348162183792625	>0.25
ESYT3	CD63-AS1	0.34791382909677	>0.25
ESYT3	SNHG10	0.347881809184166	>0.25
ESYT3	NORAD	0.347660620709642	>0.25
ESYT3	SCARNA13	0.347572575764931	>0.25
ESYT3	CTBP1-DT	0.347260590573706	>0.25
ESYT3	ATP2B1-AS1	0.347197865808549	>0.25
ESYT3	ANXA2R-OT1	0.346831612564528	>0.25
ESYT3	ZNF818P	0.346366256992296	>0.25
ESYT3	HEIH	0.346110307482407	>0.25
