from	to	weight	Type
ESYT3	NORAD	0.3932763279357	>0.25
ESYT3	GABPB1-IT1	0.389295788986751	>0.25
ESYT3	FGD5-AS1	0.388421559263592	>0.25
ESYT3	HCG18	0.387894072119106	>0.25
ESYT3	LIMD1-AS1	0.387877796236612	>0.25
ESYT3	PSMA3-AS1	0.387505186352337	>0.25
ESYT3	TUG1	0.386361607957542	>0.25
ESYT3	OIP5-AS1	0.383763364536654	>0.25
ESYT3	SCAND2P	0.383609015255894	>0.25
ESYT3	GABPB1-AS1	0.383297428965792	>0.25
ESYT3	EIF3J-DT	0.383080650917633	>0.25
ESYT3	SNHG10	0.38299217506291	>0.25
ESYT3	ELOA-AS1	0.382852828352277	>0.25
ESYT3	RN7SK	0.382710343122455	>0.25
ESYT3	RN7SL1	0.382698764242488	>0.25
ESYT3	TP73-AS1	0.38208290379298	>0.25
ESYT3	SCARNA13	0.381332199090954	>0.25
ESYT3	ZNF271P	0.3799824853793	>0.25
ESYT3	RCC2-AS1	0.379850426500351	>0.25
ESYT3	ZNF407-AS1	0.379124758355309	>0.25
ESYT3	EBLN3P	0.378252926954147	>0.25
ESYT3	NIPBL-DT	0.378149059151257	>0.25
ESYT3	HERPUD2-AS1	0.37770494380418	>0.25
ESYT3	SNHG29	0.377527706549321	>0.25
ESYT3	ERVK3-1	0.377503361226162	>0.25
ESYT3	CHASERR	0.377390767526212	>0.25
ESYT3	SNHG16	0.377330329894535	>0.25
ESYT3	THUMPD3-AS1	0.377052307847618	>0.25
ESYT3	SCARNA7	0.375781367027866	>0.25
ESYT3	WAC-AS1	0.375685141012692	>0.25
