from	to	weight	Type
ESYT3	RN7SL1	0.343243435485499	>0.25
ESYT3	VASH1-AS1	0.341214165831816	>0.25
ESYT3	GABPB1-IT1	0.340329811979365	>0.25
ESYT3	RN7SL2	0.340051779710615	>0.25
ESYT3	NORAD	0.339709812925763	>0.25
ESYT3	RN7SL3	0.336973157331977	>0.25
ESYT3	PSMA3-AS1	0.334231849528968	>0.25
ESYT3	COX10-DT	0.333887111836092	>0.25
ESYT3	TP73-AS1	0.333364091190702	>0.25
ESYT3	SNHG10	0.333082744149014	>0.25
ESYT3	SCARNA13	0.332491027512204	>0.25
ESYT3	RN7SK	0.331885820647682	>0.25
ESYT3	BAIAP2-DT	0.33183036868195	>0.25
ESYT3	AFG3L1P	0.330765625333193	>0.25
ESYT3	OIP5-AS1	0.329783294802254	>0.25
ESYT3	GARS1-DT	0.32969748296326	>0.25
ESYT3	LIMD1-AS1	0.329509224645803	>0.25
ESYT3	GABPB1-AS1	0.329322278861879	>0.25
ESYT3	SCARNA7	0.328722116886345	>0.25
ESYT3	ZNF407-AS1	0.32792621795395	>0.25
ESYT3	HCG18	0.327848581329677	>0.25
ESYT3	CTBP1-DT	0.327260372296042	>0.25
ESYT3	MIATNB	0.326013434824613	>0.25
ESYT3	EIF3J-DT	0.325586736757854	>0.25
ESYT3	HEIH	0.325504244345992	>0.25
ESYT3	JPX	0.32383229637782	>0.25
ESYT3	RBM25-AS1	0.323632300039841	>0.25
ESYT3	TCF12-DT	0.323629023215711	>0.25
ESYT3	HCG11	0.32349437726451	>0.25
ESYT3	CD63-AS1	0.323477633962591	>0.25
