From	To	Weight
AATBC	AFG3L1P	0.421430825264459
AATBC	ALDOC	0.237273605976237
AFG3L1P	ALDOC	0.291766711907993
AATBC	ARL5A	0.279545067002219
AFG3L1P	ARL5A	0.362903929511808
ALDOC	ARL5A	0.18343526818006
AATBC	ARPP19	0.336453380978022
AFG3L1P	ARPP19	0.397405959887691
ALDOC	ARPP19	0.276344145960045
ARL5A	ARPP19	0.364689931480679
AATBC	ARRDC1-AS1	0.374183336634854
AFG3L1P	ARRDC1-AS1	0.41880975129613
ALDOC	ARRDC1-AS1	0.254111765980174
ARL5A	ARRDC1-AS1	0.286694625410442
ARPP19	ARRDC1-AS1	0.337088678960675
AATBC	ARRDC3-AS1	0.373840904675003
AFG3L1P	ARRDC3-AS1	0.422669574280844
ALDOC	ARRDC3-AS1	0.261436802620662
ARL5A	ARRDC3-AS1	0.290081189534651
ARPP19	ARRDC3-AS1	0.340583961101764
ARRDC1-AS1	ARRDC3-AS1	0.377708496730995
AATBC	B3GALT6	0.354405906865743
AFG3L1P	B3GALT6	0.415651667533602
ALDOC	B3GALT6	0.240405505618826
ARL5A	B3GALT6	0.263152215840121
ARPP19	B3GALT6	0.340594289872155
ARRDC1-AS1	B3GALT6	0.379971817327197
ARRDC3-AS1	B3GALT6	0.370203871824501
AATBC	B3GALT9	0.358804510820855
AFG3L1P	B3GALT9	0.402361057535093
ALDOC	B3GALT9	0.271977811620218
ARL5A	B3GALT9	0.375502011298857
ARPP19	B3GALT9	0.387299622520265
ARRDC1-AS1	B3GALT9	0.359732959203911
ARRDC3-AS1	B3GALT9	0.361186540889418
B3GALT6	B3GALT9	0.362441347810256
AATBC	BAIAP2-DT	0.398011539446131
AFG3L1P	BAIAP2-DT	0.420283127376661
ALDOC	BAIAP2-DT	0.287610006769337
ARL5A	BAIAP2-DT	0.339308867495322
ARPP19	BAIAP2-DT	0.376930224696187
ARRDC1-AS1	BAIAP2-DT	0.403603954932328
ARRDC3-AS1	BAIAP2-DT	0.403477114846855
B3GALT6	BAIAP2-DT	0.40263527869295
B3GALT9	BAIAP2-DT	0.379951504742648
AATBC	BAZ2B-AS1	0.407599790894341
AFG3L1P	BAZ2B-AS1	0.417246044790798
ALDOC	BAZ2B-AS1	0.293047896341606
ARL5A	BAZ2B-AS1	0.376952921518812
