To	From	Weight
A2M	GBP4	0.107253243147341
A2M-AS1	GBP4	0.127676952386639
ABCA1	GBP4	0.0239833460292875
ABCD2	GBP4	0.114357081848509
ABHD8	GBP4	0.0393525310292974
ACOT7	GBP4	0
ACSL1	GBP4	0.0564644339634726
ACSL5	GBP4	0.0639161299885976
ADA2	GBP4	0.112568239407252
ADAMDEC1	GBP4	0.0567341201786493
ADGRE1	GBP4	0.05911354316322
ADGRE2	GBP4	0.0473767373305732
ADORA3	GBP4	0.0904060607247825
AIF1	GBP4	0.10945313822317
AIM2	GBP4	0.116932117023589
ALKBH4	GBP4	0
ALOX5AP	GBP4	0.0699657444551104
ANAPC11	GBP4	0.0476375845605413
ANKRD22	GBP4	0.0666677451686731
ANKRD44	GBP4	0.142033681349455
ANTXR2	GBP4	0.0773279686964531
AOAH	GBP4	0.142158756451264
AP4M1	GBP4	0
APBB1IP	GBP4	0.0661025611914465
APOBEC3G	GBP4	0.0863371444458425
APOC2	GBP4	0.0236848980327327
APOC4-APOC2	GBP4	0.0238817827908845
APOL1	GBP4	0.040808214105653
APOL2	GBP4	0.0260234913968385
APOL3	GBP4	0
APOL4	GBP4	0.0775519241319502
APOL6	GBP4	0
AQP1	GBP4	0.10347312828824
AQP9	GBP4	0.0341887675809709
ARHGAP15	GBP4	0.129004441857337
ARHGAP18	GBP4	0.0514195215351358
ARHGAP25	GBP4	0.0923983627305662
ARHGDIB	GBP4	0.109687417960795
ARHGEF6	GBP4	0.1272166729943
ARL11	GBP4	0.0940562519933732
ARRDC5	GBP4	0.111238120802583
ASAH1	GBP4	0.0423331883369347
ATAD3A	GBP4	0.0752508616923855
ATP6V1B2	GBP4	0.0313500957018461
ATP8B4	GBP4	0.0835729707465667
AURKAIP1	GBP4	0.0595129769045809
B2M	GBP4	0
BATF	GBP4	0.110382392457412
BATF2	GBP4	0.0751290929529927
BCL2A1	GBP4	0.0605785696519995
BIN2	GBP4	0.122877523540219
BMP2K	GBP4	0.0187369926348935
BTK	GBP4	0.108987780814467
BTN3A1	GBP4	0
BTN3A3	GBP4	0.0873840429285448
C16orf54	GBP4	0.125596179124489
C1QA	GBP4	0.103526296936754
C1QB	GBP4	0.0952133443652802
C1S	GBP4	0.0771655181566393
C1orf159	GBP4	0.0542372498615233
C1orf162	GBP4	0.086302255154702
C1orf35	GBP4	0.0424646736398845
C2	GBP4	0.0565530891131713
C3AR1	GBP4	0.10737168331673
C5orf58	GBP4	0.0548194481505696
CALCRL	GBP4	0.11280224807287
CALHM6	GBP4	0.0882430023109581
CALHM6-AS1	GBP4	0.0865478988088526
CARD16	GBP4	0.072942159683705
CARD6	GBP4	0.0527379173500401
CARD8	GBP4	0.113558846904057
CASP1	GBP4	0.0963941177926211
CASP4	GBP4	0.0284500660336488
CASP5	GBP4	0
CBX8	GBP4	0.0511782728757584
CCHCR1	GBP4	0.0379112103813345
CCL3	GBP4	0.0801267496010054
CCL4	GBP4	0.0916608346565498
CCL4L2	GBP4	0.0673029935616374
CCL5	GBP4	0.144533408265032
CCL8	GBP4	0.06100630927343
CCR1	GBP4	0.10689676719242
CCR2	GBP4	0.146485123864662
CCR3	GBP4	0.0503124364757103
CCR4	GBP4	0.121126783310461
CCR5	GBP4	0.143133316046198
CCR6	GBP4	0.0892439823674992
CCR8	GBP4	0.0210153189601704
CCRL2	GBP4	0.0903691798679064
CD163	GBP4	0.0929729397801092
CD180	GBP4	0.0864778770773218
CD2	GBP4	0.117306608629052
CD209	GBP4	0.10306528171079
CD226	GBP4	0.113558846665904
CD244	GBP4	0.101635232015795
CD247	GBP4	0.131627707475809
CD274	GBP4	0.0505756565384418
CD28	GBP4	0.114303057231921
CD300A	GBP4	0.106145437935961
CD300C	GBP4	0.100851742984702
CD300E	GBP4	0.069172847177196
CD300LF	GBP4	0.0718074334350302
CD33	GBP4	0.114242438922125
CD36	GBP4	0.0918223783491355
CD38	GBP4	0.080308069278918
CD3D	GBP4	0.136650455012322
CD3E	GBP4	0.0934288198261419
CD3G	GBP4	0.138425929298986
CD4	GBP4	0.108856869541075
CD40	GBP4	0.0768033224441359
CD44	GBP4	0.0153359242927038
CD44-AS1	GBP4	0.00432807220490763
CD48	GBP4	0.138463679259743
CD52	GBP4	0.114885445272835
CD53	GBP4	0.135383657474693
CD69	GBP4	0.0865040884701827
CD80	GBP4	0.0726816694293568
CD84	GBP4	0.124576737586531
CD86	GBP4	0.119194536530227
CD8A	GBP4	0.131790878253122
CD8B	GBP4	0.114777259634962
CD93	GBP4	0.122151283273814
CD96	GBP4	0.127817998537693
CDT1	GBP4	0.0679802914031201
CEACAM21	GBP4	0.143261248498395
CELF2	GBP4	0.0821861862478326
CFH	GBP4	0.0602695368450381
CFLAR	GBP4	0
CHTF18	GBP4	0
CLEC10A	GBP4	0.119401272415643
CLEC12A	GBP4	0.0977429304033309
CLEC12B	GBP4	0.062481532996953
CLEC1A	GBP4	0.113075759335777
CLEC2B	GBP4	0.0923355242714909
CLEC4A	GBP4	0.073532299143985
CLEC4C	GBP4	0.0661039920803362
CLEC4D	GBP4	0.0788156545753202
CLEC4E	GBP4	0.110550675315173
CLEC5A	GBP4	0.0214123565975356
CLEC6A	GBP4	0.0706998225405812
CLEC7A	GBP4	0.108336682927867
CLEC9A	GBP4	0.0584671853290615
CLECL1P	GBP4	0.091168665722435
CLIC2	GBP4	0
CLNK	GBP4	0.0835860496116774
CMKLR1	GBP4	0.121057257197535
CMPK2	GBP4	0.0478172863176302
CNDP2	GBP4	0.0272824045321834
CPNE8	GBP4	0.0898055420857635
CPSF4	GBP4	0.0285537462048601
CR1	GBP4	0.0826330801922403
CRTAM	GBP4	0.130230865708136
CSF1R	GBP4	0.0907349469821241
CSF2RB	GBP4	0.121198628509613
CTLA4	GBP4	0.117337263902012
CTSH	GBP4	0.0838266541393919
CTSL	GBP4	0.0341208106572868
CTSO	GBP4	0
CTSS	GBP4	0.105566511777447
CXCL10	GBP4	0.0729695760240548
CXCL11	GBP4	0.0653581957712913
CXCL13	GBP4	0.0743277621399977
CXCL9	GBP4	0.095944541987248
CXCR3	GBP4	0.10848023261013
CXCR4	GBP4	0.104422769436518
CXCR6	GBP4	0.125139319492745
CYBB	GBP4	0.115798660149015
CYLD	GBP4	0.0475221157781534
CYP7B1	GBP4	0.0877339028293693
CYRIA	GBP4	0
CYSLTR1	GBP4	0.122932561287862
CYSLTR2	GBP4	0
CYTH4	GBP4	0.124782269720252
CYTIP	GBP4	0.136439258846623
DAB2	GBP4	0.0486538796146584
DCANP1	GBP4	0.116290773237996
DDX60L	GBP4	0
DNAJC5B	GBP4	0.0652482190954034
DOCK2	GBP4	0.126353829170557
DOK2	GBP4	0.123309458181754
DPYD	GBP4	0.0946126247458235
DTHD1	GBP4	0.0788801667563328
DTX3L	GBP4	0.0106670678353764
DVL1	GBP4	0.0410949862576608
ELK3	GBP4	0.0413949699166425
ELL2	GBP4	0.0290746246359766
EMCN	GBP4	0.102041790383311
EOMES	GBP4	0.123536054800255
EPSTI1	GBP4	0.0671725843397601
ERAP1	GBP4	0.0500925875411301
ETS1	GBP4	0
EVI2A	GBP4	0.111630905142532
F13A1	GBP4	0.0971599592836642
FAM20A	GBP4	0.0279206917110765
FAM78A	GBP4	0.137142968660193
FANCE	GBP4	0.0153148816875937
FAS	GBP4	0
FASLG	GBP4	0.122569141284642
FBXL5	GBP4	0
FCAR	GBP4	0.0587100917219722
FCER1G	GBP4	0.0960670331150432
FCGR1CP	GBP4	0.0604036570323806
FCGR2A	GBP4	0.096356367225393
FCGR2B	GBP4	0.104208092403294
FCGR3A	GBP4	0.0796184083558314
FCGR3B	GBP4	0.0642117783606335
FCN1	GBP4	0.102195973764217
FCRL1	GBP4	0.061297163729146
FCRL2	GBP4	0.0611797454864352
FCRL3	GBP4	0.0873074068073543
FCRL4	GBP4	0.0618845431237581
FCRL5	GBP4	0.0798676999872096
FCRL6	GBP4	0.0994221369707046
FFAR4	GBP4	0.0442905193318934
FGL2	GBP4	0.136135501991274
FLI1	GBP4	0.101492605265734
FOLR2	GBP4	0.111843378739104
FOXN3	GBP4	0
FPR1	GBP4	0.0759279106946269
FPR3	GBP4	0.101275173898934
FYB1	GBP4	0.0818446864877092
GAB3	GBP4	0.110855871355605
GALC	GBP4	0.0446158147882191
GAPT	GBP4	0.100668099854128
GASK1B	GBP4	0.073866188585228
GBP1	GBP4	0.0775693703206367
GBP1P1	GBP4	0
GBP2	GBP4	0
GBP5	GBP4	0.103665381192992
GFI1	GBP4	0.124819438196326
GIMAP1	GBP4	0.131357441706681
GIMAP1-GIMAP5	GBP4	0.142427713350419
GIMAP2	GBP4	0.13256628628493
GIMAP4	GBP4	0.143300920889643
GIMAP5	GBP4	0.142947431550612
GIMAP6	GBP4	0
GIMAP7	GBP4	0.127861311863978
GIMAP8	GBP4	0.142569693502645
GLIPR1	GBP4	0.0410642078966282
GLRX	GBP4	0.0462896858476254
GMFG	GBP4	0.148295006784764
GNG2	GBP4	0
GNGT2	GBP4	0.107149053458985
GNLY	GBP4	0.0910504494866615
GPNMB	GBP4	0.0540852725451202
GPR141	GBP4	0.0758143931482853
GPR171	GBP4	0.112316527133529
GPR174	GBP4	0.148762544681797
GPR183	GBP4	0.0813881648237911
GPR65	GBP4	0.116634435633201
GPRIN3	GBP4	0.119504145091473
GRAP2	GBP4	0.13200732689069
GRK3	GBP4	0.106012794619559
GTDC1	GBP4	0
GTPBP3	GBP4	0.0384151708640119
GZMA	GBP4	0.138431077001873
GZMB	GBP4	0.106235705807059
GZMH	GBP4	0.123619430625813
GZMK	GBP4	0.145245977391081
H1-10	GBP4	0.0326292922692454
H2AC12	GBP4	0.0565429420527519
H2AC13	GBP4	0.0642314062539674
H2AC25	GBP4	0.0357921435313781
H2AX	GBP4	0.0377574936040818
H2BC12	GBP4	0.0369253091440572
H2BC13	GBP4	0.0595456363335264
H2BC17	GBP4	0.0603970736010397
H3C13	GBP4	0.028028084333705
H3C15	GBP4	0
H4C11	GBP4	0.0417438248958534
HACD4	GBP4	0
HAVCR2	GBP4	0.10860164983172
HCLS1	GBP4	0.0871160444347882
HCST	GBP4	0.112091606918901
HERC6	GBP4	0
HFE	GBP4	0.0493153160818892
HGF	GBP4	0.0717376622535822
HLA-B	GBP4	0
HLA-C	GBP4	0.0479158490803976
HLA-DMA	GBP4	0.100731211923014
HLA-DMB	GBP4	0.0750717302037685
HLA-DOA	GBP4	0.105333699186061
