To	From	Weight
A2M	GBP4	0.105736381355735
A2M-AS1	GBP4	0.133064701808
ABCA1	GBP4	0.100435454594299
ABCD2	GBP4	0.131163171133076
ABHD8	GBP4	0.104225778839412
ACOT7	GBP4	0.107812002389873
ACSL1	GBP4	0.103633899883406
ACSL5	GBP4	0.107390859154443
ADA2	GBP4	0.133319836048372
ADAMDEC1	GBP4	0.131090389656823
ADGRE1	GBP4	0.10413198761712
ADGRE2	GBP4	0.106547259234086
ADORA3	GBP4	0.121378085949066
AIF1	GBP4	0.145123535939962
AIM2	GBP4	0.173538161596165
ALKBH4	GBP4	0.10660859118151
ALOX5AP	GBP4	0.125447792256527
ANAPC11	GBP4	0.100053116948652
ANKRD22	GBP4	0.115888286429361
ANKRD44	GBP4	0.147026041401682
ANTXR2	GBP4	0.110941854037302
AOAH	GBP4	0.176383517906441
AP4M1	GBP4	0.100127646846193
APBB1IP	GBP4	0.115118352123959
APOBEC3G	GBP4	0.124864718491852
APOC2	GBP4	0.103278116310932
APOC4-APOC2	GBP4	0.102914861126958
APOL1	GBP4	0.128656052252811
APOL2	GBP4	0.122080877020658
APOL3	GBP4	0.144696967984677
APOL4	GBP4	0.104842862594545
APOL6	GBP4	0.107163668952333
AQP1	GBP4	0.0581196857360108
AQP9	GBP4	0.101215806018634
ARHGAP15	GBP4	0.16189740656682
ARHGAP18	GBP4	0.149295572946994
ARHGAP25	GBP4	0.107673918538706
ARHGDIB	GBP4	0.138545882260035
ARHGEF6	GBP4	0.135607961177865
ARL11	GBP4	0.118048502054327
ARRDC5	GBP4	0.101533452447502
ASAH1	GBP4	0.111892859749562
ATAD3A	GBP4	0.130396083278476
ATP6V1B2	GBP4	0.117337414006746
ATP8B4	GBP4	0.160617935931632
AURKAIP1	GBP4	0.11247393886762
B2M	GBP4	0.121957132937758
BATF	GBP4	0.0998592503196482
BATF2	GBP4	0.137527207653344
BCL2A1	GBP4	0.125832279477106
BIN2	GBP4	0.148770314642329
BMP2K	GBP4	0.104342573323308
BTK	GBP4	0.146826081940786
BTN3A1	GBP4	0.13089077721906
BTN3A3	GBP4	0.136441083008854
C16orf54	GBP4	0
C1QA	GBP4	0.109090001886198
C1QB	GBP4	0.108113981131877
C1S	GBP4	0.125395198763314
C1orf159	GBP4	0.10663643288553
C1orf162	GBP4	0.130679932265174
C1orf35	GBP4	0.127185508742344
C2	GBP4	0.106236979043162
C3AR1	GBP4	0.165976358946935
C5orf58	GBP4	0.102734843396307
CALCRL	GBP4	0.0998373864505552
CALHM6	GBP4	0.14770703830054
CALHM6-AS1	GBP4	0.116868644224547
CARD16	GBP4	0.122118163341424
CARD6	GBP4	0.112214635285579
CARD8	GBP4	0.10373885060401
CASP1	GBP4	0.165268410708396
CASP4	GBP4	0.107687413097752
CASP5	GBP4	0.127522161957096
CBX8	GBP4	0.116478505294714
CCHCR1	GBP4	0.105127703117458
CCL3	GBP4	0.113589109030803
CCL4	GBP4	0.13433500926601
CCL4L2	GBP4	0.118856555855459
CCL5	GBP4	0.138327226508487
CCL8	GBP4	0.135584197276793
CCR1	GBP4	0.130628232950914
CCR2	GBP4	0.165618354352887
CCR3	GBP4	0.119488393386096
CCR4	GBP4	0.128299019673746
CCR5	GBP4	0.168309705964824
CCR6	GBP4	0.121283136472618
CCR8	GBP4	0.105060905972809
CCRL2	GBP4	0.147819938215923
CD163	GBP4	0.142773188676195
CD180	GBP4	0.138481535404819
CD2	GBP4	0.146863012210928
CD209	GBP4	0.09839710118177
CD226	GBP4	0.125346691621501
CD244	GBP4	0.127678136737514
CD247	GBP4	0.129435528801652
CD274	GBP4	0.131999924849739
CD28	GBP4	0.127161770921486
CD300A	GBP4	0.123553840730561
CD300C	GBP4	0.10820112870895
CD300E	GBP4	0.11848107529446
