Gene	Post	Pre	Post_Pre	Label	Funct_Annot
A2M	0.107253243147341	0.105736381355735	0.00151686179160587	None	None
A2M-AS1	0.127676952386639	0.133064701808	-0.00538774942136053	Shared	None
ABCA1	0.0239833460292875	0.100435454594299	-0.076452108565012	None	None
ABCD2	0.114357081848509	0.131163171133076	-0.0168060892845674	Shared	None
ABHD8	0.0393525310292974	0.104225778839412	-0.0648732478101151	None	None
ACOT7	0	0.107812002389873	0	None	Innate IFN Response
ACSL1	0.0564644339634726	0.103633899883406	-0.0471694659199334	None	None
ACSL5	0.0639161299885976	0.107390859154443	-0.0434747291658453	None	None
ADA2	0.112568239407252	0.133319836048372	-0.0207515966411197	None	None
ADAMDEC1	0.0567341201786493	0.131090389656823	-0.074356269478174	None	None
ADGRE1	0.05911354316322	0.10413198761712	-0.0450184444538997	None	None
ADGRE2	0.0473767373305732	0.106547259234086	-0.0591705219035128	None	None
ADORA3	0.0904060607247825	0.121378085949066	-0.0309720252242838	None	None
AIF1	0.10945313822317	0.145123535939962	-0.0356703977167918	None	None
AIM2	0.116932117023589	0.173538161596165	-0.0566060445725765	None	Innate IFN Response
ALKBH4	0	0.10660859118151	0	None	Immuno-hot tumor marker
ALOX5AP	0.0699657444551104	0.125447792256527	-0.0554820478014168	None	None
ANAPC11	0.0476375845605413	0.100053116948652	-0.0524155323881108	None	None
ANKRD22	0.0666677451686731	0.115888286429361	-0.049220541260688	None	None
ANKRD44	0.142033681349455	0.147026041401682	-0.00499236005222739	Shared	None
ANTXR2	0.0773279686964531	0.110941854037302	-0.0336138853408492	None	None
AOAH	0.142158756451264	0.176383517906441	-0.0342247614551769	None	None
AP4M1	0	0.100127646846193	0	None	None
APBB1IP	0.0661025611914465	0.115118352123959	-0.0490157909325124	None	None
APOBEC3G	0.0863371444458425	0.124864718491852	-0.0385275740460094	None	None
APOC2	0.0236848980327327	0.103278116310932	-0.0795932182781997	None	None
APOC4-APOC2	0.0238817827908845	0.102914861126958	-0.0790330783360735	None	None
APOL1	0.040808214105653	0.128656052252811	-0.0878478381471577	Pre_Only	Innate IFN Response
APOL2	0.0260234913968385	0.122080877020658	-0.09605738562382	Pre_Only	Innate IFN Response
APOL3	0	0.144696967984677	0	Pre_Only	Innate IFN Response
APOL4	0.0775519241319502	0.104842862594545	-0.0272909384625952	None	None
APOL6	0	0.107163668952333	0	None	Innate IFN Response
AQP1	0.10347312828824	0.0581196857360108	0.0453534425522291	Post_Only	None
AQP9	0.0341887675809709	0.101215806018634	-0.0670270384376632	None	None
ARHGAP15	0.129004441857337	0.16189740656682	-0.0328929647094831	None	Immune Checkpoint
ARHGAP18	0.0514195215351358	0.149295572946994	-0.0978760514118585	Pre_Only	Immune Cell Infiltration
ARHGAP25	0.0923983627305662	0.107673918538706	-0.0152755558081399	None	None
ARHGDIB	0.109687417960795	0.138545882260035	-0.0288584642992396	None	None
ARHGEF6	0.1272166729943	0.135607961177865	-0.00839128818356588	Shared	Immune Cell Infiltration
ARL11	0.0940562519933732	0.118048502054327	-0.0239922500609541	None	None
ARRDC5	0.111238120802583	0.101533452447502	0.0097046683550813	None	None
ASAH1	0.0423331883369347	0.111892859749562	-0.0695596714126268	None	None
ATAD3A	0.0752508616923855	0.130396083278476	-0.0551452215860901	None	None
ATP6V1B2	0.0313500957018461	0.117337414006746	-0.0859873183048996	Pre_Only	None
ATP8B4	0.0835729707465667	0.160617935931632	-0.0770449651850654	None	None
AURKAIP1	0.0595129769045809	0.11247393886762	-0.0529609619630387	None	None
B2M	0	0.121957132937758	0	Pre_Only	Antigen Processing
BATF	0.110382392457412	0.0998592503196482	0.0105231421377636	None	None
BATF2	0.0751290929529927	0.137527207653344	-0.0623981147003516	None	None
