from	to	weight	Type
GBP4	SLAMF6	0.157801253670605	>0.1
GBP4	SH2D1A	0.157238856071618	>0.1
GBP4	SLFN12L	0.156557711558552	>0.1
GBP4	THEMIS	0.152224490356345	>0.1
GBP4	SNX20	0.148764393850831	>0.1
GBP4	GPR174	0.148762544681797	>0.1
GBP4	GMFG	0.148295006784764	>0.1
GBP4	JAML	0.146693972046528	>0.1
GBP4	CCR2	0.146485123864662	>0.1
GBP4	IL10RA	0.145593007548062	>0.1
GBP4	GZMK	0.145245977391081	>0.1
GBP4	KLRC4-KLRK1	0.144692099452291	>0.1
GBP4	CCL5	0.144533408265032	>0.1
GBP4	SLA	0.144114558572714	>0.1
GBP4	GIMAP4	0.143300920889643	>0.1
GBP4	CEACAM21	0.143261248498395	>0.1
GBP4	CCR5	0.143133316046198	>0.1
GBP4	SCML4	0.143067810268459	>0.1
GBP4	GIMAP5	0.142947431550612	>0.1
GBP4	RCSD1	0.142815094744359	>0.1
GBP4	GIMAP8	0.142569693502645	>0.1
GBP4	KLRK1	0.142552289344508	>0.1
GBP4	GIMAP1-GIMAP5	0.142427713350419	>0.1
GBP4	AOAH	0.142158756451264	>0.1
GBP4	ANKRD44	0.142033681349455	>0.1
GBP4	SPN	0.141021750232646	>0.1
GBP4	MPEG1	0.139941483392653	>0.1
GBP4	CD48	0.138463679259743	>0.1
GBP4	GZMA	0.138431077001873	>0.1
GBP4	CD3G	0.138425929298986	>0.1
