from	to	weight	Type
GBP4	TLR2	0.181789358144974	>0.1
GBP4	KYNU	0.178919327370354	>0.1
GBP4	TLR4	0.178636470525743	>0.1
GBP4	GIMAP4	0.178193148936308	>0.1
GBP4	PIK3CG	0.177439455662499	>0.1
GBP4	PDCD1LG2	0.176611287274499	>0.1
GBP4	AOAH	0.176383517906441	>0.1
GBP4	CD53	0.176122319617398	>0.1
GBP4	FGL2	0.175498648685891	>0.1
GBP4	CTSS	0.174900154158604	>0.1
GBP4	GIMAP2	0.174413032649862	>0.1
GBP4	PTPRC	0.174055344672914	>0.1
GBP4	AIM2	0.173538161596165	>0.1
GBP4	SLAMF6	0.173435459543795	>0.1
GBP4	TNFSF13B	0.172862429378359	>0.1
GBP4	MPEG1	0.172108485247034	>0.1
GBP4	SLA	0.170743204387718	>0.1
GBP4	TFEC	0.170567029089329	>0.1
GBP4	GPR174	0.170319315255133	>0.1
GBP4	CLEC7A	0.16954694229833	>0.1
GBP4	TLR1	0.169304048490959	>0.1
GBP4	LY96	0.169159144273078	>0.1
GBP4	CCR5	0.168309705964824	>0.1
GBP4	CD86	0.16798087857547	>0.1
GBP4	GIMAP8	0.167427533741863	>0.1
GBP4	CYTIP	0.166840133112713	>0.1
GBP4	GIMAP5	0.166825888746788	>0.1
GBP4	C3AR1	0.165976358946935	>0.1
GBP4	CCR2	0.165618354352887	>0.1
GBP4	CASP1	0.165268410708396	>0.1
