from	to	weight	Type
GBP4	SLAMF6	0.164552715086455	>0.1
GBP4	AOAH	0.154045698001598	>0.1
GBP4	SH2D1A	0.153366276905861	>0.1
GBP4	CYTIP	0.152053702097763	>0.1
GBP4	IL10RA	0.149132395059733	>0.1
GBP4	CD48	0.14892591108472	>0.1
GBP4	SLFN12L	0.14878081816705	>0.1
GBP4	CCR2	0.148327567809048	>0.1
GBP4	PIK3CG	0.146364512597298	>0.1
GBP4	MPEG1	0.146189795405952	>0.1
GBP4	SASH3	0.145728132149147	>0.1
GBP4	GPR174	0.145486130625054	>0.1
GBP4	SLA	0.144717203058384	>0.1
GBP4	THEMIS	0.144551720934648	>0.1
GBP4	CD53	0.144148206171614	>0.1
GBP4	IKZF1	0.144110081269208	>0.1
GBP4	GZMK	0.143767209234495	>0.1
GBP4	GIMAP5	0.143531961488188	>0.1
GBP4	JAML	0.143104680970942	>0.1
GBP4	CD3G	0.142880247702671	>0.1
GBP4	RCSD1	0.142825391319359	>0.1
GBP4	GMFG	0.142584631755024	>0.1
GBP4	CCL5	0.142565023444772	>0.1
GBP4	CD96	0.142388711329065	>0.1
GBP4	ITK	0.141830296878114	>0.1
GBP4	GZMA	0.141775500308271	>0.1
GBP4	CD3D	0.141512351994547	>0.1
GBP4	P2RY10	0.141395149362796	>0.1
GBP4	GIMAP1-GIMAP5	0.141389019141144	>0.1
GBP4	NCKAP1L	0.140380983587533	>0.1
