from	to	weight	Type
GPR173	WDR90	0.101798055944122	>0.1
GPR173	MAMDC4	0.0896984740713739	>0.05
GPR173	SH2B1	0.0890786388641247	>0.05
GPR173	PLA2G4B	0.0882905583118783	>0.05
GPR173	JMJD7-PLA2G4B	0.0878983329696483	>0.05
GPR173	PICALM	0.0873259574140165	>0.05
GPR173	TSPOAP1	0.0867730076376884	>0.05
GPR173	KRBA1	0.0861769857197809	>0.05
GPR173	PCED1A	0.0854310974079939	>0.05
GPR173	GIGYF1	0.0850906762347479	>0.05
GPR173	BROX	0.0836498299783038	>0.05
GPR173	CROCC	0.0832991034820063	>0.05
GPR173	FEZ2	0.083256830030485	>0.05
GPR173	CCDC183	0.0825471966975882	>0.05
GPR173	ANKRD23	0.0816456948857427	>0.05
GPR173	QTRT1	0.0805381464420133	>0.05
GPR173	SZT2-AS1	0.0804663201064898	>0.05
GPR173	PTBP3	0.0801934654031901	>0.05
GPR173	AP3S1	0.0801920878205085	>0.05
GPR173	FAM193B	0.0799292631910794	>0.05
GPR173	TCEA2	0.0796369234953688	>0.05
GPR173	CCDC154	0.0787604773663265	>0.05
GPR173	ECHDC1	0.0783358759783254	>0.05
GPR173	MZF1	0.0780187032435742	>0.05
GPR173	CDK10	0.0778971138460628	>0.05
GPR173	CDAN1	0.0775239974286973	>0.05
GPR173	PIDD1	0.0772433272120856	>0.05
GPR173	WDR24	0.0766892041826303	>0.05
GPR173	PPP2R5E	0.0765160875847857	>0.05
GPR173	SEC23A	0.0764713385376829	>0.05
