from	to	weight	Type
GPR173	CROCC	0.197150619476496	>0.1
GPR173	MIB2	0.181115582298765	>0.1
GPR173	PKD1	0.177727927200861	>0.1
GPR173	RABEP2	0.175786910065284	>0.1
GPR173	TELO2	0.172994181612903	>0.1
GPR173	DGKZ	0.171982651062932	>0.1
GPR173	OBSL1	0.1713399949531	>0.1
GPR173	UBA3	0.171204438332891	>0.1
GPR173	COL18A1	0.169245931269031	>0.1
GPR173	CSNK1G3	0.168835510000076	>0.1
GPR173	MAT2B	0.168662392521873	>0.1
GPR173	BRF1	0.168544608330182	>0.1
GPR173	LLGL1	0.167828081119621	>0.1
GPR173	STAM2	0.166422346446744	>0.1
GPR173	ZGPAT	0.164760218387742	>0.1
GPR173	BLZF1	0.164632768605296	>0.1
GPR173	AP5Z1	0.164589310790382	>0.1
GPR173	LIME1	0.164583440455339	>0.1
GPR173	KRBA1	0.164480265652587	>0.1
GPR173	BCAR1	0.163879705564642	>0.1
GPR173	ACTR6	0.163816919592662	>0.1
GPR173	SBF1	0.163562861504903	>0.1
GPR173	ZNF668	0.163402559475884	>0.1
GPR173	VTA1	0.163384729424298	>0.1
GPR173	INTS1	0.162617037574272	>0.1
GPR173	PAIP2	0.162519473263603	>0.1
GPR173	PGLS-DT	0.161908296492543	>0.1
GPR173	PKD1P1	0.161742183867445	>0.1
GPR173	CTBP1-AS	0.161645035405583	>0.1
GPR173	ARFIP1	0.160932234151188	>0.1
