from	to	weight	Type
GPR173	CHTF18	0.0785211070456257	>0.05
GPR173	PICALM	0.0762990006391605	>0.05
GPR173	AZI2	0.0759740704764294	>0.05
GPR173	FBXL5	0.0722514053622585	>0.05
GPR173	USP15	0.0710072963714248	>0.05
GPR173	WASHC4	0.0709400664886579	>0.05
GPR173	STAM2	0.0697515754915715	>0.05
GPR173	C1orf159	0.0695537698287557	>0.05
GPR173	MIER1	0.0684225371471672	>0.05
GPR173	CALCOCO2	0.066791202907309	>0.05
GPR173	SHOC2	0.0667149255703491	>0.05
GPR173	PPP1R26	0.0665416436691978	>0.05
GPR173	OSBPL8	0.0664633159379782	>0.05
GPR173	KMT5C	0.0662924502309344	>0.05
GPR173	WDR90	0.065832611118468	>0.05
GPR173	POLK	0.0651389551302449	>0.05
GPR173	PJA2	0.0651332080365216	>0.05
GPR173	TBK1	0.0644818398088121	>0.05
GPR173	RAP1A	0.0644739422262804	>0.05
GPR173	TMEM201	0.0641379983611789	>0.05
GPR173	SPHK2	0.0638204987615394	>0.05
GPR173	FAM114A2	0.0637652095673736	>0.05
GPR173	AGRN	0.0632304840135776	>0.05
GPR173	E4F1	0.062703089469383	>0.05
GPR173	WDR24	0.0625825864518271	>0.05
GPR173	FEZ2	0.0625784612760917	>0.05
GPR173	TELO2	0.0618125579103426	>0.05
GPR173	POLD1	0.0613001011540592	>0.05
GPR173	MCM2	0.0602224065127088	>0.05
GPR173	PIGQ	0.0601216373926438	>0.05
