from	to	weight	Type
HCN3	OIP5-AS1	0.408382216993171	>0.25
HCN3	MIR10393	0.405025200887899	>0.25
HCN3	FGD5-AS1	0.404687592957006	>0.25
HCN3	PSMA3-AS1	0.404466866138713	>0.25
HCN3	TUG1	0.401890562476414	>0.25
HCN3	WAC-AS1	0.401001950014454	>0.25
HCN3	EBLN3P	0.400681947601136	>0.25
HCN3	OTUD6B-AS1	0.400436745318044	>0.25
HCN3	CHROMR	0.399706801031737	>0.25
HCN3	ZNF542P	0.399597198958164	>0.25
HCN3	NORAD	0.398675353469867	>0.25
HCN3	ELOA-AS1	0.398572159986442	>0.25
HCN3	CHASERR	0.397135595348146	>0.25
HCN3	GABPB1-IT1	0.395200247825462	>0.25
HCN3	ZNF818P	0.395140554517395	>0.25
HCN3	HERPUD2-AS1	0.392043745650787	>0.25
HCN3	DKFZP586I1420	0.391428040058585	>0.25
HCN3	SLC12A2-DT	0.390455528257568	>0.25
HCN3	GTF2IRD1P1	0.390450772634903	>0.25
HCN3	CERS6-AS1	0.390411446218937	>0.25
HCN3	HCG18	0.390003884218503	>0.25
HCN3	THUMPD3-AS1	0.389878385768543	>0.25
HCN3	HAPSTR1	0.389859712762844	>0.25
HCN3	UBA6-DT	0.389403583974106	>0.25
HCN3	SLC30A4-AS1	0.389062997061032	>0.25
HCN3	SNHG29	0.3888212293601	>0.25
HCN3	ZNF271P	0.388339549282302	>0.25
HCN3	FCF1P2	0.387160005765263	>0.25
HCN3	ZNF561-AS1	0.386966442260487	>0.25
HCN3	B3GALT9	0.386804764322687	>0.25
