from	to	weight	Type
HCN3	MIB2	0.252016293126052	>0.25
HCN3	STAM2	0.245566867256785	>0.2
HCN3	LRWD1	0.23960622525769	>0.2
HCN3	H1-10	0.239196363364123	>0.2
HCN3	C1orf35	0.238009963477562	>0.2
HCN3	CROCC	0.236297467158831	>0.2
HCN3	TELO2	0.233606890232682	>0.2
HCN3	BRF1	0.233337219346265	>0.2
HCN3	ZGPAT	0.230002505582524	>0.2
HCN3	WRAP73	0.227029123555481	>0.2
HCN3	ABHD8	0.226893093721098	>0.2
HCN3	PIDD1	0.226685939502522	>0.2
HCN3	ATAD3A	0.226072423614534	>0.2
HCN3	RABEP2	0.223667901204562	>0.2
HCN3	INTS1	0.222927462782138	>0.2
HCN3	KRBA1	0.222707834174759	>0.2
HCN3	SLX9	0.222465978076664	>0.2
HCN3	PAXX	0.22209472929299	>0.2
HCN3	ZNF598	0.221724085411754	>0.2
HCN3	RBM10	0.221292055709996	>0.2
HCN3	FAAP20	0.22041970813301	>0.2
HCN3	POLD1	0.217755046877491	>0.2
HCN3	ZBTB48	0.216087369921461	>0.2
HCN3	TMEM201	0.215859810100856	>0.2
HCN3	RALY	0.215495579294934	>0.2
HCN3	LIME1	0.215457620698771	>0.2
HCN3	INTS11	0.215390967045003	>0.2
HCN3	DVL1	0.214777807831207	>0.2
HCN3	CHTF18	0.214597928302806	>0.2
HCN3	NELFB	0.21430317750827	>0.2
