from	to	weight	Type
HCN3	MIR10393	0.311733593662353	>0.25
HCN3	OTUD6B-AS1	0.311258818489397	>0.25
HCN3	CHASERR	0.309949472026657	>0.25
HCN3	EBLN3P	0.308693821639733	>0.25
HCN3	WAC-AS1	0.308121526893793	>0.25
HCN3	OIP5-AS1	0.308047562266255	>0.25
HCN3	PSMA3-AS1	0.307128811430869	>0.25
HCN3	SYNJ2BP	0.306505236451727	>0.25
HCN3	ARPP19	0.305925379356268	>0.25
HCN3	SLC30A4-AS1	0.305491909879808	>0.25
HCN3	SLC12A2-DT	0.30538026419974	>0.25
HCN3	TUG1	0.303068994189266	>0.25
HCN3	FCF1P2	0.301942676988115	>0.25
HCN3	ZNF561-AS1	0.300730998705226	>0.25
HCN3	SYNDIG1L	0.300624018301618	>0.25
HCN3	CERS6-AS1	0.300276780225384	>0.25
HCN3	GARS1-DT	0.299823062523915	>0.25
HCN3	ELOA-AS1	0.299784763652637	>0.25
HCN3	FGD5-AS1	0.29974051072947	>0.25
HCN3	HERPUD2-AS1	0.299326068192041	>0.25
HCN3	GTF2IRD1P1	0.29896105178212	>0.25
HCN3	B3GALT9	0.298672314431349	>0.25
HCN3	HAPSTR1	0.298401153046367	>0.25
HCN3	ZNF271P	0.297829513551664	>0.25
HCN3	MIR12127	0.29739061100582	>0.25
HCN3	GABPB1-IT1	0.297003697981262	>0.25
HCN3	ZNF252P	0.296222814802089	>0.25
HCN3	UFM1	0.295021107299799	>0.25
HCN3	CHROMR	0.294579385365117	>0.25
HCN3	HCG18	0.294479887306554	>0.25
